,Header,Summary,Detail
0,Protesting teachers close offices of education authority  in Rawalpindi,Demand withdrawal of notification for appointment of District Education Authority chief executive officer.,"RAWALPINDI: Teachers and clerks associations on Monday continued their protest against the appointment of District Education Authority (DEA) chief executive officer and closed offices of the authority.
They threatened to close all government schools and offices on Tuesday.
Punjab Teachers Association, All Pakistan Clerks Association and other teachers associations joined hands against the appointment of Azam Kashif as the DEA chief executive officerby the Punjab Education Department.
The protesters led by Raja Aurangzeb, Raja Shahid Mubarrak, Raja Tahir and Shahzad Manzoor staged the protest on Murree Road in front of the DEA offices and locked the offices. 
The newly-appointed CEO did not take charge on Monday also.
The participants of the protest were carrying placards and chanting slogans in favour of their demand. 
They demanded that the provincial government and Chief Minister Pervaiz Ellahi should take notice of the issue and withdraw the notification.
The speakers said that the newly-appointed official was not competent enough and his behaviour with teachers and subordinate staff was condemnable in his last two tenures.
They said the government should respect the dignity of the teachers and other school staff and protect them from humiliation. They said it was beyond their understanding why the education department appointed the person third time in the district.
They said teachers and clerks had no political motives and they wanted that the government should give them respect and protect them. 
They said they did not want any specific person for the head of the department and the government should appoint any BPS-19 officer of the education department.
They warned that if the notification was not withdrawn, all government schools would be closed from Tuesday.
Published in Dawn, August 2nd, 2022
"
1,Non-implementation of IHC directions on stray dogs in Islamabad concerns ombudsman,Civic agencies told to come up with compliance reports on 22nd.,"ISLAMABAD: The Federal Ombudsman Secretariat on Monday came down hard on civic agencies for failing to devise a policy on stray dogs and not setting up a shelter and vaccination centre as residential sectors, public parks and markets have seen growing number of stray dogs.
Secretary Federal Ombudsman Secretariat Ejaz Ahmed Khan chaired a meeting to discuss the issue related to stray dogs and proposed a shelter and vaccination project.
The meeting was attended by officers of the Capital Development Authority (CDA), Metropolitan Corporation Islamabad (MCI), Ministry of Climate Change, Islamabad Wildlife Management Board (IWMB) and the health ministry.
The secretary showed concerns over the failure of stakeholders in devising a policy and setting up a shelter and vaccination centre in line with the orders of Islamabad High Court (IHC) issued in 2020.

Civic agencies told to come up with compliance reports on 22nd

He said last year, the IHC had directed that a policy to neutralise stray dogs and setting up a shelter and vaccination centre, adding that it was a matter of concern that so far all concerned departments had failed to comply with the court’s judgement.
The meeting was informed that approval of a summary for devising a policy about stray dogs was required from the cabinet. To this, the secretary said there was no need to get approval for such a policy from the cabinet rather the departments concerned should finalise the policy at the earliest.
When the secretary asked about the shelter and vaccination project, the CDA officials said they had not received any feasibility and proposal from the MCI in this regard. 
The secretary showed his displeasure over the MCI and directed it to move an application to the CDA. 
He also asked all stakeholders to come up with compliance reports in the next meeting on Aug 22.
In the past, the CDA/MCI used to kill stray dogs but the IHC stopped them from shooting and poisoning them with the direction to devise a policy to neutralise such dogs.
The IHC had passed the judgement on a petition filed by Faryal Nawaz, the co-founder of an Islamabad-based NGO — Help Welfare Organisation.
Before the IHC’s verdict, personnel from the sanitation directorate of the civic agency used to shoot down stray dogs in residential areas.
When contacted, an MCI official, who attended the meeting, said the corporation, the CDA and capital administration would soon hold a joint meeting to devise a mechanism. 
In the next meeting, a progress report would be submitted to the ombudsman office, he added.
When contacted spokesperson for the ombudsman office, Javed Chaudhry, said the office would get the IHC orders fully implemented.
“Today, the secretary expressed displeasure over the failure of stakeholders to implement the IHC orders and the subsequent directive of the ombudsman office,” he said.
Published in Dawn, August 2nd, 2022
"
2,Teenager ‘raped’ in Rawalpindi,"RAWALPINDI: A 15-year-old housemaid was alleged raped by a man in Banni police area.

The victim’s aunt lodged an...","RAWALPINDI: A 15-year-old housemaid was alleged raped by a man in Banni police area.
The victim’s aunt lodged an FIR with police saying that her 15-year-old niece worked as a housemaid. She said her niece returned home on Sunday, sobbing. When she was asked what had happened, she explained that the driver (who worked at the same place as her) had violently raped her while she was lying down on a bed after finishing her work.
The police said the suspect was apprehended soon after a first information report (FIR) was registered.
Meanwhile, 45 incidents of street crime were reported to the police in which 19 motorcycles and two cars were stolen and several mobile phones and other valuables snatched by robbers in different parts of the city.
Published in Dawn, August 2nd, 2022
"
3,PTI seeks de-notification of all its MNAs,ISLAMABAD: Pakistan Tehreek-i-Insaf (PTI) on Monday filed a petition in Islamabad High Court (IHC) against ...,"ISLAMABAD: Pakistan Tehreek-i-Insaf (PTI) on Monday filed a petition in Islamabad High Court (IHC) against acceptance of the resignation of its 11 members  of the National Assembly (MNAs) terming it “piecemeal” and requested the court to direct the Election Commission of Pakistan (ECP) to de-notify all 123 MNAs.
The petition cited Speaker National Assembly, the ECP, the secretary Cabinet Division and former deputy speaker Qasim Khan Suri as respondents.
It said after the regime change, the PTI leadership decided to tender resignation from the National Assembly since it was seeking a fresh mandate from the people of Pakistan.
It said that in pursuant to the decision of a meeting of the parliamentary party held in Parliament House on April 11, 2022, as many as 123 MNAs tendered resignation before the deputy speaker which had been accepted.
However, the incumbent NA Speaker Raja Pervaiz Ashraf withheld these resignations and did not forward it to the ECP on the pretext of “so-called verification of the resignation”.
It added: “Now after the lapse of around three and half months, the speaker NA approved the resignation of only 11 MNAs of the PTI” and forwarded these to the ECP which has de-notified them.
“The impugned act of the so called verification of resignation of PTI MNAs conducted by the present speaker of the National Assembly and his purported approval of the resignations and forwarding the same to the ECP in a piecemeal manner, despite the fact that all the 123 resignations of the PTI MNAs had already been accepted on April 11 by the then speaker, as well as the impugned act of the ECP to de-notify the PTI members in the piecemeal manner, are unsustainable,” the petition added.
It requested the court to direct the speaker NA to approve all the PTI MNAs’ resignation. The petition requested that the direction be given to the ECP to de-notify these members.
Published in Dawn, August 2nd, 2022
"
4,PMC claims PMDC did nothing for WFME accreditation,Defunct council’s official rejects claims,"ISLAMABAD: While Pakistan Medical Commission (PMC) has alleged that the defunct Pakistan Medical and Dental Council (PMDC) did nothing to get accreditation from the World Federation for Medical Education (WFME), the documentary evidence showed that the PMDC had initiated the process which could not be completed owing to the council’s suspension and subsequent dissolution.
The PMC, which has recently initiated the accreditation process, released a statement on Monday, saying that the PMC was working in close coordination with the US regulatory authorities to ensure that there would be no hindrance to the accreditation of Pakistani medical graduates in the US.
It claimed that the erstwhile PMDC did not apply for the accreditation as it warned against rumour mongering. However, as per an official bulletin published by the PMDC ad-hoc council in 2018, it was announced that “PMDC is a member of WFME through Association for Medical Education in the Eastern Mediterranean Region (AMEEMR) and is in the process of getting recognition of WFME”.
The bulletin further stated that the “matters regarding accreditation of the PMDC with WFME has been taken up by the ad-hoc council, which was earlier discontinued. Application for accreditation has been submitted to WFME”.

Defunct council’s official rejects claims

Former PMDC president Dr Shabbir Lehri told Dawn that he had started the process in 2017 and even submitted Rs7 million in fees for the planned inspection visit.
“In 2016, I went to the US and the authorities concerned expressed apprehensions about the standards and quality of education in the Pakistani medical colleges; however, I assured them that their concerns will be removed,” Dr Lehri said.
“Later a delegation headed by WFME President Prof Dr David Gordan visited Pakistan and we arranged their visit to CMH Rawalpindi, CMH Lahore and Aga Khan University in Karachi,” he said.
The delegation was impressed and it was decided that an inspection team will visit Pakistan for which an amount of Rs7 million was deposited as the inspection fee, he said, adding that the visit did not materialise because the PMDC was dissolved.
Dr Lehri suggested that stakeholders from the health sector should be involved to get the accreditation of WFME, otherwise Pakistan may miss the deadline.
It is worth mentioning here that the Lahore High Court through its order dated Dec 7, 2017, dissolved a 35-member council of the PMDC. An ad-hoc council was constituted with seven members headed by former Justice Mian Shakirullah Jan.
The PMDC was first dissolved through the Pakistan Medical Commission Ordinance 2019, and replaced later by Pakistan Medical Commission Act 2020.
Published in Dawn, August 2nd, 2022
"
5,"Robbers, thieves strike at 38 places in capital","ISLAMABAD: Robbers and thieves looted cash and valuables from 38 places in the capital, police said on Monday.

In...","ISLAMABAD: Robbers and thieves looted cash and valuables from 38 places in the capital, police said on Monday.
In the first incident, three robbers looted Rs1.3 million from two staff members of a travel agency at G-6 Markaz.
In another incident, two armed men raided the office of Malik Nusrat, a middleman at Sabzi Mandi, and held him and his accountant at gunpoint. The robbers looted Rs830,000 and a mobile phone and escaped.
Likewise, four armed persons entered a super store owned by Aziz Shaukat in E-11/3 and looted Rs140,000, two mobile phones and calling cards. Moreover, three gunmen barged into a pharmacy in Banigala and took Rs150,000 and two mobile phones from Raja Sohail and his friends.
Similarly, four robbers entered the house of Mudasar Jamshaid at Khanna Dak and looted Rs100,000, three tola gold ornaments and other items.
Besides, gunmen took away a Toyota Corolla after snatching it from Zahid Gul at Kot Athal. In other incidents, a motorcycle, cash and mobile phones were also snatched from citizens.
Furthermore, thieves stole Rs6 million, Saudi riyal 30,000, 30 tola gold ornaments, a camera, four mobile phones, five watches and other household items from the house of Mubarak Jan at Alipur, gold ornaments weighing 10.5 tolas and two watches from the house of Babar Zahoor in G-9/2, and Rs75,000 and 3.5 tola gold and other items worth Rs30,000 from the house of Waqas Khan in Ghauri Town, the police said.
Meanwhile, two cars were stolen from Faisal Mosque and Sanam Chowk and 17 motorcycles were lifted from Daewoo terminal, Ghauri Town, G-12, F-10, I-9/4, G-6/1-4, F-11 Markaz, Burma Town, Aabpara, G-6/4, Koral, Mandi Mor, Koral Chowk, Athal Chowk, Golra and Soan Garden. 
Published in Dawn, August 2nd, 2022
"
6,Imambargah sealed,GUJAR KHAN: An imambargah was sealed on the directions of deputy commissioner Rawalpindi on Sunday over its ...,"GUJAR KHAN: An imambargah was sealed on the directions of deputy commissioner Rawalpindi on Sunday over its ownership dispute.
Assistant Commissioner Mehr Abbas Haral confirmed that Imambargah Nazar Shah Dewan had been sealed in Syed Kasran village. 
Mr Haral said the imambargah’s licence was issued in the name of Syeda Asmatun Nisa who died 15 years ago. 
At present, Anjuman Shuhada-i-Karbala is running its affairs and Syed Najamul Hassan is its secretary.  The arrangements for Majalis and processions are being made under the supervision of Syed Najamul Hassan Shah while Syed Waqar Haider and Ashar Shah are also claiming the imambargah’s ownership.
The assistant commissioner said several attempts had been made to resolve their dispute but to no avail. 
He said the dispute might jeopardise peace in the areas, therefore the imambargah had been sealed till further orders. 
Published in Dawn, August 2nd, 2022
"
7,Former PM to hold ‘all parties conference’ on Kashmir,MUZAFFARABAD: Former Azad Jammu and Kashmir (AJK) prime minister and Pakistan Muslim League-Nawaz (PML-N) central...,"MUZAFFARABAD: Former Azad Jammu and Kashmir (AJK) prime minister and Pakistan Muslim League-Nawaz (PML-N) central vice president Raja Farooq Haider has announced that an ‘all parties conference’ (APC) of Kashmiri leadership will be organised to hold threadbare discussion on a host of issues confronting the liberated and occupied territories of the erstwhile princely state of Jammu and Kashmir.
The exact date and venue of the conference would be decided in consultation with the invitees in the next couple of days, he said in a statement, the other day.
Mr Haider, who led the PML-N government in AJK from 2016 to 2021, declared that the conference would discuss Kashmir issue in the aftermath of India’s unlawful and oppressive action of August 5, 2019 that deprived occupied Kashmir of its special status as well as the arbitrary conviction and sentencing of JKLF chief Yasin Malik.
Apart from that, the alleged plans to reverse the powers of the AJK government and Legislative Assembly through the proposed 15th amendment, law and order situation in AJK and establishment of a controversial ‘tourism authority’ in violation of Article 52(c) of Constitution would also be the key subjects of debate, he added.
Mr Haider, whose government had approved the widely appreciated 13th constitutional amendment in 2018 stripping the AJK council of its administrative, fiscal and executive powers, has ever since repeatedly declared that “any attempt to shift the acquired powers back to the infamous council would be thwarted with full force”.
“We got rid of the hegemony and corruption of this disreputable institution [AJK council] after a long and tiring struggle and eventually strengthened the elected government in Muzaffarabad constitutionally, administratively and financially,” he said.
He maintained that at present the council was a redundant institution and could not be revived in its previous “colonial form”.
In the changed scenario, the Ministry of Kashmir Affairs and Gilgit-Baltistan was enough for contacts between the Azad Kashmir and Pakistan, he said.
“A lot of water has flown beneath the bridges… It should be clear to all quarters that no Kashmiri will accept the undoing of 13th amendment in any form,” he added.
The former AJK prime minister said he had decided to convene a conference to provide a platform to Kashmiri leadership to take a collective firm and comprehensive stand on issues of common concern.
Mr Haider was the head of the AJK chapter of PML-N from December 2010 to December 2021. Earlier this month he was elevated as party’s central vice president.
Published in Dawn, August 2nd, 2022
"
8,English language teachers imparted training to hone their skills,ISLAMABAD: The United States (US) embassy gathered 500 English language professionals from across the country in a...,"ISLAMABAD: The United States (US) embassy gathered 500 English language professionals from across the country in a conference held under the theme ‘Fostering Intercultural Competence (ICC) in the EFL Classroom’.
Acting Country Public Affairs Officer at the embassy in Islamabad Aaron Tarver concluded the three-day conference. It was offered in a hybrid mode with 60 alumni participating in person in Islamabad while others joined virtually.
The conference offered 25 interactive sessions, led by English language specialist from the United States Dr Lynn Zimmerman and Pakistani English language teaching experts, enabling participants to learn different tools and techniques required to acquire intercultural knowledge, attitudes, skills and awareness in the English language.
Addressing conference attendees, Mr Tarver recognised the work of the Pakistani English teaching community and acknowledged their enthusiasm, motivation and perseverance towards their own professional growth, which has motivated the US to provide $24 million to fund English language programmes in the country.
“This event is another opportunity for the United States and Pakistan to celebrate 75 years of diplomatic relations, but more importantly to celebrate 75 years of friendship,” he said, adding that, “we are collaborating closely on many valuable projects across the spectrum – supporting Pakistan’s goals to be a more prosperous and healthier nation though trade and investment, entrepreneurship support, and long-standing support in public health, including providing over 60 million Covid-19 vaccine doses, and of course, education. You and your students are the exciting next chapter of that relationship”.
Meanwhile, the War on Welfare (WoW) Health, with the power of over 350,000 US specialist doctors, has brought Second Opinion Service in Pakistan. Specialists that cater to over 70 specialties will provide expert opinion on complex health conditions like spinal deformities, Parkinson’s disease, stroke and cancers.
Patients have to submit their medical reports to the WoW Health, and their team takes care of the rest. Second opinion can generate a whole new treatment plan, or just peace of mind.
According to a statement, dealing with health issues can be one of the most difficult and challenging situations to face. As soon as a patient is diagnosed with a medical condition and they have received treatment recommendations, important decisions have to be made.
“Second Opinion service through website will provide access to top-notch specialist doctors in the US for rare and complex diseases,” said founder and managing director of WoW Health Pakistan Sikandar Zaman.
Published in Dawn, August 2nd, 2022
"
9,Militant attacks increased in July despite TTP ceasefire: report,"34 people killed in 33 attacks, think-tank’s statistics say.","ISLAMABAD: Despite the announcement of an indefinite ceasefire by the Tehreek-i-Taliban Pakistan (TTP), militant attacks increased in July as compared to June.
According to statistics released by an Islamabad-based think-tank, Pakistan Institute for Conflict and Security Studies (PICSS), in July militants carried out 33 attacks in which 34 people were died, including 17 security forces personnel, and 46 people were injured, including 34 security forces personnel.
However, in June, the militants carried out 26 attacks in which 36 people were killed and 26 injured.
In Khyber Pakhtunkhwa (KP), PICSS has recorded a 400pc increase in militant attacks compared to June 2022. 
In July, 12 militant attacks were reported in which 12 people were killed, including 10 security forces personnel, while 13 others sustained injuries including 10 army personnel. 

34 people killed in 33 attacks, think-tank’s statistics say

In June, the province had witnessed only three militant attacks in which three people were killed. 
A newly-formed militant outfit ‘Ittehad Musallah Islami Mujahideen (IMAM)’ claimed responsibility for one of the attacks. 
In response to an increase in militant attacks, security has been beefed up in the province. In a security forces action reported from KP, three alleged militants were apprehended.
In the tribal districts of Khyber Pakhtunkhwa, the report recorded a slight increase in militant attacks compared to June while in July, 14 militant attacks were reported compared to 12 in June. 
In July, 16 people were killed in erstwhile Fata, including three security forces personnel, while 23 sustained injuries including 18 security forces personnel. 
The TTP has not claimed responsibility for any militant attack in the region.
Action of six security forces were reported from erstwhile Fata in which 13 alleged militants were killed and four others apprehended.
In Balochistan, security forces carried out three major operations against Balochistan Liberation Army (BLA) and killed 17 alleged militants in response to their involvement in the kidnapping and killing of Lt-Col Laiq of the Pakistan Army. 
Seven militant attacks were also reported in the province in which six people were killed including four security forces personnel while 10 sustained injuries. 
In Sindh, two security forces actions were reported in which three alleged militants were apprehended.
Published in Dawn, August 2nd, 2022
"
