,Header,Summary,Detail
0,Police official martyred in Peshawar,PESHAWAR: A police official was martyred when unknown attackers opened fire on a police rider squad near a ...,"PESHAWAR: A police official was martyred when unknown attackers opened fire on a police rider squad near a checkpoint in Regi Model Town area of the city late on Wednesday night. 
An official at the Regi Model Town police station told Dawn that the incident took place late on Wednesday night when unidentified motorcyclists opened fire on a police rider squad near Subhan Sher checkpoint in the area. 
The firing left mobile officer Raheemen Khan dead. Soon after the incident, the police launched a search operation in the area, but there was no confirmation of any arrest made so far. 
The martyred cop’s funeral prayer was offered at Malik Saad Shaheed Police Lines, which was attended by Capital City Police Officer Mohammad Ijaz Khan and other police officials. Mr Khan said on the occasion they would make all efforts to arrest the attackers. 
The Counter Terrorism Department registered an FIR and has started investigation. 
Attacks on police have surged during the current year and according to police figures at least 63 cops have been martyred in targeted killings and other incidents of violence in the province during first seven months of the year. 
Published in Dawn, August 12th, 2022
"
1,KP to revamp tribal district headquarters hospitals on its own,Move comes after centre’s refusal to provide funds; provincial govt has already announced such a programme for settled districts.,"PESHAWAR: The Khyber Pakhtunkhwa government has decided to revamp district headquarters hospitals in tribal districts from its own resources after the suspension of healthcare funding by the federal government at the start of the current financial year.
In the 2022-23 budget, the government had announced the Revamping of Secondary Health Facilities Programme for settled districts at the cost of Rs20 billion in two years, officials told Dawn.
They, however, said the centre’s refusal to continue funding health projects in tribal districts during the current fiscal had forced the province to cover all secondary health initiatives under that programme.
For the Revamping of Secondary Health Facilities Programme, the health department has already selected six hospitals in Peshawar, Charsadda, Haripur, Karak and Abbottabad districts. In the next phase, such health facilities in other districts will be upgraded.

Move comes after centre’s refusal to provide funds; provincial govt has already announced such a programme for settled districts 

The officials said the provincial government had included seven DHQ hospitals in as many tribal districts in the revamping programme after the centre declined to provide funds for them.
They said the federal government had also stopped free health services for the erstwhile Fata and frontier regions in July this year asking the province to include that population in its Sehat Card Plus programme.
The officials said previously, 12 million families in tribal districts received free treatment under the centre-run Sehat Sahulat Programme (SSP) but currently, they availed themselves of the cashless treatment under the provincial government’s Sehat Card Plus programme.
They said the province had asked for Rs5 billion funds for the healthcare of those residents until June 2023.
The officials said besides the construction of new hospitals in the province, the government had announced the revamping of DHQ hospitals in phases.
They, however, said DHQ hospitals in seven tribal districts were also made part of the programme in light of poor healthcare situation.
When contacted, provincial director-general (health services) Dr Shaheen Afridi said the hospital revamping programme would bring much-needed improvement in healthcare system in the province.
“DHQ hospitals in tribal districts have been included in the programme as part of the programme to upgrade services and provide adequate staff, equipments and medical supplies to ensure better secondary care facilities,” she said.
The DG said health facilities in tribal districts were managed by a separate directorate before the Fata-KP merger but they were later brought under the health services directorate, which improved services there.
She said the health department’s independent monitoring unit had begun operation in the region and health facilities were regularly monitored and disciplinary action was taken accordingly.
Dr Shaheen said though the health department initially struggled to merge its ex-Fata employees with those from Khyber Pakhtunkhwa, 90 per cent of work on it had been completed.
She said health regulations had been implemented in tribal districts with the deployment of drug inspectors to manage medicine-related matters on the pattern of settled districts.
The DG said six to seven DHQ hospitals would be upgraded in every phase and thus, improving patient care with strict monitoring by the health department.
Meanwhile, officials in the health secretariat said health minister Taimur Jhagra had ordered the inclusion of ex-Fata DHQ hospitals in the secondary healthcare revamping programme meant for settled districts.
They said an amount of Rs700 million would be spent on the improvement of infrastructure, equipment and HR in each of the hospitals.
Officials said the government had also decided to outsource health facilities in tribal districts as part of its initiative to contract out 58 health facilities under public-private partnership, which would further improve patient care.
They said health facilities in the province had a heavy patient load from tribal districts due to poor services and absenteeism in hospitals of their region.
The officials said the erstwhile Fata had over 1,100 health centres but as there was no proper check and balance for them, the residents had to go to settled districts, especially Peshawar, for diagnosis and treatment.
Published in Dawn, August 12th, 2022
"
2,Summer vacation of schools extended till Aug 31,PESHAWAR: The Khyber Pakhtunkhwa Elementary and Secondary Education Department (ESED) on Thursday extended the ...,"PESHAWAR: The Khyber Pakhtunkhwa Elementary and Secondary Education Department (ESED) on Thursday extended the summer vacation of educational institutions up to high level for 15 days till August 31 due to intense heatwave. 
Chief Minister Mahmood Khan had earlier directed the ESED to extend the vacation till August 31 in summer zone of the province, including Peshawar valley, southern districts and other such areas. 
A notification issued by the ESED stated that in the light of the chief minister’s secretariat letter the competent authority was pleased to extend the summer vacation in summer zone up to Aug 31 due to the present intense heatwave. 
The notification said that the extension of summer vacation would only be in respect of students attending the schools up to class-10. It stated that heads of all educational institutions and staff should regularly attend their respective institutions during enrolment campaign and facilitate students and parents. 
Published in Dawn, August 12th, 2022
"
3,DROs take oath for NA by-polls,"PESHAWAR: Provincial Election Commissioner, Khyber Pakhtunkhwa, Mohammad Farid Afridi on Thursday administered oath...","PESHAWAR: Provincial Election Commissioner, Khyber Pakhtunkhwa, Mohammad Farid Afridi on Thursday administered oath to the district returning officers (DROs) appointed for by-elections on four vacant National Assembly seats in Khyber Pakhtunkhwa. 
According to a press release issued here, the oath was administered to DROs of NA-22 Mardan, NA-24 Charsadda and NA-31 Peshawar, Sardar Jehanzeb, Raham Zada and Saeed Ahmad Khan, respectively. 
The DRO for NA-45 Kurram, Mohammad Nadeem Khan, had earlier taken the oath. Director (elections) Khushal Zada was also present on this occasion. 
As per election schedule, the candidates could file their nomination papers till Aug 13, while list of candidates will be published on Aug 14. Polling on these seats will be held on Sept 25. 
These seats have fallen vacant with the resignation of then MNAs of Pakistan Tehreek-i-Insaf. 
Published in Dawn, August 12th, 2022
"
4,Bannu elders reject delimitation of constituencies,Say the ECP divided six village councils of Mandan area into three provincial constituencies without the consent of voters.,"LAKKI MARWAT: Local elders have rejected the delimitation of the provincial assembly constituencies in Bannu district and warned that they would move superior courts against the move by the Election Commission of Pakistan.
Malik Mohammad Ishaq Khan and Umar Khittab Khan told reporters here on Thursday that the ECP had divided six village councils of Mandan area into three provincial constituencies without the consent of voters.
They said former MPAs Qari Abdul Razzaq Mujaddedi, Malik Naqeebullah Khan and Malik Riaz Khan belonged to Mandan but after fresh delimitation, the residents won’t be able to elect someone from among them as the lawmaker.
The elders said the ECP move was meant to benefit ‘certain political elements’ but the residents would put up a strong resistance to ‘this act of injustice’.
They urged local MPA Malik Pakhtoonyar Khan to support the people of Mandan on the delimitation issue.
Meanwhile, former tehsil nazim and JUI-F leader Malik Ihsan Khan told a presser that all political and legal options would be used for the restoration of old constituencies.
He said many parts of six village councils in Mandan were part of PK-100 constituency but they had been shifted to PK-99 and PK-101 constituencies by the ECP causing reservations among the residents.
The former nazim also complained about the division of three patwar circles into three provincial assembly constituencies.
“The ECP has carried out fresh delimitation by ignoring ground realities and the will of residents and therefore, it is unacceptable to us all,” he said.
POWER BREAKDOWN: The Pakistan Tehreek-i-Insaf leaders on Thursday demanded a probe by the Peshawar Electric Supply Company into a daylong power breakdown in Lakki city for action against those responsible for it.
Dr Mohammad Iqbal, Ahmad Nawaz and other PTI leaders told reporters here that power supply to Lorry Adda, 
Haqdadabad, Hamidabad, Omarabad Garaban, Hospital Road and Minakhel was suspended at 2pm on Muharram 10 but it had yet to be restored.
He said the prolonged power cut also caused water shortage to the misery of the people, who had to purchase water for domestic use.
The PTI leaders asked the Pesco to immediately restore electric supply, find the cause of power breakdown through an inquiry, and take steps to improve power system.
Published in Dawn, August 12th, 2022
"
5,High court grants bail to juvenile in assault case,PESHAWAR: The Peshawar High Court has granted bail to a juvenile suspect charged with sexually assaulting a...,"PESHAWAR: The Peshawar High Court has granted bail to a juvenile suspect charged with sexually assaulting a six-year-old boy in Shangla district two months ago.
Justice Mohammad Naeem Anwar of a single-member bench accepted the suspect’s petition on the condition of furnishing two surety bonds of Rs200,000 each.
The bench observed that according to a certificate issued by the National Database and Registration Authority, the petitioner was born on April 2, 2011, and his age was 11 years and two months when he allegedly committed the crime.
It observed that the offence attracted the prohibitory clause of Section 497 of the Code of Criminal Procedure  but the provisions of the Juvenile Justice System Act, 2018, provided concession to the juvenile accused, especially those under 16 years of age.
It observed that since the petitioner was under 16, he was entitled to the concession of bail.
The court observed that the matter had been patched up by the relevant parties at the intervention of local elders and that affidavits by them along with their joint statement recorded by a lower court were also produced.
It added that the father of the assault victim, who was present in the courtroom, had no objection to the release of the petitioner on bail.
The court observed that although the offence was not compoundable, a compromise was prima facie in the best interest of both parties.
The FIR against the petitioner was registered at the Bisham police station in Shangla district on June 18, 2022, under Section 377 of the Pakistan Penal Code and Section 52 of the Khyber Pakhtunkhwa Child Protection and Welfare Act.
The complainant in the case was the assault victim’s grandfather, who alleged that his grandson had stepped out of his house to play with friends but the suspect took him to nearby fields and sexually assaulted him.
The petitioner’s counsel contended that his client had been suffering from multiple diseases inside the prison and recently underwent appendix surgery.
He contended that the matter had already been patched up between the party and the complainant and father of the assault victim had given affidavits that they had no objection if the petitioner was freed on bail.
The lawyer said Form B of the petitioner clearly proved that he was a juvenile and under the Juvenile Justice System Act he was entitled to the concession of bail. He argued that at the tender age, the petitioner was not capable of committing that heinous offence.
Published in Dawn, August 12th, 2022
"
6,Four Afghans held in DI Khan,"DERA ISMAIL KHAN: Police arrested four Afghan nationals for travelling without valid documents here on Thursday. 

...","DERA ISMAIL KHAN: Police arrested four Afghan nationals for travelling without valid documents here on Thursday. 
An official said that Dera town police stopped four Afghans at Khutti checkpost, who were traveling without valid documents. 
The police identified them as Naimatullah, Jhanju, Sahib and Murad. 
The Dera police have registered a case against them under 14 Foreigners Act. 
Published in Dawn, August 12th, 2022
"
7,Clearing of choked watercourse in Shangla demanded,SHANGLA: Local people and traders of Belay Baba Bazaar here have demanded of the Khyber Pakhtunkhwa government to...,"SHANGLA: Local people and traders of Belay Baba Bazaar here have demanded of the Khyber Pakhtunkhwa government to open the choked watercourse under the bridge on Bisham-Swat road, which was blocked by rubble coming with the floodwater in recent rains. 
They said that in case of more rains the water could spill into the area and cause damage to the markets and houses. 
In this regard, a 16-member delegation led by Daulat Kallay village council chairman Gul Hassan held a meeting with deputy commissioner Ziaur Rehman on Thursday and urged him 
for help in clearing the watercourse and drainage system besides ensuring payment of compensation for the houses damaged in recent rains. 
The DC assured the traders that he would ask the National Highway Authority to remove the rubble from the watercourse. 
Later, the traders told mediapersons that goods were damaged after floodwater entered into their shops during recent rains. 
Juma Khan, a trader, said the drainage stream had been choked due to debris and mud brought by the floodwater and in case of more rainfall the water could destroy goods in their shops. 
Rehmani Gul, a village council chairman, claimed that the watercourse under the bridge on the Bisham-Swat road was choked as a contractor had dumped there the rubble of Daulat Kallay road during its excavation. He said that water from the stream was now flowing on part of the road. 
After choking of the stream the traders and families residing near the bridge now fear that extended spell of rainfall could cause heavy losses to them. 
The traders and local people have demanded of the government to order the authorities concerned for immediate steps to clear the watercourse.  
Published in Dawn, August 12th, 2022
"
8,Power protesters block road in Mohmand,GHALANAI: The residents of Sultankhel and Barokhel areas of Haleemzai tehsil on Thursday blocked the main Gursal ...,"GHALANAI: The residents of Sultankhel and Barokhel areas of Haleemzai tehsil on Thursday blocked the main Gursal road between Pakistan and Afghanistan to protest stoppage of work on the route and power loadshedding in the region.
The protesters blocked the main road for three hours to all kinds of traffic and chanted slogans against Wapda and the district administration. They said that construction work on Gursal road was stopped one year ago, which caused numerous problems to them.
They complained that people were suffering from chest infections and other diseases due to the dust in the area caused by stoppage of word on the road.
PPP district general secretary Waheed Mohmand also participated in protest and addressed the rally. He asked Wapda to restore smooth supply of power to the people because they were facing difficulties in the hot season.
He demanded of the district administration and parliamentarians to resolve the basic issues of locals on priority basis.
Later, Assistant Commissioner Sajjad Hussain held negotiations with the protesters and assured them of early resolution of their problems.
A protester told Dawn that people would stage a sit-in for indefinite period if their issues were not resolved. He said that responsibility for any unpleasant incident would rest with police and district administration.  
Published in Dawn, August 12th, 2022
"
9,Rs8bn okayed for bridge on Indus River in Torghar,MANSEHRA: The Khyber Pakhtunkhwa government has approved Rs8 billion for the construction of a bridge on the Indus...,"MANSEHRA: The Khyber Pakhtunkhwa government has approved Rs8 billion for the construction of a bridge on the Indus River in Kotkay Kundar area of Torghar district.
According to MPA Laiq Mohammad Khan, tendering for the bridge, which is meant to significantly reduce travel time between Torghar and other districts, will be finalised in a couple of weeks, while it will be built by the Khyber Pakhtunkhwa Highway Authority.
Mr Laiq, who is also chairman of the district development advisory committee, told reporters that the bridge’s construction was the biggest development project ever executed in the district.
He said the provincial government had allocated Rs8 billion for the bridge under its special development package for Torghar.
The lawmaker said the bridge would also benefit the people living on both sides of the river.
He said projects being executed in the district promised the people’s development.
COMMENTS SOUGHT: Additional and sessions judge Ajmal Tahir on Thursday asked the deputy inspector general of police, Hazara range, to respond to petition against the arrest of senior lawyer Munir Hussain Lughmani in the Dua Zohra ‘kidnapping’ case.
After hearing the counsel for plaintiff Lughmani and police department, the court issued a notice to the DIG Hazara for the purpose by Aug 29 and adjourned hearing until then.
The Mansehra police had arrested Mr Lughmani on June 2 on the charge of sheltering Karachi- based Dua Zohra and her husband, Zaheer, who had married off of their free will.
Senior superintendent of police (Investigation) Hafiz Janis Khan and superintendent of police (Operation) Mohammad Jamil appeared before the court.
Later, Mr Lughmani, Judicial Commission of Pakistan member Shahid Raza and other senior lawyers reiterated the demand of action against the police officer over the arrest.
They warned the protest would continue until the arrests were made for legal action.
WALK: The district health department on Thursday held a walk to create public awareness of breastfeeding for the good health of newborn babies.
The lady health workers, lady health supervisors and other employees of the health department participated in the Shinkiari Road walk.
District health officer Dr Mushtaq Tanoli told participants to ensure that the women breastfeed infants for their healthy life.
He said infants shouldn’t be given even water during the first six months of birth.
The DHO said LHWs should raise awareness of breastfeeding and tell women that those not feeding their newborn babies were vulnerable to breast cancer.
Published in Dawn, August 12th, 2022
"
