,Header,Summary,Detail,Link,Category
0,Israel thanks Morocco for protecting Jews during Holocaust,JERUSALEM: Israeli President Isaac Herzog thanked Morocco’s King Mohammed VI for his country’s provision of...,"JERUSALEM: Israeli President Isaac Herzog thanked Morocco’s King Mohammed VI for his country’s provision of  “safe haven” for Jews during the Holocaust, in a missive seen by this news agency on Tuesday.
The letter — marking two years since Morocco normalised ties with Israel — was the first occasion an Israeli state official has paid tribute to the Holocaust-era actions of Morocco’s monarch at the time, according to the presidency.
Herzog expressed Israel’s gratitude to the king  “and the people of Morocco who, for generations, have acted to protect the security, welfare and cultural heritage of the kingdom’s Jewish community”.
Herzog mentioned Jews settling in Morocco following their expulsion from Spain in the late 15th century, before noting the North African country’s protection of Jews during World War II.
“When millions of Jews faced the horrors of the Holocaust in the 20th century, King Mohammed V provided a safe haven for his Jewish subjects,” Herzog said in the letter, dated December 22.
“Moroccan Jews recall with pride and affection the memory of your grandfather, His Majesty King Mohammed V, who is remembered as the protector and guardian of Jews in his realm,” Herzog added.
Mohammad V is famous for his refusal to apply anti-Jewish laws prescribed by France’s pro-German Vichy government during World War II.
Herzog praised the current king’s moves to support his country’s Jewish community, noting the decision to include Holocaust education in Moroccan schools.
Such a move would not only deepen  “your people’s commitment to tolerance and understanding but send a powerful message about these essential values to countries from the Atlantic to the Gulf”, Herzog wrote.
The presidency said the letter was coordinated with Israel’s foreign ministry and the state’s Yad Vashem Holocaust centre.
Rabat cut relations with Israel in 2000 following the outbreak of the second Palestinian intifada. But in December 2020, the two countries formalised ties, following similar agreements earlier that year between Israel and Gulf countries the United Arab Emirates and Bahrain.
Before then, Israel had reached peace treaties with neighbouring Egypt and Jordan, in 1979 and 1994 respectively.
Morocco’s Jewish community dates to antiquity and grew in the 15th century with the expulsion of Spain’s Jews.
By the 1940s its number had grown to 250,000, representing 10 percent of the country’s population, but mass emigration followed Israel’s founding in 1948.
The kingdom’s Jewish community is now estimated to number some 3,000 people, the largest in North Africa. Approximately 700,000 Israelis claim Moroccan descent and maintain strong ties with their country of origin.
Published in Dawn, December 28th, 2022
",read full story,international
1,India inspects drug factories after Gambia deaths,An Indian company’s cough and cold syrups have been linked to deaths in Gambia.,"MUMBAI: India’s pharmaceuticals regulator has begun inspecting some drug factories across the country, the health ministry said on Tuesday, as it tries to ensure high standards after an Indian company’s cough and cold syrups were linked to deaths in Gambia.
India is known as the  “pharmacy of the world” and its pharmaceuticals exports have more than doubled over the past decade to $24.5 billion in the past fiscal year.
The deaths of at least 70 children in Gambia has dented the industry’s image, though India says the drugs made by New Delhi-based Maiden Pharmaceuticals Ltd were not at fault.
“Joint inspections are being conducted all over the country as per standard operating procedures,” the Ministry of Health and Family Welfare said in a statement.  “This will ensure high standards of quality compliance with respect to drugs manufactured in the country.”  The ministry said it was inspecting  “drug manufacturing units” that were at risk of making non-standard, adulterated, or spurious drugs but did not name any company.
Some health experts say India’s drug regulations are lax, especially at the level of states where thousands of factories operate. The government in October suspended all of Maiden’s production, based in the state of Haryana, for violation of manufacturing standards. But India’s main drugs officer told WHO this month that tests of samples from the same batches of syrups that Maiden sent to Gambia were compliant with government specifications.  A Gambian parliamentary committee said last week that Maiden was responsible for the deaths of 70 children from acute kidney injury and called on the government to pursue legal action.
Published in Dawn, December 28th, 2022
",read full story,international
2,Israeli ambassador to Turkiye presents credentials to Erdogan,Ceremony marks latest step in warming ties between Israel and Turkiye.,"JERUSALEM: Israel’s ambassador to Turkiye Irit Lillian on Tuesday presented her credentials to President Recep Tayyip Erdogan, the foreign ministry said, marking a new era after four years with the position unstaffed.
“A very emotional moment this afternoon as I presented my letter of credentials to the President,” Lillian, who had been serving as Israel’s charge d’affaires in Ankara, wrote on her Twitter account.
“Looking forward to many more positive developments in the bilateral relations”.

 





 
The ceremony at Erdogan’s presidential complex in Ankara marks the latest step in warming ties between Israel and Turkiye. Bilateral relations began to fray in 2008 following an Israeli military operation in Gaza.
Relations then froze in 2010 after the deaths of 10 civilians following an Israeli raid on the Turkish Mavi Marmara ship, part of a flotilla trying to breach a blockade by carrying aid into the Gaza enclave.
A brief reconciliation lasted from 2016 until 2018, when Turkiye withdrew its ambassador and expelled Israel’s over the killing of Palestinians during a conflict with Gaza.
Published in Dawn, December 28th, 2022
",read full story,international
3,Republican lawmaker-elect admits fabricating resume,NEW YORK: A Republican elected to Congress in November was facing a growing clamor for his resignation on Tuesday...,"NEW YORK: A Republican elected to Congress in November was facing a growing clamor for his resignation on Tuesday after admitting that he made up large parts of his biography — but refusing to give up his seat.
George Santos’s victory in a New York district helped his party secure a narrow majority in the House of Representatives — Congress’s lower chamber. But a New York Times investigation cast doubt on key parts of his education and work history that he touted during the campaign.
Santos admitted in two separate interviews on Monday to significant fabrications of his resume, confessing that he’d neither worked at Goldman Sachs and Citigroup nor graduated from college, despite his claims to the contrary.
The Republican refused to give up his seat in Congress, however, telling the New York Post,  “I’m not a criminal” — inviting comparisons with disgraced president Richard Nixon’s infamous 1973 declaration that  “I am not a crook.” Santos apologised for what he called  “embellishing my resume” but some of his justifications for his dishonesty bordered on the absurd, particularly his defence of his false claim that he was Jewish.
“I am Catholic. Because I learned my maternal family had a Jewish background I said I was ‘Jew-ish,’” he told the Post. Questions remain over Santos’s finances and Democrats have raised the possibility that he may have broken the law by lying in campaign disclosures.
Several members of President Joe Biden’s party have demanded that House Republican leader Kevin McCarthy call a vote to expel Santos if he does not quit. “His pitiful confession should not distract us from concerns about possible criminality and corruption,” New York congressman Ritchie Torres tweeted.
“The Ethics Committee MUST investigate how he made his money. Where there’s smoke, there’s fire.” California congressman Eric Swalwell accused Santos of  “defrauding the voters of Long Island about his ENTIRE resume” while Democratic strategist Kurt Bardella urged McCarthy to  “demand his resignation.”  “If he refuses, Santos should not be seated by the new Congress,” Bardella added.
Santos, who beat Democrat Robert Zimmerman in a newly-drawn district straddling Queens and Long Island, was at the vanguard of a Republican  “wave” in New York that powered the party to a 222-212 House majority.
He initially posted a statement from his lawyer accusing the Times of  “attempting to smear his good name with these defamatory allegations.” McCarthy has been questioned by reporters in Congress over the allegations but has so far avoided responding.
Published in Dawn, December 28th, 2022
",read full story,international
4,Ship carrying 113 migrants allowed to dock in Italy,MARSEILLE: Italy will allow the Ocean Viking humanitarian ship to dock at an Italian port and disembark 113 people...,"MARSEILLE: Italy will allow the Ocean Viking humanitarian ship to dock at an Italian port and disembark 113 people rescued from the waters of the Mediterranean, a French NGO said on Tuesday.
The humanitarian vessel, run by SOS Mediterranee, was at the centre of a standoff between France and Italy in November, when Italy’s new far-right government under Prime Minister Giorgia Meloni blocked access to its ports.
The 230 migrants on board at the time were eventually allowed to disembark in France after spending weeks at sea — heightening tensions between the two countries.
On Tuesday, SOS Mediterranee said the ship had been given permission to dock at the port of Ravenna in northeastern Italy, although it said it would take  “four long days of navigation” to reach it.
The migrants on board were rescued overnight Monday in international waters close to Libya, as the boat carried out its first rescue operation since docking in France last month.
Among those who had been rescued were 23 women including some who were pregnant, according to the NGO, plus around 30 unaccompanied minors and three babies. The youngest baby rescued is only three weeks old.
Every year many people fleeing Africa and the Middle East seek to enter Greece, Italy and Spain in hope of better lives in the European Union.
The International Organisation for Migration has recorded nearly 2,000 migrants as dead or missing in the Mediterranean Sea this year.
Published in Dawn, December 28th, 2022
",read full story,international
5,"Sushant’s death was murder,says mortuary staff",KARACHI: New developments in the Sushant Singh  Rajput case suggest that his death is not as simply conclusive as ...,"

Sushant Singh Rajput

 
KARACHI: New developments in the Sushant Singh  Rajput case suggest that his death is not as simply conclusive as it  seemed. It was ruled as a suicide but there are people ready to  challenge that even after two years, Dawn.com reported. 
A mortuary worker  said the autopsy revealed evidence of inflicted violence and the bodily  state matched that of a murder case. The Bollywood actor’s lawyer  reasserted that it was not a “simple suicide” and his sister Shweta  Singh Kirti has demanded the Central Bureau of Investigation (CBI)  investigate fairly.
In an interview with TV9 Marathi, Roopkumar  Shah, who was present when Sushant’s body was brought in for postmortem,  said, “After Sushant’s death, five bodies were brought for postmortem.  We were told that there is a VIP body in it, but it was not known  earlier. When I saw Sushant’s body, I told the seniors that I think it  is not suicide but murder. That’s why we should work in the same way.  But I was told that you do your work and I will do mine. My job was to  cut and sew the body, which I did. That entire postmortem should have  been videographed but sir said he wanted to work on the photographs and  hand over the body as soon as possible. That’s how we did the postmortem  at night.
“When the clothes were removed, there were beating  marks on the body. There were injury marks at two or three places on the  neck. It seemed as if the hands and legs were broken due to beating…  There were deep injury marks on the body. The video shoot was to happen  but whether it happened or not… Seniors were also asked to work on the  photos only. So we worked on it,” he added, according to Hindustan  Times.
Sushant’s lawyer Vikas Singh reacted to the reports and  told Etimes that though he does not have any direct information about  the injuries on the actor’s body as claimed by the alleged eyewitness,  he knows something bigger was at play. “I will not be able to comment on  the same as the sisters have not told me about it. But I maintain that  Sushant Singh Rajput’s death was not a simple suicide as there was a  conspiracy behind it. And only the CBI will be able to unravel the  conspiracy behind his death.”
Shweta took to Instagram and re-shared a photo of Sushant with a headline talking about the mortuary worker’s account. 
“If  there is an ounce of truth to this evidence, we urge [the] CBI to  really look into it diligently. We have always believed that you guys  will do a fair investigation and let us know the truth. Our heart aches  to find no closure as yet,” she added. The late actor’s sister has been  very active on social media in her fight for justice for his death.
Sushant  was found dead in his apartment in Mumbai. While there was no note, the  Mumbai Police ruled it a suicide. The 34-year-old’s death is being  investigated by the CBI. His girlfriend Rhea Chakraborty was arrested in  2020 and 2021 for purchasing and financing narcotics for her late  boyfriend. Though the murder angle was ruled out, no closure report has  been filed so far by the agency.
Published in Dawn, December 28th, 2022
",read full story,international
6,UN urges countries to help Rohingya at sea as hundreds land in Indonesia,UNHCR says nearly 500 Rohingya have reached Indonesia in the past six weeks.,"

A ROHINGYA refugee feeds a child at a temporary shelter in Indonesia’s Aceh province on Tuesday.—Reuters

 
PIDIE: The United Nations refugee agency (UNHCR) urged countries on Tuesday to help Rohingya Muslims stranded at sea as at least 20 reportedly died and hundreds more landed in Indonesia after weeks adrift in the Indian Ocean.
Nearly 500 Rohingya have reached Indonesia in the past six weeks while  “many others did not act despite numerous pleas and appeals for help”, the UNHCR said in a statement.
It said on Monday said 2022 could be one of the deadliest years at sea in almost a decade for the Rohingya with a growing number of them fleeing desperate conditions in refugee camps in Bangladesh. One boat carrying 180 people is believed to have sunk in early December, with all on board presumed dead, according to rights groups.
The Rohingya have long been persecuted in Buddhist-majority Myanmar, which borders Bangladesh. For years many have fled to neighbouring states like Thailand and Bangladesh, and to Muslim-majority Malaysia and Indonesia between November and April when seas are calmer.
Nearly 1 million live in crowded conditions in Bangladesh, including many of the hundreds of thousands who fled a deadly crackdown in 2017 by Myanmar’s military, which denies committing crimes against humanity.
Rights groups have recorded a significant increase in the number leaving the camps, from about 500 last year to an estimated 2,400 this year. It is not clear what is driving the larger exodus. Some activists believe the lifting of Covid restrictions around Southeast Asia, a favoured destination for the Rohingya, could be a factor.
’Dangerous voyages’
A boat washed ashore in Aceh province on the Indonesian island of Sumatra on Monday carrying 174 Rohingya, most of them dehydrated, fatigued and in need of urgent medical care after weeks at sea, local disaster agency officials said. Some survivors recounted stories of hunger and desperation, saying more than 20 of the passengers died on the way.
“We came here from the largest Bangladesh refugee camp with the hope that the Indonesian people would give us the opportunity of education,” said Umar Farukh, who spoke in a shelter crowded with Rohingya men, women and children receiving care from Indonesian medics.
Thai authorities said after rescuing six people found clinging to a water tank floating in the Andaman Sea that the survivors reported their boat being denied access to Malaysia and turning back towards Bangladesh. Malaysia’s Maritime Enforcement Ministry did not respond to requests for comment.
Monday’s landing in Indonesia was the latest in a series of Rohingya boat landings and rescues around the region in recent weeks, prompting Bangladesh authorities to try and stop people from risking their lives on boats to Southeast Asia.
“We’re doing everything possible to stop them from taking the dangerous voyages,” Bangladeshi Refugee Relief and Repatriation Commissioner Mohammad Mizanur Rahman said on Monday.
Published in Dawn, December 28th, 2022
",read full story,international
7,South Korea’s military apologises for not downing North’s drones,SEOUL: South Korea’s military apologised on Tuesday for failing to shoot down five North Korean drones that ...,"SEOUL: South Korea’s military apologised on Tuesday for failing to shoot down five North Korean drones that crossed their shared border after facing wide criticism over its lack of readiness.
Monday’s incursion prompted Seoul to fire warning shots and deploy fighter jets and attack helicopters to shoot down the drones, one of which flew close to the capital.
“Yesterday, five enemy drones invaded South Korean airspace, and our military detected and tracked them, but we apologise for not being able to shoot them down,” the Joint Chiefs of Staff (JCS) said in a statement. All of the drones appeared to have returned to the North despite an operation to hunt them down that lasted five hours.
The JCS acknowledged that, while the military can counter  “attack drones that pose a real threat”, there is a limit to their ability to detect and strike smaller spy drones.
“As a result, the military’s lack of readiness has caused a lot of concern to the public,” it said.
South Korean President Yoon Suk-yeol said at a cabinet meeting on Tuesday the incident showed that the military’s readiness was  “greatly lacking”. Yoon ordered an acceleration of a plan to launch a drone unit to carry out surveillance and reconnaissance operations on North Korea’s key military facilities. The plan includes introducing advanced stealth drones.
The incursion was the first time in years that North Korean drones had entered the South’s airspace and closely followed a recent flurry of sanctions-busting weapons tests by Pyongyang.
Published in Dawn, December 28th, 2022
",read full story,international
8,AI sees big improvements in stroke treatment,LONDON: Artificial intelligence technology has tripled the number of UK stroke patients recovering to a point where...,"LONDON: Artificial intelligence technology has tripled the number of UK stroke patients recovering to a point where they can perform daily activities, according to new research released on Tuesday.
Early stage analysis of over 111,000 suspected stroke patients whose care included use of the technology found it reduced the time between being seen by a doctor and treatment beginning by over 60 minutes, leading to improved results.
The proportion who were able to resume day-to-day activities increased from 16 to 48 per cent, the analysis of the Brainomix e-Stroke imaging platform found.
The technology, developed by the UK’s med-tech solution firm Brainomix, is being used across 11 stroke treatment networks in the UK’s state-funded National Health Service (NHS) to diagnose strokes and determine the best treatment.
The platform helps doctors in the interpretation of brain scans and allows them to share the images with specialists worldwide who can access them remotely.
“AI has the potential to transform our NHS — delivering faster, more accurate diagnoses and making sure patients can get the treatment they need, when they need it,” the UK’s health secretary Steve Barclay said in a statement.
Published in Dawn, December 28th, 2022
",read full story,international
9,Taiwan extends mandatory army service over China threat,"China’s ""intimidation and threats against Taiwan are getting more obvious,"" President Tsai Ing-wen says.","TAIPEI: Taiwan on Tuesday announced an extension in mandatory military service from four months to one year, citing the threat from an increasingly hostile China.
Beijing considers self-ruled, democratic Taiwan a part of its territory, to be taken one day, by force if necessary, and the island lives under the constant fear of a Chinese invasion.
China’s sabre-rattling has intensified in recent years under President Xi Jinping, and Russia’s invasion of Ukraine has further deepened worries in Taiwan that Beijing might move similarly to annex the island.
China’s  “intimidation and threats against Taiwan are getting more obvious”, President Tsai Ing-wen told a press conference after a high-level government meeting on national security.
“No one wants war... but my fellow countrymen, peace will not fall from the sky.”  “The current four-month military service is not enough to meet the fast and ever-changing situation,” she said.  “We have decided to restore the one-year military service from 2024.” The extended requirement will apply to men born after January 1, 2005, Tsai added.
Mandatory service used to be deeply unpopular in Taiwan, and its previous government had reduced it from one year to four months with the aim of creating a mainly volunteer force. But recent polling showed more than three-quarters of the Taiwanese public now believes that is too short.
Tsai described the extension as  “an extremely difficult decision... to ensure the democratic way of life for our future generations”.
“We can only avoid a war by preparing for a war and we can only stop a war by being capable of fighting a war.” 
The prospect of a Chinese invasion has increasingly worried Western nations and many of China’s neighbours. Xi has made clear that what he calls the  “reunification” of Taiwan cannot be passed on to future generations. Taiwan and China split at the end of the Chinese Civil War in 1949, and Tsai has said becoming a part of China is not acceptable to the people of the island.
Taiwan is a mountainous island and would present a formidable challenge to an invading force, but it is massively outgunned with 89,000 ground forces compared with China’s one million, according to a Pentagon estimate released last month.
Published in Dawn, December 28th, 2022
",read full story,international
