,Header,Summary,Detail,Link,Category
0,"In a first, KPC panel returns unopposed",KARACHI: There will be no polling for the annual election of the Karachi Press Club this year after all candidates ...,"KARACHI: There will be no polling for the annual election of the Karachi Press Club this year after all candidates of The Democrats returned unopposed for the year 2023 on Tuesday.
According to the KPC, Saeed Sarbazi of Business Recorder and Shoaib Ahmed of News One have been elected unopposed president and secretary, respectively.
Mushtaq Sohail of Daily Kawish has been elected Vice President, Muhammad Aslam Khan of Samaa News Joint Secretary and Ehtisham Saeed Qureshi of Daily Ummat as Treasurer. Kulsoom Jahan, Farooq Sami, Rameez Vohra, Rafique Bashir, Shams Keerio, Zulfiqar Ali Rajper and Zulfiqar Ali Wahoocho elected as members of the Governing Body. 
They were elected unopposed after all opposing groups and members withdrew their nomination papers the day the panels were to be announced. 
It is said to be the first time ever that an entire KPC panel has been elected unopposed. 
Senior journalist Ghazi Salahuddin was the last president of KPC to have been elected unopposed (although his entire panel went through the election process). 
Speaking to Dawn on Tuesday, he said: “There is an entire panel coming unopposed which has two aspects to it,” he said. “The positive aspect is that there will be no bitterness during the elections because there will be no elections. But the other aspect is that the Press Club is for journalists and there is always room for difference of opinion in journalism. So I would have welcomed the elections at KPC. You also need to accept dissent or deal with descent in journalism,” he concluded. 
Former KPC president Mazhar Abbas said an entire panel coming in unopposed shows the people’s confidence in that panel but it also points to some trouble among the opposing groups.
“The KPC elections have always brought up a healthy competition. Getting elected unopposed here should not become a new tradition, hopefully. It is also true that not all the KPC members or KPC voters visit the club often. They are approached by the candidates and their groups to request for votes, which involve them in the process, too,” he pointed out. 
“Still, even though there are going to be no elections on this year’s last Saturday like there used to be every year, I would like to see members attending the general body meeting to discuss the affairs of the Club that still need attention,” he said.
Published in Dawn, December 28th, 2022
",read full story,karachi
1,Trigger-happy policemen shoot ‘innocent’ youth to death in Karachi,DIG says three personnel of Shaheen Force held; victim was shot twice on the stairs of building.,"• DIG says three personnel of Shaheen Force held
• Victim was shot twice on the stairs of building
KARACHI: A young man was shot dead by police after a chase as he allegedly refused to stop his motorbike during snap-checking and tried to speed away in Gulistan-i-Jauhar on Tuesday, officials and hospital sources said.
The manner with which two policemen of Shaheen Force shot the man twice not on any road but inside an apartment complex cast doubts over their side of story and put a big question mark over their training.
The incident sparked a public outcry on social media that prompted Sindh Chief Minister Murad Ali Shah to take notice of it. 
DIG-East Muquddus Haider told Dawn that an inquiry conducted by senior police officers proved that the “policemen killed an innocent person”. 
He added that three policemen were arrested on charges of killing the citizen. An FIR under Section 302 (premeditated murder) of the Pakistan Penal Code was being registered against them. 
Earlier, SSP-East Syed Abdul Rahim Shirazi told Dawn that three policemen of Shaheen Force, which was recently formed to counter street criminals in the city, were arrested for shooting to death 26-year-old Amir Hussain.
In their initial statement, the held policemen said they signalled the motorcyclist to stop during snap-checking. He did not stop upon which they chased him, started firing that led to his death, the SSP said.
The victim is said to be a son of an official of the Sindh excise department.
His relatives told the media that the policemen chased Amir and shot him on the stairs of Noman Avenue, a multi-storey apartment complex, in Gulistan-i-Jauhar, Block-20. He suffered critical bullet wounds and was taken to the Jinnah Postgraduate Medical Centre where doctors pronounced him dead on arrival. 
Police Surgeon Summaiya Syed said that the man suffered two firearm injuries in the chest and foot. 
She said both bullets stuck in the body and were retrieved by doctors during a post-mortem examination. The same had been handed over to police for further investigation, she said.
Meanwhile, Sindh CM Murad Ali Shah took notice of the incident and directed the Karachi police chief to submit a detailed report about the incident.
Robbers shoot man over resistance
A citizen was shot and wounded by two armed robbers when he put up resistance in North Karachi, police said on Tuesday.
The Sir Syed police said Shakir Aziz, 45, was intercepted by the robbers near Mohammed Shah Graveyard, held him at gunpoint and demanded cell phone and cash. As he offered resistance, they shot him and tried to escape.
However, area people gathered there and managed to overpower one of the robbers and gave him severe beating. However, police managed to save him from the wrath of the people.
He was shifted to the Abbasi Shaheed Hospital for treatment.
Meanwhile, a suspected robber was shot and wounded in an alleged encounter in Sohrab Goth on Tuesday evening.
Police said that the encounter took place between policemen and robbers at Aligarh Society where after an exchange of firing, suspect Fayaz Khaliq was arrested in injured condition while his accomplice fled. The police seized a pistol from him. The injured was shifted to the ASH.
Published in Dawn, December 28th, 2022
",read full story,karachi
2,Sindh govt sets up anti-rape crisis cells,Police Surgeon Summaiya Syed has been appointed the cell's focal person.,"KARACHI: The Sindh government on Tuesday set up ‘anti-rape crisis cells’ across the province to deal with host of issues connected with sexual violence cases, their investigation and rehabilitation of rape survivors.
“The chief secretary is pleased to constitute and notify Anti-Rape Crisis Cells (ARCC) under Anti-Rape (Investigation and Trial) Act, 2021 in all districts of Sindh to ensure prompt redressal of rape and sexual abuse crimes in respect of women and children through special investigation teams and special courts,” read a provincial government notification issued here.  
Police Surgeon Summaiya Syed, who has been appointed focal person of ARCCs in Sindh, told Dawn that these cells were modelled on one-stop-protection centres and shall provide host of services to sexual violence victims, including male, female and transgender persons.  
She added these crisis cells would deal with medico-legal documentation along with evidence collection, preservation, psychological support, referral pathways for any medical need, police support/FIR, legal support and referral pathways for social rehabilitation of rape survivors.  
The notification stated that Dr Syed would be the focal person on ARCCs, while heads of respective hospitals, female medico-legal officers, deputy commissioners, medical superintendents of district hospitals and SSPs of districts would be its members.  
Regarding terms of references, it said that these cells would ensure medico-legal examinations without any delay, secure, collect and gather evidence, conduct a forensic analysis of examination, and help register an FIR by police and any other issues, if required with the approval of competent authority. 
The Anti-Rape (Investigation and Trial) Act 2021 was passed by the National Assembly and Senate. It seeks to establish special courts and use modern devices during the investigation and trial of rape cases.
Published in Dawn, December 28th, 2022
",read full story,karachi
3,Governor calls on Bohra community leader,"KARACHI: Sindh Governor Kamran Tessori called on the spiritual leader of Dawoodi Bohra community, Syedna Mufaddal...","KARACHI: Sindh Governor Kamran Tessori called on the spiritual leader of Dawoodi Bohra community, Syedna Mufaddal Saifuddin, here on Tuesday.
“The governor welcomed Syedna Mufaddal Saifuddin on his visit to Pakistan and requested him to pray for the development and prosperity of the country,” said a statement issued from Governor House.
He lauded the contribution of Bohra community in the country’s social and economic and development.
It said that Syedna Mufaddal Saifuddin called Pakistan his second home and expressed his well wishes for the future of the country.
Published in Dawn, December 28th, 2022
",read full story,karachi
4,"PTI, JI ask ECP to hold LG polls on time",KARACHI: The Pakistan Tehreek-i-Insaf and Jamaat-i-Islami called upon the Election Commission of Pakistan to fulfil...,"KARACHI: The Pakistan Tehreek-i-Insaf and Jamaat-i-Islami called upon the Election Commission of Pakistan to fulfil its constitutional responsibility by holding local government elections in Karachi and Hyderabad on time.
Both the parties expressed their expectations from the ECP at their separate press conferences here on Tuesday. 
Speaking at a press conference,  former federal minister and PTI-Sindh president Ali  Zaidi said that the PTI would resist any move from the  ruling parties and would make every effort using all legal and  democratic forums for timely elections.
“Like other parts of the  country, chairman Imran Khan is also clear about this and confident that  this bandit rule in Sindh should end,” he said. “And for that, the PTI  Sindh is going to be a major force for a massive movement going on true  freedom. 
“These bandits know the that they can’t hold any ground if the  fair and free elections are held. So they are running away from the  elections. But we wouldn’t let them get away with that.”
He said that the PPP did not want to lose Karachi from its provincial administration’s  control mainly for the financial reasons.
“Years of bad  governance, corruption and violation of law are on PPP’s credit.  They have nothing to win votes in Karachi and today they have conceded  defeat. The people of Karachi wouldn’t forgive the PPP and we expect the  ECP that it would fulfill its responsibility for free, fair and timely  LG polls,” added Mr Zaidi.
Recalling former prime  minister Benazir Bhutto on his 15th death anniversary, he said that she  would have been deeply disappointed seeing the current state of affairs  at her party which had been “hijacked by his husband Asif Ali Zardari  for exploitation and vested interests”.
JI urges CJP to take suo motu notice
The Jamaat-i-Islami on Tuesday appealed to the chief justice of Pakistan to take suo motu notice of the “unconstitutional measures” on part of the PPP and the Muttahida Qaumi Movement-Pakistan against the local government elections in Karachi. 
Speaking at a press conference here, JI Karachi chief Hafiz Naeem ur Rehman spoke at length about the upcoming local government elections and demanded that the Election Commission of Pakistan hold the LG polls as per the announced schedule on Jan 15, 2023. 
He called it anti-democratic attempt being made by the Sindh government to resuscitate the dead political horses in the country. 
He said the PPP had written a letter to the ECP against holding the polls in the city for the fourth time. This time, he maintained, the PPP was using the pretext of a demand made by the MQM-P for fresh delimitation of union committees in the city. 
“The PPP has been ruling the province for over 14 years and the MQM is fully cooperating with the PPP. The two parties could have opted for delimitation, reforms or whatever they name, but they didn’t and now they are using every possible excuse to get rid of the local government elections in Karachi,” he added.
Published in Dawn, December 28th, 2022
",read full story,karachi
5,Call to expand SC law clerkship programme to high courts,"Legal experts say practice can help to expedite disposal of cases, groom young lawyers.","KARACHI: Lauding the Supreme Court law clerkship programme, legal experts have suggested that such practice may also be adopted at high courts and subordinate judiciary of the country to expedite disposal of cases and professional grooming of young lawyers.  
They are of the view that the country’s judiciary has been overburdened and it is humanly not possible for judges to go through the files of all cases fixed before them on daily basis and the assistance of law clerks will be very useful to speed up the trial and proceedings.  
The concept of law clerkship has already been recognised and practised across the globe and has not only been constructive for capacity building of young lawyers and fresh law graduates, but also supportive for judges in timely disposal of the cases, the experts maintained.  
A law clerk, also called judicial law clerk or judicial associate, is a lawyer usually a fresh law graduate who provides direct assistance to a judge.  

Interns provide direct assistance to apex court judges and play helpful role in speedy disposal of cases

The law clerkship programme can be traced back to 1882, when the first law clerk was appointed at the US Supreme Court and the practice was later adopted by other countries, including the UK, Australia, Singapore, Mexico, and South Korea.  
In Pakistan, this practice was introduced at the apex court in 2010 by the then judge of Supreme Court Justice Jawwad S. Khawaja, who later became the chief justice of Pakistan, and now this programme is in its 12th year providing opportunity for over a hundred young lawyers to work on complex and historic cases before the apex court and learn from the guidance of their respective judges and go on to excel.  
Recently, the law clerkship program has also been introduced at the Islamabad High Court (IHC).  
In May, the IHC had invited applications from eligible candidates for the position of law clerk on one year contract basis to primarily conduct legal and academic research.  
Haider Imam Rizvi, a member of judicial commission of Pakistan and former vice chairman of the Sindh Bar Council, said, “We are in a midst of an era when the law is rapidly evolving and required to be developed in a right path while the courts are overburdened with cases and pending decisions.”  
While appreciating the initiative of the IHC to start the law clerkship programme in line with the apex court, he maintained that currently, the burden of cases on courts was far beyond the strength of judges as a judge could not be humanly expected to go through all the cases fixed in a day, thus research on the same with the assistance of law clerks would be very useful to pass judgments in a nick of time as every litigant seeking quick decision.  
Therefore, he suggested that the law clerkship might also be introduced to other high courts and sessions judges of the country so the process of justice can be expedited.  
He was of the view that this concept had already been in place in many countries including the United States, the United Kingdom, Australia, Canada, New Zealand, Brazil, the Philippines, Ireland, Singapore and India.  
Mr Rizvi further said that in 2018, when he was the president of the Karachi Bar Association, he gave a proposal to the chief justice of the Sindh High Court to introduce such a programme at the SHC. However, it could not be materialised, he added.  
He recommended that funds to pay stipend to such law interns could be generated by a pool in a separate account from the amount of costs being imposed by the judges in case of adjournments and frivolous litigation while donations could also be additional source of funds from lawyers and bar associations.  
The incumbent vice chairman of SBC Zulfiqar Ali Jalbani said that the programme might also be extended to the high courts, Federal Shariat Court, tribunals, special courts and subordinate judiciary of the country.  
“This will not only support the professionalism and performance as well as capacity building of young lawyers, but also be very helpful for the overburdened judiciary for speedy disposal of cases and to clear the huge backlog,” he added.  
He stated that this concept had been in place in several other countries since long and highly useful for their judicial system.  
A spokesman for the apex court told Dawn that law clerkship programme had been in place at the apex court since 2010 and the Supreme Court had been inviting applications for law clerkship programme almost every year across the country and the period of this internship was one year, which was extendable.  
According a statement of apex court, today most supreme courts across the world employ some version of a law clerkship programme, whereby exceptionally talented recent law graduates are employed to work directly with the judges of the supreme courts. The practice has grown over the centuries since its inception and today, former law clerks make up the majority of sitting Supreme Court Justices in the US.  
This year apex court has received the highest number of applications for its law clerkship programme since its inception as over 850 young lawyers applied across the country for 11 positions, it added.  
Forty six of them were shortlisted on the basis of merit and they were interviewed by two judges of apex court and eventually, 11 candidates were finalised while five were kept on reserve list since additional law clerks may be required by the apex court from time to time.
Published in Dawn, December 28th, 2022
",read full story,karachi
6,SHC sets aside life term of man in murder case,KARACHI: The Sindh High Court has overturned a life imprisonment handed down to a man in a case pertaining to the...,"KARACHI: The Sindh High Court has overturned a life imprisonment handed down to a man in a case pertaining to the murder of his neighbour.  
The SHC observed that the wife of an appellant, Qurat-ul-Ain, who had became an approver and deposed against her husband before the trial court, was a dishonest witness and should not have been treated as an approver since her testimony was inadmissible evidence.  
A sessions court had sentenced Mehboob Ali alias Bobby to life in prison in February 2015 for killing his neighbour Aliya during a robbery at her house in a Nazimabad locality in November 2009.  
The prosecution said that husband of the victim, Naveed Qureshi, came to know through the newspaper that an unidentified body of a woman had been found in the Nazimabad area in a gunny bag and identified the same as the dead body of his wife Aliya.  
The convict through his counsel had filed an appeal against his conviction.  
After hearing arguments and examining record and proceedings, the single-judge bench of SHC headed by Justice Omar Sial allowed the appeal and exonerated the appellant.  
The bench in its order observed that Qurat-ul-Ain was arrested around five months after the incident and a couple of days later things took a turn when the woman had recorded what was termed as a “confession statement” before a magistrate.  
“The entire case hinges on the fact that Qurat-ul Ain, who was Mehboob’s accomplice in the crime, made a confession, was tendered pardon, made an approver, recorded her testimony at trial and whatever she said was used to convict and sentence Mehboob,” it added.  
The bench further said the prosecution alleged that jewellery stolen from the victim was also recovered on a lead provided by the appellant, but the recovery was doubtful as the story narrated by Qurat-ul-Ain as to how victim’s jewellery reached Mehboob did not sound realistic while the deceased’s husband could not realise till five months that jewellery had been taken off was odd in itself.  
It also questioned that whether Qurat-ul-Ain statement recorded under Section 164 of the criminal procedure code could be termed a confession as she did not make an admission of guilt, but has taken the plea that she herself was a victim of the appellant’s aggression and cruelty and not once did she say that she had aided, abetted or helped Mehboob in any manner whatsoever.  
An approver is always an accomplice and an accomplice is a person who knowingly, voluntarily, and intentionally unites with the principal offender in committing a crime while an accused can only be pardoned if the legal heirs of the victim give their consent, it added.  
The bench further said that apparently district public prosecutor as well as the learned trial court judge erred in approving the tender of pardon to Qurat-ul-Ain as DPP in his capacity as in-charge of the prosecution in the district tendered the pardon to Qurat-ul-Ain.  
The procedure followed to give her a tender of pardon was flawed, recovery of the jewellery was highly doubtful and the place of incident and the identity of the dead body also remained suspicious, it concluded.  
During the arguments, the lawyer for the appellant claimed that Mehboob was innocent and in fact after death of Aliya, Qurat-ul-Ain had married Naveed Qureshi, complainant and husband of deceased, and it was the bait given to her by the complainant to falsely implicate her own husband.
Published in Dawn, December 28th, 2022
",read full story,karachi
7,"SESSI, JSMU ink accord to establish boys medical college",KARACHI: The Jinnah Sindh Medical University (JSMU) and Sindh Employees Social Security Institution (SESSI) have...,"KARACHI: The Jinnah Sindh Medical University (JSMU) and Sindh Employees Social Security Institution (SESSI) have signed three memorandums of understanding (MoUs) to help set up a boys medical college and provide clinical teaching and research facilities to students.
In a ceremony held on Monday at the varsity, JSMU Vice Chancellor Prof Amjad Siraj Memon and SESSI Commissioner Ahmed Bakhsh Narejo signed the MoUs, witnessed by officials representing both institutions, including Dr Shah Muhammad Noonari, Dr Azam Khan, Dr Abdul Wahid Usmani, Dr Rahat Naz and Sindh Medical College alumnus Dr Javed Suleman.
According to the MoUs, SESSI would hand over its physiotherapy department to the JSMU and affiliate its nursing school with the university for providing clinical teaching and research facilities to students at Kulsoom Bai Valika Social Security SITE Hospital and Social Security Landhi Hospital.
Under the agreements, SESSI would provide the premises of its Landhi’s Kidney Centre to the university for the boys medical college.
The university would initiate the renovation work within two months and recruit required faculty, and administrative and technical staff for the college.
The three MoUs would be effective for 30 years, during which both institutions would ensure compliance with all applicable laws.
“These initiatives will meet the challenge of the shortage of qualified doctors, nursing staff and physiotherapists and bring about a positive change in the healthcare system,” the JSMU vice chancellor hoped, adding that the university had been engaged in academic and research activities on the principles as laid down in the Jinnah Sindh Medical University Act, 2013.
In his remarks, the SESSI commissioner said the institution was committed to ensuring provision of medical care facilities and economic benefits to its employees and their dependents.
“Children of SESSI employees and secured workers will also be given admission to the medical college if they meet the eligibility criteria,” Mr Narejo said.
Published in Dawn, December 28th, 2022
",read full story,karachi
8,METRO EVENTS,"The launching ceremony of a book Kuch Khakey, Kuch Baatein by Anwar Ahed at Haseena Moin Hall, Ahmed...","BOOK LAUNCH
The launching ceremony of a book Kuch Khakey, Kuch Baatein by Anwar Ahed at Haseena Moin Hall, Ahmed Shah Building, Arts Council at 6.30pm.
EXHIBITION



 
An exhibition of artworks is under way at Canvas Gallery. The show will remain  open till  Jan 5 daily from 11am to 6pm.
Published in Dawn, December 28th, 2022
",read full story,karachi
9,Help sought against encroachments,KARACHI: The Karachi Development Authority has sought the assistance of police and Rangers to avoid untoward...,"KARACHI: The Karachi Development Authority has sought the assistance of police and Rangers to avoid untoward incidents and control the law and order situation during removal of encroachments from amenity plots in the city as per the directions of the Supreme Court and Sindh High Court, it emerged on Tuesday. 
Well-placed sources said that the KDA approached the deputy director general of Rangers and deputy inspector general of the police zones and senior superintendent of police of Anti-Encroachment Force requesting to make necessary arrangements for the KDA’s anti-encroachment staff and to control law and order situation. 
A KDA spokesman said that indiscriminate actions against the land mafias and illegal occupation of the state land had been launched on the directions of KDA Director General Syed Muhammad Ali Shah across the city to implement the orders of the apex court.
Published in Dawn, December 28th, 2022
",read full story,karachi
