,Header,Summary,Detail,Link,Category
0,Gallant police official martyred in the line of duty,"The deceased hailed from Pakpattan and was the father of two sons and one daughter, all below the age of 12.","ISLAMABAD: The police official who was martyred in the line of duty in Friday’s suicide attack saved the federal capital from a major disaster.
Head Constable Syed Adeel Husain, who was posted with the Eagle Squad, was part of the team that had stopped a suspicious vehicle when the blast occurred. As a result the head constable was martyred and six others, including four police officials, were injured.
The deceased hailed from Pakpattan and was the father of two sons and one daughter, all below the age of 12. He lived with his family in a rented house in Jhangi Syedan.
According to the police, Head Constable Husain had joined the police force in September 2002 as a constable.
Having a bachelor’s degree, Head Constable Husain had eight good entries during his career.
He served in the investigation homicide unit, route duty, diplomatic protection department, Secretariat Security Group, Supreme Court, Traffic Police, Security Division, National Assembly, High Court, Police Lines and Rescue 15 as well as in I-9, Margalla, Shalimar, Aabpara, Ramna, Karachi Company and Noon police stations.
The funeral prayers of the martyred official were offered at the Police Lines Headquarters after which the body was taken to his native town in Pakpattan.
Interior Minister Rana Sanaullah announced Shuhada package for the martyred police official as well as Tamgha-i-Shujaat for his gallantry and bravery.
The head constable will be decorated with a medal posthumously in recognition for his gallantry and bravery at the state level, Mr Sanaullah said, adding that the police official had sacrificed his life while saving Islamabad from a terrorist attack.
The interior minister also said that Syed Adeel Husain’s wife would be recruited in the capital police and his salary paid to her till the time of retirement. The state will also bear the expense of his children’s education and marriage, he added.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727944/gallant-police-official-martyred-in-the-line-of-duty,islamabad
1,Public gatherings banned as security on high alert in Islamabad,"Law enforcement agencies in twin cities told to ensure using bulletproof jackets, security vehicles and vantage points.","ISLAMABAD: The capital administration on Friday banned all types of gatherings, especially activities related to the upcoming local government elections, for two weeks and declared high alert in the city for 48 hours.
According to a notification issued from the office of Deputy Commissioner Irfan Nawaz Memon, “In light of recent advisories/threat alerts issued by the law enforcement agencies and today’s attack on police, the security of Islamabad has been beefed up to obviate the threats within the jurisdiction of capital which can disrupt peace and tranquility causing damage to public life and property. However, the likelihood of such activities cannot be ruled out in coming days.”
Keeping in view the prevailing situation, the deputy commissioner imposed a ban on all kinds of corner meetings, public gatherings and congregations, especially in the wake of the upcoming local government elections. The order came into force with immediate effect and shall remain in force for two weeks.
Meanwhile, security in the capital was put on high alert and a crackdown launched against vehicles with applied-for and unauthorised registration plates, police said.

Law enforcement agencies in twin cities told not to be oblivious to their own security

Teams deployed for patrolling and at pickets were asked to take strict action against those carrying and displaying weapons. Besides, they were told to check and verify the identification documents of people and vehicles.
Directives were also issued to the police stations to check and ensure the registration of maids, house servants and tenants.
Checking and inspection of guest houses, hotels, motels and inns has also been started while wooded areas, slums and nullahs were being combed.
Rawalpindi
Following the recent wave of terrorism and Friday’s suicide bombing in the federal capital territory, the law enforcement agencies have been directed not to be oblivious to their own security and ensure using bulletproof jackets, security vehicles and vantage points.
The federal government had already directed the authorities concerned across the country to take precautionary measures to avoid any untoward incident as militants may accelerate their activities in coming days to avenge the killing of their commanders.
Following the suicide bombing in the capital in which a police official was martyred, the security level has been raised to high alert in the twin cities.
Earlier, the federal government had directed the chief secretaries of all provinces, Azad Kashmir and Gilgit-Baltistan as well as the chief commissioner of Islamabad to take appropriate security measures to avoid any untoward incident amid reports of continued arrival of the outlawed Tehreek-i-Taliban Pakistan (TTP) in areas bordering Afghanistan and the interior of Khyber Pakhtunkhwa.
In the wake of the Bannu incident and other terrorist activities, especially in Khyber Pakhtunkhwa, the Punjab police chief issued a guideline to all divisional police heads to ensure strengthened security on the eve of Quaid-i-Azam’s birthday, Christmas and New Year.
According to the IGP’s guidelines, law enforcement agencies were on top of the spectrum of threats by terrorist groups, therefore, the police should not be unaware of their own security.
“Hence all precautionary measures including scattered deployment, alertness of security vehicles, use of vantage points, use of bulletproof jackets must be ensured for target hardening,” the guidelines said.
Regional Police Officer (RPO) Nasir Mehmood Satti, in a statement, said the security level had been placed on high alert and all district police officers (DPOs) of Attock, Jhelum and Chakwal as well as the city police officer Rawalpindi had been directed to ensure foolproof security especially around churches and at exit and entry points.
As part of tightened security, suspicious persons and vehicles should be closely monitored at special checkpoints and search and combing operations should be accelerated, the RPO said.
He said police at the checkposts should ensure checking according to the proposed standard operating procedures and stay in the field and brief the police personnel.
Security of property is the top priority which will be ensured by utilising all possible resources, he added.
On the other hand, the CPO Rawalpindi held a video link meeting with the SP security, SPs, DSPs and SHOs and issued directives to review security. He directed the police to ensure security of important installations, worship places, hospitals and public gatherings.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727940/public-gatherings-banned-as-security-on-high-alert-in-islamabad,islamabad
2,33 flights diverted to Islamabad,"Foggy conditions at Lahore disrupted several flights on Friday, with at least 33 flights diverted to Islamabad.","RAWALPINDI: Foggy conditions at Lahore disrupted several flights on Friday, with at least 33 flights now operating out of Islamabad.
On Friday, at least 650 passengers had to travel by bus to Lahore.
A CAA spokesman urged passengers to check their travel plan and flight status with their airline before setting off for their journey.
According to the spokesman, the diverted flights included 16 departures and 17 arrivals at Islamabad International Airport. These diverted flights are in addition to scheduled flights.
Of the 33 diverted flights, three diverted flights also arrived in Islamabad, the spokesman said.
He further said that 607 passengers and 29 crew members reached Islamabad through diverted flights.
Meanwhile, the Pakistan International Airlines has added another new Airbus 320 aircraft to its fleet.
With the addition of a fourth Airbus A320 aircraft, the number of A320 aircraft in PIA’s fleet has increased to 14 airplanes.
A PIA spokesman said that the PIA had acquired four Airbus A320 aircraft and this year the fourth aircraft of this series reached Islamabad International Airport from Abu Dhabi.
A modern aircraft with improved cabin will join the PIA fleet to provide better travel facilities to the passengers, said the spokesman.
He further said that with the addition of new Airbus A320, the number of such aircraft in the PIA fleet has increased to 14 A320 aircraft.
Note: An earlier version of this story incorrectly stated that flights had been diverted from Islamabad to Lahore. The error is regretted.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727937/33-flights-diverted-to-islamabad,islamabad
3,CDA stopped from razing structure at Swati’s farmhouse,Swati's wife condemns CDA for initiating action without giving her an opportunity of defence.,"ISLAMABAD: The Islamabad High Court (IHC) on Friday suspended Capital Development Authority (CDA)’s notice to remove alleged unauthorised construction at the farmhouse of PTI leader Azam Swati.
Tahira Swati, the spouse of Mr Swati, contended in her petition that CDA last month issued her a final notice against “unauthorised/illegal construction” at the agro-farm.
Ms Swati is the owner of plot number 71 in Orchard Scheme, Murree Road, Islamabad. IHC Justice Arbab Muhammad Tahir stopped the CDA from taking any coercive measure on the property. He also sought a reply from the CDA.
Ms Swati’s counsel Ali Nawaz Kharal argued before the court that the civic agency had started an operation at the property without even issuing a notice in advance.
The CDA in its notice issued by its building control section said that final seven days were being given to remove violations from the farmhouse.
It recalled that a show-cause notice had been issued on Nov 4, calling for removal of the violations including “unauthorised/illegal construction in basement in right side setback, unauthorised and illegal construction at ground floor in right side of setback, unauthorised construction of basement beyond the plinth level and guard room beyond the plot line”.
Initially, Ms Swati challenged the notice before a civil judge who restrained the civic agency from taking any action, but later dismissed her application.
She contended in the petition that the CDA’s officials issued the notice on the instruction of someone else as his husband was a senator and political activist.
According to the petition, the CDA condemned her unheard and initiated the action without giving her an opportunity of defence.
She stated that the CDA also ignored her demand of undertaking a joint measurement to ascertain the excess area. Ms Swati contended that the CDA violated its own rules and regulations in her case and was adamant to demolish her property.
She requested the court to declare the CDA’s final notice illegal and restrained them from demolishing her property.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727936/cda-stopped-from-razing-structure-at-swatis-farmhouse,islamabad
4,Housing society owners face arrest warrants for violating environment laws,Police asked to produce violators in CDA court on Tuesday,"ISLAMABAD: Court of Senior Special Magistrate of Capital Development Authority (CDA) on Friday issued arrest warrants for several housing societies operators and individuals for environmental degradation in sector H-17.
According to sources in CDA, Environment Directorate had submitted challan in the court of Special Magistrate Sardar Mohammad Asif against various violators. The court directed the police to arrest the violators of environment laws and present them before his court on Tuesday.
Operators of Shifa International Housing Scheme, Sher Zaman Town, Pearl Orchard also known as Baraq Valley, Ammar Valley and Chinnar Valley have been found violators of environment laws.
The court issued arrest warrants for Malik Naeem Gondal, Haji Fakhar Zaman, Farooq Zaman, Mohammad Talash Zaman, Moahmmad Afzal, Faisal Riaz, Aneesur Rehman, Iqbal Mir, Habib Mughal, Tahir Awan, Fazal Rabi, Waqas Khan, Masawar Abbasi and Rehman Khan. The court will take up this case on Tuesday. 

Police asked to produce violators in CDA court on Tuesday

CDA officials said that in sector H-17 the housing societies have been operating for the last many years without having any approval. 
They said the sector was not meant for housing societies and recently courts had also directed the CDA to take action against illegal housing societies.
H-17 is an unacquired sector belonging to private people. As per Islamabad’s master plan, it falls in Zone I, which was supposed to be acquired and developed by the CDA. However, the civic agency has failed to acquire this sector and several other such sectors that include H-13, H-14, H-15, H-16, H-17, D-14, D-15, E-14 and E-15.
CDA is not acquiring these sectors nor regulating the construction asking the land owners that these sectors are meant for institutions, which will be constructed when CDA acquires the land.  
On the other hand, the local landowners say they have every right to construct houses and buildings on their own land. Since CDA has neither acquired the sectors, nor regulated them, that resulted in mushroom growth of unauthorised constructions.
“We will have to take bold decision. We have only two options, either acquire these sectors or regulate the construction, otherwise in future the unregulated construction will make these sectors new slums,” said an official of CDA.
Earlier, the court of special magistrate had also issued arrest warrants for Higher Education Commission Chairman Dr Mukhtar Ahmed for violating environment laws in sector H-17.
However, after getting information, he approached the court and pleaded that he was not owner of any society rather he had an underdeveloped plot there and he did not violate any law. After being convinced by his arguments, the court withdrew his arrest warrant.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727935/housing-society-owners-face-arrest-warrants-for-violating-environment-laws,islamabad
5,"Speakers call for providing adequate funds to water, sanitation and hygiene sector","ISLAMABAD: Speakers on Friday called for adequate funding for water, sanitation and hygiene (WASH) as they were...","ISLAMABAD: Speakers on Friday called for adequate funding for water, sanitation and hygiene (WASH) as they were pillars of climate resilience.
They were speaking at the launch of a research-based ‘Climate Financing for WASH brief – Pakistan Scoping Brief’ at a ceremony jointly organised by the International Rescue Committee (IRC) and the Sustainable Development Policy Institute (SDPI).
The research was led by IRC researcher Habibur Rehman. The launch was followed by a panel discussion on climate financing for WASH.
The study called upon international donors to allocate at least 35pc of climate-related budget for WASH, raising it from the existing 22pc for Pakistan and prioritise the allocation of WASH and climate-related funding to countries which were currently unlikely to achieve the WASH SDGs.
In her welcome remarks, IRC Country Director Shabnam Baloch said: “WASH is a critical entry point to reducing community vulnerability to climate impacts, closing gender gaps, health and education disparity, economic inclusion and progress. Climate resilient WASH goes beyond climate infrastructure and is critical in climate-induced disasters.”
She said while Pakistan needed $7 billion to $14 billion annually till 2050, for adaptation alone there was a dire need to address impediments such as the complexity of the process in accessing climate financing by CSOs, resource-intensive nature of issue and lack of community engagement during project development.
Member Disaster Risk Reduction (DRR) of the National Disaster Management Authority (NDMA) Idrees Mahsud called on focusing on implementation rather than making new policies, urging donors to engage with stakeholders on estimating the need and improving research to support our financing proposals.
Giving an overview on the climate financing mechanism, SDPI’s Head of Sustainability and Resilience Programme Dr Shafqat Munir said: “Despite constraints in accessing climate financing from multilateral donors, bilateral partnerships and private sector organisations, both government and non-government organisations have been struggling to get the country’s share in the highly competitive climate financing market amid cumbersome processes.”
Expert Niazullah Khan said WASH as a sector had so far not been aligned with climate agenda due to absence of a consortium that could enable national sub-national coordination and anchor the formalisation and legislative review.
Dr Fahad Saeed, who is a climate analyst, emphasised the need for introspection to see flaws in policies as compared to regional members, Pakistan was lagging in securing climate financing.
WaterAid Pakistan Country Director Arif Jabbar Khan stressed the need to increase awareness on financial losses due to poor WASH conditions at the household level.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727934/speakers-call-for-providing-adequate-funds-to-water-sanitation-and-hygiene-sector,islamabad
6,GB govt to hire services of specialist doctors from Shifa hospital,GILGIT: Gilgit-Baltistan (GB) and Shifa International Hospital have signed an agreement under which the regional...,"GILGIT: Gilgit-Baltistan (GB) and Shifa International Hospital have signed an agreement under which the regional government will hire services of specialist doctors from the hospital.
According to a press release, the agreement, which was signed between GB officials and the hospital’s management, was reached after numerous consultative meetings and other formalities of bidding process to ensure transparency.
Under the agreement, the regional government will be hiring the services of 66 consultant doctors of various specialties as per the need identified by the GB Health Department. The agreement-signing ceremony was attended by Gilgit-Baltistan Legislative Assembly (GBLA) Deputy Speaker Advocate Nazir Ahmad, the region’s finance minister Javed Manwa and women parliamentarians.
Before the signing ceremony, detailed deliberations were made between both parties to make the agreement successful and build a long-lasting mutual trust.
During the discussion, it was decided that apart from rotation of specialist doctors in Gilgit-Baltistan, special attention would also be given to imparting training to paramedics, biomedical technicians as well as nursing and housekeeping staff of Gilgit-Baltistan.
The region’s chief secretary, Muhyuddin Wani, assured the hospital’s senior management that he would directly monitor the process to make the partnership a success and ensure that the best medical services were provided to the people of Gilgit-Baltistan at their doorsteps.
The agreement will initially be valid for one year and can be extended by another year.The agreement provides high incentives to the specialist doctors so that they may go to distant areas where currently even services of medical officers are not available let alone those of specialist doctors.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727933/gb-govt-to-hire-services-of-specialist-doctors-from-shifa-hospital,islamabad
7,AJK court seeks details of official vehicles,"“We need complete information on who has been allotted which kind of vehicle,"" says court.","MUZAFFARABAD: Taking strong exception to misuse of official transport, the Azad Jammu and Kashmir (AJK) High Court on Friday directed the government to furnish details about all official vehicles, including the names of officers to whom those have been allotted.
The direction was given by the court’s larger bench, headed by Chief Justice Sadaqat Hussain Raja, as it took up a petition filed by advocate Malik Mahmood Ali Awan, on this issue in the wake of reports that more than Rs870 million had been spent over the past 18 months on purchase of 152 new vehicles.
Apart from the details of the allottees, the court directed secretary services and general administration department (S&GAD), who also happens to be the administrative secretary of Central Transport Pool, to submit to it details about the entitlement of the allottees.
“We need complete information on who has been allotted which kind of vehicle and whether this allotment is in accordance with the entitlement of the person concerned or not,” the chief justice said.
The bench was of the view that arbitrary and unmerited use of government vehicles was sending a huge chunk of public money down the drain and passing on its burden on the general public.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727932/ajk-court-seeks-details-of-official-vehicles,islamabad
8,First-ever marathon in Attock attracts youngsters,TAXILA: The first ever marathon in the 118 years history of Attock district was organised by the local ...,"TAXILA: The first ever marathon in the 118 years history of Attock district was organised by the local administration on Friday, with a large number of youngsters among the participants.
The 10km marathon held under the banner of ‘Run Attock’ started from Teen Mela Chowk and culminated at Jhanda Chowk.
Apart from athletes and regular runners, a large number of people, including students, took part in the marathon. Deputy Commissioner Attock Dr Hassan Waqar Cheema, Additional Deputy Commissioner Revenue Aitzaz Aslam Martha, Additional Deputy Commissioner General Zulfiqar Ahmed, Additional Deputy Commissioner Finance and Planning Waqar Akbar, District Sports Officer Attock Ejaz Khan, Chief Officer Attock Sardar Aftab Ahmed Khan and Deputy Director Colleges Arshad Khan were also among the participants.
Later, Deputy Commissioner Attock Dr Hassan Waqar Cheema distributed prizes among the winners.
Speaking on the occasion, Mr Cheema said the marathon would help the district administration in its efforts to promote peace and sports.
“The manner in which the citizens participated in the marathon is an indication of their commitment to the sport; its presents a positive image of Attock,” Dr Cheema said, adding that efforts were being made to increase sports activities and provide facilities to the people in the sports of their interest.
He announced that such events would be organised in every tehsil so that youth could enjoy such healthy activities. He thanked the administration, private institutions and sports organisations as well as the Punjab Sports Department for organising the marathon.
Speaking on the occasion, District Sports Officer Attock Ejaz Khan said the marathon race would promote healthy activities among the youth.
Talking to newsmen, the participants of the race expressed their satisfaction over the arrangements.
According to results, Mohammad Usman of Fatehjang bagged the first position and won a cash prize of Rs25,000, Jabbar Khan of Hazro stood second and won a cash prize of Rs15,000 and Hassan Ali remained third and secured cash prize of Rs10,000.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727931/first-ever-marathon-in-attock-attracts-youngsters,islamabad
9,"Ilyas for ban on torture in schools, seminaries","MUZAFFARABAD: Calling for a downright ban on all forms of torture in educational institutions and seminaries, Azad...","MUZAFFARABAD: Calling for a downright ban on all forms of torture in educational institutions and seminaries, Azad Jammu and Kashmir (AJK) Prime Minister Sardar Tanveer Ilyas has directed the relevant secretaries to the government to ensure its implementation as a top priority.
In his directives to the secretary elementary and secondary education and secretary religious affairs and Auqaf, he asked them to initiate measures on an urgent basis for installation of CCTV cameras in educational institutions and seminaries, as the same could serve as a deterrence against possible torture by anyone and everyone there.
All officers concerned should also ensure availability of clean toilets not only in the educational institutions and seminaries, but alsoin hospitals and other public offices along with allied facilities, including water storage tanks.
Passing directions on the minutiae of civic amenities, Mr Ilyas asked the officials to make certain thearrangements for cleaning and maintenance because filthy toilets and contaminated water were a major source of many diseases. 
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727930/ilyas-for-ban-on-torture-in-schools-seminaries,islamabad
