,Header,Summary,Detail
0,PTI begins journey to Islamabad on PM Imran’s call,"Party leaders vow to stay peaceful, respond to “every conspiracy against PM and Pakistan through their unity and support”.","KARACHI: A day after the caravan of Jamiat Ulema-i-Islam-Fazl (JUI-F) left for Islamabad to attend the opposition’s March 28 rally, a large number of Pakistan Tehreek-i-Insaf (PTI) activists started their journey to the federal capital on Friday on the call given by Prime Minister Imran Khan.
They are scheduled to take part in a power show to be held on March 27 to support PM Khan ahead of the voting on the no-confidence move filed against him by the opposition.
PTI activists, including women, gathered before noon at Sohrab Goth, where party leaders made brief speeches to build a momentum for the long journey ahead. They called for unity in their ranks before the “final showdown” on March 27 in Islamabad.
A number of buses, cars and vans carrying PTI workers parked along the main Superhighway caused a little disruption in the movement of vehicular traffic for a while.
Those who led different groups of the caravan included Leader of the Opposition in the Sindh Assembly Haleem Adil Sheikh, PTI’s parliamentary party leader Khurram Sher Zaman, MNA Aftab Siddiqui, and MPAs Saeed Afridi and Shahnawaz Jadoon.
A little before 1pm, the caravan finally started moving towards its destination.
In their addresses to the workers joining in from all over Karachi, the PTI leaders vowed to stay peaceful and respond to “every conspiracy against the PM and Pakistan through their unity and support”.
The opposition leader said: “Thousands of people are now heading towards Islamabad on the call of PM Imran Khan and the whole world will see that Pakistan as a nation is standing by the side of the truth and right.”
“Heinous characters of politics have been exposed and the nation is united against such elements,” he said, adding that whatever had happened in Sindh House, Islamabad was a matter of shame and embarrassment to the province.” 
“We have started our journey as an advance party of the PTI’s Sindh caravan and we will welcome those following us to Islamabad,” he said.
Published in Dawn, March 26th, 2022
"
1,PPP MNA granted protective bail in Nazim Jokhio murder case,"Without touching the merits of the case, a two-judge bench granted protective bail against a solvent surety of Rs100,000.","KARACHI: The Sindh High Court on Friday granted 10-day protective bail to Pakistan Peoples Party MNA Jam Abdul Karim in the Nazim Jokhio murder case.
The PPP lawmaker, who is in Dubai, through his attorney moved the SHC seeking remedy to appear before the trial court.
His lawyer expressed the apprehension that the MNA might be arrested upon his return and sought protection.
Without touching the merits of the case, a two-judge bench headed by Justice Mohammad Iqbal Kalhoro granted protective bail against a solvent surety of Rs100,000 to the MNA directing him to surrender before the trial before or till April 3.
Young Nazim Jokhio was found murdered at the Malir farmhouse of PPP MPA Jam Awais in November last year. The MPA along with his MNA brother Jam Karim and others has been booked for allegedly torturing Nazim to death as he had tried to prevent his foreign guests from hunting houbara bustard.
Police have named the detained MPA and four others as accused in a charge sheet and shown the MNA as an absconding suspect in the case.
The protective bail will help the MNA to return to the country and take part in the voting on a no-confidence motion tabled by the joint opposition in the National Assembly against the prime minister.
Published in Dawn, March 26th, 2022
"
2,Fate of over 800 medical students hangs in balance after SHC verdict,Sindh govt may seek one-year relief from PMC on MDCAT’s passing marks.,"KARACHI: The fate of over 800 students hangs in the balance after the Sindh High Court declared void the provincial government’s decision to reduce passing marks of the Medical and Dental Colleges Admission Test (MDCAT) conducted last year from 65 per cent to 50pc.
Sources told Dawn on Friday that the government was in a fix over the matter and might opt for filing an appeal against the decision before the apex court, or seeking a “relief” from the Pakistan Medical Commission (PMC) for a year on the minimum pass percentage set by the commission for MDCAT.
“If both options don’t work, affected students may go to court as now they can’t even switch to allied fields like pharmacy and physiotherapy, which are the first choice of students who fail to get admission to MBBS and BDS [programmes],” said a senior professor associated with the admission process.
He added that admission to pharmacy and physiotherapy had been closed two months back.

Sindh govt may seek one-year relief from PMC on MDCAT’s passing marks

The sources said 200 students got admission to MBBS whereas 650 to BDS in colleges in the province on the basis of less than 65pc marks that they obtained in the MDCAT. 
Most of the affected students were in private institutions. 
The tests had attracted protests and criticism from students and professional bodies across the country. 
The tussle between the provincial and federal governments over MDCAT was described as sad and disappointing.
‘Students interests ignored’
Reacting to the SHC decision, senior doctors said the matter should have been sorted out amicably, protecting the interests of students. 
“I am daily getting calls from concerned students and their parents, asking me what would happen now, and I don’t have any answer,” said Dr Syed Razi Muhammad, president of Pakistan Association of Private Medical and Dental Institutions-Sindh chapter.
“This episode reflected official indifference towards the country’s youth. This would never happen in a civilised country. Nobody thought about the future of these children,” he said.
Dr Qaiser Sajjad of the Pakistan Medical Association (PMA) said the issues raised by the association had remained unattended even after the court’s decision.
“Our concerns pertain to the lack of consultation on the establishment of PMC and the flawed mechanism adopted for carrying out medical and dental tests. Students’ had genuine reservations, which should have been timely addressed. One of them was the different syllabus taught in different provinces on the basis of which the test was prepared,” he said.
In India, Dr Sajjad pointed out, the government took four years of paperwork and consultation to shift from the Indian Dental and Medical Council to Indian Medical Commission. “There was no confrontation and no students’ loss because matters were sorted out with consultation. Unfortunately, this was not the case in Pakistan. The Sindh government had a genuine demand that they should have been consulted in the formation of the PMC.”
Sharing concerns of affected students, he said the PMC should have given a one-year relief and implemented the rule of 65pc minimum marks in MDCAT next year. 
“Also, students who had appeared in the MDCAT should have been provided with a carbon copy of their answer sheets for the purpose of transparency,” he said.
Weak legal ground
On SHC’s decision, sources said the judges’ remarks during the proceedings highlighted the weak legal ground adopted for the case by the provincial government The court in its detailed verdict ruled: “Quite strangely the Sindh government has only objected to fixing of benchmark (65%) to attain in the test to become eligible to admission and has otherwise expressly no issue to the whole mechanism employed for conducting the test, selecting procedure and syllabus for framing the questions, etc.
“This we find rather paradoxical and unsustainable, as on the one hand it has questioned legitimacy of the law as a whole on the ground of having residuary jurisdiction over the matter, and on the other hand has invoked the same law for selecting students for admission by reducing pass marks to 50%,” it added.
The PMC had challenged the Dec 2 decision of the Sindh cabinet of lowering the passing marks for MDCAT-2021 from 65pc to 50pc.
It also challenged four notifications, the decision of the admission committee and advertisements issued by the Jinnah Sindh Medical University (JSMU) and Shaheed Motarma Benazir Bhutto Medical University, Larkana, as well as other actions and steps taken in pursuant of the cabinet decision of lowering passing marks of MDCAT.
Prior to the decision, the tussle between the Sindh government and PMC over MDCAT had continued for months and both warned educational institutions to follow their policies or face consequences.
Published in Dawn, March 26th, 2022
"
3,Arshad Pappu’s son held for killing ex-SHO,Investigators cite revenge as motive behind double murder,"KARACHI: A son of slain Lyari gangster Arshad Pappu was arrested for his alleged involvement in the March 22 targeted killing of a dismissed policeman and his friend to avenge his father’s murder. 
At a joint press conference at the Rangers headquarters, SSP-South Rai Ijaz Ahmed and Rangers Colonel Nasar Minullah said that the held suspect, Alam Baloch, was identified with the help of CCTV footage of the targeted attack on former SHO Chand Khan Niazi and Abdul Rehman.  
During initial probe, the Rangers official said, the suspect revealed that he had killed the duo to avenge the kidnapping and murder of his father Arshad Pappu.
He said that former SHO Niazi was allegedly involved in the kidnapping of Pappu and he was facing trial in the same murder case. He was targeted while returning from court on Raja Ghazanfar Ali Road in Saddar.

Investigators cite revenge as motive behind double murder

To various questions, SSP Ahmed said that the held suspect cited “revenge” as the basic motive for the targeted killing. “But we would be in a better position [to comment] after a proper investigation,” he added.
When asked about the December 2021 murder of another dismissed policeman, ex-SHO Javed Baloch, who was also facing trial in the Arshad Pappu murder case, the SSP said that suspect Baloch did not confess to his involvement in this case.
“A final opinion about this case may be given after the arrests of other suspects and their proper investigation,” he said.
He said the held suspect Baloch had no past criminal record. He was riding the motorbike and his pillion-rider fired shots.
Col Nasar said that the Rangers director general had established a  special team to look into the broad daylight killing of the dismissed  policeman and his friend.
He said that they had “no information that the gang warfare elements have become active again in Lyari”.
“Gang warfare suspects are not active in Lyari,” he said, adding that even the held suspect had cited ‘enmity’ as his motive for the double murder. 
The SSP said the police had provided ‘reasonable’ security at the antiterrorism courts and to accused on bail in the Arshad Pappu murder case.
About the cross-matching of the empty shell casings recovered from the crime scene, the SSP said that so far the investigators had not received the report of a forensic analysis.
Published in Dawn, March 26th, 2022
"
4,Arms cache found in hospital’s  water tank,KARACHI: Police on Friday claimed to have recovered an arms cache from the underground water tank of a private...,"KARACHI: Police on Friday claimed to have recovered an arms cache from the underground water tank of a private hospital in Shah Faisal Colony on Friday.
Acting on a tip-off, the police carried out a raid and recovered two Kalashnikovs, one pistol and bullets from the water tank, which was not in use.
Area SHO Manzoor Arain said the “weapons were old and rusted”. He said that the seized arms were being sent to a lab for forensic analysis. 
Published in Dawn, March 26th, 2022
"
5,A picture story of wanderlust and love for one’s country,"KARACHI: “These are random photographs taken from ordinary cameras during my various travels all over Pakistan,”...","KARACHI: “These are random photographs taken from ordinary cameras during my various travels all over Pakistan,” said Noreen Mirza, whose exhibition of photographs titled The Path Less Travelled concluded at the State Bank of Pakistan (SBP) Museum’s Contemporary Art Gallery here on Friday. 
The exhibition is a collection of photographs of Ms Mirza’s meanderings within Pakistan. Calling it a “labour of faith”, she has dedicated it to her grandchildren as well as all the children of Pakistan in the hope that they will always cherish and appreciate their beautiful motherland. 
The photographs were painstakingly put together into a collection by Ms Mirza’s daughters Tanya and Mishall. But the real stars of the show were her two grandchildren, 12-year-old Dahlia Ashraf and 10-year-old Emre Ashraf. Young Dahlia was the one who selected all the old photographs of her grandmother’s travels of over 30 years from her old albums. 
“The idea of holding this exhibition was to draw attention to Pakistan and for the children to value its diversity and beauty and to instil in them pride for Pakistan. I want them to gain inspiration from my travels. I want them to make pictures, I want to encourage research and learning about Pakistan,” she told Dawn. 
And to warming her heart right there were schoolchildren and other young visitors coming to see her photographs and appreciating them. Some children even sat down to draw and sketch the scenes from some photographs with the crayons and colour pencils provided to them along with drawing paper by the museum staff. 
“I’m thankful to Dr Asma Ibrahim, the director of the SBP Museum, for facilitating me. She has herself set up this museum with great devotion, dedication and passion,” said Ms Mirza. 
The young visitors were taken around the exhibition by Ms Mirza, who filled them in about each photograph that interested them or which they would point to. There was a story or anecdote associated with each photograph. She had something to tell them about the tandoor walla of Abbottabad, the camel walla of Sukkur, the pakora seller of Manora, etc. The photographs of her at different religious places or at the forts had more stories and qissas accompanying them, not to forget the historical significance of all these places.
Published in Dawn, March 26th, 2022
"
6,METRO EVENTS,"EXHIBITION

An exhibition of paintings by S.M. Fawad opens at Artciti Gallery at 6pm. The show titled The Truth of...","EXHIBITION
An exhibition of paintings by S.M. Fawad opens at Artciti Gallery at 6pm. The show titled The Truth of Realism will remain open till March 30.
CONVOCATION
25th Convocation of Sir Syed University of Engineering & Technology at the Signature Marquee, National Stadium Road, Dalmia at 4pm.
DIALOGUE
Dialogue between Quaid-i-Azam’s grand-nephew & Allama Iqbal’s grandson at the Quaid-i-Azam House Museum, Fatima Jinnah Road at 4.15pm.
Published in Dawn, March 26th, 2022
"
7,SHC upholds life term for policeman who killed two young men,Court rules offence did not fall within ATA purview,"KARACHI: The Sindh High Court has upheld life imprisonment handed down to a policeman by an antiterrorism court in a case pertaining to the murder of two youngsters.
However, the two-judge antiterrorism appellate bench headed by Justice Mohammad Karim Khan Agha observed that the case did not fall within the ambit of the Anti-Terrorism Act (ATA), 1997, since the intent of policeman was to stop the youths for checking, but they tried to ride away.
An ATC had convicted Constable Madad Khan for life in prison in February 2019 for killing motorcyclists Mohammad Ali and Mohammad Danish on Tipu Sultan Road in Bahadurabad in May 2015, as they allegedly attempted to speed away when a police party signalled them to stop.
The trial court had acquitted four other members of the police party for lack of evidence.

Court rules offence did not fall within ATA purview 

The convict, through his lawyer, filed an appeal against his conviction before the SHC, which after hearing both sides and examining record and proceedings of the case upheld the conviction handed under Section 302 (premeditated murder) of the Pakistan Penal Code, but removed the offences of ATA.
However, the bench in its order noted that the state and complainant party neither filed an appeal against the acquittal of the co-accused, who were alleged to be with the convict at the time of the incident, nor submitted any application for enhancement of the appellant’s sentence.
It further said that after considering the judicial confession of the appellant and the evidence on record, the bench found that the confession was made voluntarily and all the procedural safeguards were carried out by the magistrate while recording confessional statement, and the statements of prosecution witnesses corroborated the case of prosecution.
The ballistic report of the official sub-machine gun (SMG) issued to the appellant was also positive as he fired four bullets and the medical report also supported the prosecution story since one victim sustained two bullet wounds and other received one bullet injury, it added.
The verdict stated that the prosecution proved its case against the appellant while the case of co-accused was on a different footing as they did not make any confession, and all the rounds of their SMGs were also returned, and in his confession the appellant said they were only present with him and did not fire.
The bench said that the case did not fall within the purview of the ATA as decided by a larger bench of the Supreme Court in the case of Ghulam Hussain verses state as for an act of terrorism there had to be an intent, object and design to create terror on account of that act.
“Based on the particular facts and circumstances of this case it appears that the intent of the appellant was to stop the deceased who refused to obey his signal to stop their motorbike for checking and instead rode on and as such he became furious and fired upon them with intention to kill for disobeying his order to stop but not with design, intent or purpose to create terror as such all offences under the ATA are dismissed especially as it was a night time incident when no member of the public was even around to be terrorized,” it added.
According to the prosecution, Ali and Danish along with other friends were going to Dhoraji for tea and at around 2.15am. A police party of the Bahadurabad police station signalled them to stop at the traffic signal on Tipu Sultan Road, but they allegedly sped away and the police opened fire on them suspecting them as criminals who were fleeing after looting people.
Published in Dawn, March 26th, 2022
"
8,Annual conference on development gets under way at IBA,KARACHI: The 2nd annual international conference — ‘Development: Discourses and Critiques’ — organised by ...,"KARACHI: The 2nd annual international conference — ‘Development: Discourses and Critiques’ — organised by the School of Economics and Social Sciences (SESS) in collaboration with the Centre for Business and Economic Research (CBER) began at the main campus of the Institute of Business Administration (IBA) on Friday. 
The three-day event would conclude on Sunday (tomorrow). 
This year’s theme invites works from a wide range of disciplines to critique, question and reconsider the experiences of transnational, national and sub-national actors with the development process. 
What does ‘development’ mean for different actors, and how has this narrative shifted over time? How does development define and redefine power relations, what implications does this have for numerous groups? How have colonial experiences shaped futures and how does one deconstruct the idea rooted in these experiences? 
To encourage innovation and diversity within modes of thinking, the conference hosted presenters and participants from diverse backgrounds, including Skardu, Sukkur, Gilgit, Quetta, and Islamabad, and multiple professors from universities of the United States. 
The conference aims to centre critical perspectives that help gain a subtle understanding of social change and development. 
Dr Mushfiq Mobarak, a professor at Yale University, spoke on ‘seasonal poverty and seasonal migration’. He recognised the forms of poverty that emerged during seasonal changes and highlighted its implications, specifically in the form of seasonal hunger. 
The first panel discussion of Day 1 was titled ‘Institutions, Governance and Inequalities’. The session highlighted various statistics on the economic and social inequalities in Pakistan, and also included the indigenous communities within the policy-making process and judicial independence in Pakistan. 
In the session titled ‘Agrarian Crisis and South Asian Political Economy’, Dr Barbara Harriss-White, Emeritus Professor of Development Studies and a fellow of Wolfson College, University of Oxford, shared her close insights and research on the South Asian political economy, particularly on food, energy, and aspects of deprivation.
Published in Dawn, March 26th, 2022
"
9,Three PTI activists get bail,"KARACHI: A sessions court on Friday granted bail to three activists of the Pakistan Tehrik-i-Insaf, who were ...","KARACHI: A sessions court on Friday granted bail to three activists of the Pakistan Tehrik-i-Insaf, who were arrested for allegedly threatening their own party MNA Ramesh Kumar.
Police had booked Noman Azam, Muhammad Fayyaz and Nasir Khan along with two sitting PTI MPAs, Saeed Afridi and Shah Nawaz Jadoon, for threatening their party’s dissident lawmaker during a protest outside his residence in Clifton on March 21.
On Friday, the detained activists moved applications before the additional district and sessions judge (South) for grant of post-arrest bail.
Without touching the merits of the case, the judge granted them bail against a surety of Rs50,000 each. However, they were told to cooperate with the police during investigation of the case.
Both PTI lawmakers had already granted interim pre-arrest bail till March 18.
Police claimed that charged PTI workers chanted slogans and hurled threats to the defector MNA Kumar and also damaged public property during a protest outside his residence in Clifton.
Published in Dawn, March 26th, 2022
"
