,Header,Summary,Detail,Link,Category,CreationDate
0,Gas cuts hit Dadu,"DADU: Domestic gas consumers on Sudnay complained of receiving low-pressured gas during Sehri and Iftari times,...","DADU: Domestic gas consumers on Sudnay complained of receiving low-pressured gas during Sehri and Iftari times, making it highly difficult for their women to prepare food. 
They held demonstration in front of SSGC office and press club and said that they were forced to buy meal from hotels for the past seven days. They registered a complaint at SSGC office but to no avail. SSGC officials supplied gas to hotels and industries which caused gas pressure for residential areas to become low, they said.
Published in Dawn, April 11th, 2022
",https://www.dawn.com/news/1684403/gas-cuts-hit-dadu,karachi,2022-04-11
1,STP protests crackdown,SUKKUR: Several workers of Sindh Taraqqi-pasand Party along with a large number of members of Khoso community staged...,"SUKKUR: Several workers of Sindh Taraqqi-pasand Party along with a large number of members of Khoso community staged a demonstration here on Sunday in protest against arrest of STP workers by SITE police a couple of days ago.
The protesters’ leaders Abdul Waheed and Wahid Khoso told journalists that the SITE police arrested four men and took them to an unknown place on Thursday when they were going to attend a hearing in session court. 
According to their information two of the arrested men later made an underhand deal with police officials and were freed while police registered a fabricated case of drug peddling against the remaining two who belonged to Khoso community and were workers of STP settled in SITE area.
Published in Dawn, April 11th, 2022
",https://www.dawn.com/news/1684402/stp-protests-crackdown,karachi,2022-04-11
2,PTI vows to resist ‘imported’ govt,"KARACHI: Within 24 hour of his ouster from Prime Minister Office, a large number of Karachiites thronged main Rashid...","KARACHI: Within 24 hour of his ouster from Prime Minister Office, a large number of Karachiites thronged main Rashid Minhas Road on Sunday evening on a call of Pakistan Tehreek-i-Insaf chairman Imran Khan to lodge their protest against a “foreign conspiracy” that led to his fall.
The protesters also vowed to resist what they called an “imported” government.
Taking out rallies from different parts of the city, a large number of PTI workers and supporters, including women and children, converged near Millennium Mall where the party leaders addressed the charged crowd and promised that the momentum would continue against the “international conspiracy”.
They also asked Karachiites to be ready for the next call of the protest and vowed that the campaign against the recent political development would be further expanded to other parts of Sindh.
Carrying party flags and chanting slogans, the protesters in cars, motorbikes and other mode of transport reached the venue of the protest, where many of them seen dancing to the tunes of party songs.
Addressing the protesters, PTI-Karachi president Bilal Ghaffar said that Karachiites would not forgive those who “betrayed” and sold out their votes” for their short-term petty gains.
“One can see that Karachi has turned up in solidarity with their leader Imran Khan and they would be out in the street every time he would call,” he said.
PTI leader Khurram Sher Zaman said the entire nation supported the principled approach of Imran Khan. “Traitors of Pakistan leading different political parties are exposed before the nation.”
Published in Dawn, April 11th, 2022
",https://www.dawn.com/news/1684418/pti-vows-to-resist-imported-govt,karachi,2022-04-11
3,No final resting place left in Karachi as grave crisis deepens,"At least six Karachi graveyards closed, exerting pressure on those still open.","KARACHI: As there is no more land available for burial in most graveyards of the city and a majority of cemeteries are under the control of mafias, the city authorities appear to have ignored the serious situation while two new cemeteries being established on city outskirts will prove to be insufficient for the purpose.  
Sources told Dawn on Sunday that six graveyards out of total 39 under the administrative control of the Karachi Metropolitan Corporation had been closed for burial leading to a steep upsurge in burial ground prices across the city.  
The cemeteries which have been closed for burial are Tariq Road Graveyard, Yasinabad Graveyard, Model Colony Graveyard, Azeempura Graveyard, Paposhnagar Graveyard and Colony Gate Graveyard, where no more burial ground is left.  
They said that the repurposing of graves was frequently carried out in the city graveyards, including those which had been closed, as the city death rate was stated to be around 0.33 per cent of the total population per annum.  

At least six Karachi graveyards closed, exerting pressure on those still open

The sources in the KMC said that around 20 to 25 dead were buried in different cemeteries of the city, while over 100 bodies were taken out of the city to other parts of the country daily.  
They said that the number of bodies taken out of city had also declined considerably in recent years mainly due to remarkable increase in transportation charges.  


(Above) The graffiti says no place is left for burial in the Muhammad Shah Graveyard located in North Karachi while the neatly lined up graves (below) are part of a private cemetery managed by a community within the Muhammad Shah Graveyard.—Fahim Siddiqi / White Star

 
The sources said that around 10,000 graves were needed every year in the city in view of the death rate.  
The sources said that while the city municipal administration had fixed a price of Rs9,000 for a grave, the price of burial ground could go up to Rs200,000, depending on the location of the graveyard and grave as many people wanted to bury their loved ones beside their relatives.  
Karachi cemetery committee convener and director information of KMC Ali Hassan Sajid told Dawn that two new ‘model’ cemeteries were under construction in Surjani Town and along the Link Road on Superhighway, adding that burial would be done free of cost in collaboration with welfare organisations Saylani Welfare Trust and the JDC and no money would be charged from the people.  
He said that the work at the 11-acre model graveyard in Surjani Town had almost been completed with levelling and dressing of the ground and construction of storm-water drain.  
“The model graveyard having capacity of over 20,000 graves will be operational in the next two months,” he added.  
Land mafia 
The KMC media director said that the work on the 22-acre second model graveyard along the Link Road on Superhighway was also in progress.  
However, sources told Dawn that the work on the cemetery was being hindered by a land grabbing mafia.  
Similarly, they said that the land mafia was also active at a 10-acre land KMC had acquired from the board of revenue for establishing a graveyard.  
The sources said that the municipal administration had approached the district administration and area police to get the land of the graveyard vacated from illegal occupants, but to no avail.  
They said that an eight-member central committee comprising Karachi Metropolitan Corporation (KMC) officers and representatives of welfare organisations, was set up to improve condition of cemeteries.  
The sources said that the committee had taken several steps under which gravediggers and other staff working in cemeteries would be registered and they would be issued regular identity cards.  
They added that it was also decided that children (people under 18 years of age) and females would not be eligible to perform any work in graveyard.  
However, the sources said that only 50 gravediggers had so far been registered with the KMC.  
They said that the purpose of setting up the central committee was to facilitate burial procedure and improve infrastructure, provision of street lights and tree plantation, prevention of bodies’ theft and issuance of burial certificates. 
The sources, however, said that there was no improvement at the city’s graveyards which were still under the control of different mafias.  
Besides KMC graveyards, there are also over 200 cemeteries managed by different NGOs and communities.
Published in Dawn, April 11th, 2022
",https://www.dawn.com/news/1684417/no-final-resting-place-left-in-karachi-as-grave-crisis-deepens,karachi,2022-04-11
4,Robbers kill man over resistance in Surjani Town,KARACHI: A young man was shot dead by armed men when he resisted their attempt to snatch his motorcycle in Surjani...,"KARACHI: A young man was shot dead by armed men when he resisted their attempt to snatch his motorcycle in Surjani Town on Sunday evening, police said.
Area SHO Haji Sanaullah said that two armed men riding a motorcycle tried to snatch the motorbike from Mohammed Mosaib, 40, in Sector-5. As he put up resistance, the robbers opened fire on him, snatched the motorbike and rode away. 
Mosaib suffered critical bullet wounds and was taken to the Abbasi Shaheed Hospital where doctors pronounced him dead on arrival.
Meanwhile, in another incident in Musharraf Colony, two men were shot at and wounded by armed robbers over resistance. 
Police said the wounded were identified as Naseer Hasan, 24, and Ghulam Murad, 30. They were shifted to the Dr Ruth Pfau Civil Hospital Karachi for treatment.
Saeedabad SHO Shakir Husain said the police were investigating the case.
Teenage boy shot dead
An 18-year-old boy, identified as Amir Ali, was shot dead in Sama Mohalla in Murad Memon Goth near Usmania Masjid late on Saturday night.
Police said that unknown suspects shot him in the head and fled. He died on the spot. The body was shifted to the Jinnah Postgraduate Medical Centre to fulfil medico-legal formalities.
The police said that the victim had a relationship with a girl and her parents were not happy over it.
Three held over 200 robberies 
Pakistan Rangers, Sindh and police jointly carried out an intelligence-based raid in the Saddar area and apprehended three suspected robbers.
A spokesperson for Rangers identified the held suspects as Altaf Husain, Maqsood and Shahzeb. During initial probe, the suspects ‘confessed’ to their involvement in over 200 robberies in different parts of the city.
Published in Dawn, April 11th, 2022
",https://www.dawn.com/news/1684416/robbers-kill-man-over-resistance-in-surjani-town,karachi,2022-04-11
5,Three held for running illegal hydrant in SITE,KARACHI: Police on Sunday sealed an illegal hydrant in the SITE area and arrested three suspects. The action ...,"KARACHI: Police on Sunday sealed an illegal hydrant in the SITE area and arrested three suspects.
The action against the illegal hydrant was taken by the anti-theft cell of the Karachi Water and Sewerage Board (KWSB) with the help of Mochko police.
Officials said that suspects Muhammad Khalid, Israr and Waqar had established an underground water tank to steal water from the main line and were illegally selling it through tankers.
They said that the suspects were also mixing water not fit for human consumption from ponds and puddles with the line water and supplying it to people in different parts of the city.
The KWSB directed the anti-theft cell of the water utility to expand its operation against illegal hydrants and water theft in the city and take strict action against the culprits.
Published in Dawn, April 11th, 2022
",https://www.dawn.com/news/1684415/three-held-for-running-illegal-hydrant-in-site,karachi,2022-04-11
6,Another attempt to oust senior DRAP officer amid chaos in Islamabad,Dr Obaid Ali is currently facing an official inquiry for allegedly availing leaves without obtaining permission.,"KARACHI: Amid administrative chaos in Islamabad, authorities at the Ministry of National Health Services (NHS) are attempting for the second time to get rid of a senior officer of the Drug Regulatory Authority of Pakistan (DRAP) on trumped-up charges, it emerged on Sunday. 
Dr Obaid Ali, a grade-18 civil servant who is a deputy director of DRAP, is currently facing an official inquiry for availing leaves allegedly without obtaining permission. He had faced a same inquiry and was dismissed from services in January 2020, but later restored by Prime Minister Imran Khan. 
According to an April 2021 notification issued by the NHS ministry, with the approval of the prime minister being the appellate authority, the major penalty of dismissal from service imposed on Dr Ali, former deputy director DRAP, vide ministry’s notification dated Jan 10, 2020, was set aside and he was reinstated with immediate effect. 
However, considering his reinstatement as a threat, certain top officials of the health ministry in alleged connivance with a top bureaucrat sitting until last week at the Prime Minister Office started plotting against him and managed to get the same inquiry reopened in August 2021. 
Calling it a de novo inquiry, the charge sheet issued to Dr Ali states that he had obtained 11 days casual leaves in 2018, but joined the office after 107 days that too without any permission. 
Dr Ali had time and again refuted the allegation with documentary evidence and replied that during the period in question, he was suspended from service and there was no office for him to mark his attendance. 
But, the de novo inquiry moved forward and on Monday (today) he’s been summoned to Islamabad for a hearing before the secretary. 
At a time when there is no government or even the fully fledged prime minister or health minister, the timing of the final notice left a big question mark on the intentions of the bureaucrats running the show. 
It is suspected that the bureaucrats want to take an adverse action before the formation of the new government in a bid to take decisions of their choice in DRAP in his absence and leave him at the mercy of courts and the new government which would obviously take months to decide. 
However, despite attempts, NHS ministry federal secretary Amir Ashraf Khwaja was not available for comments.  
Karachi-based Dr Ali is known to have highlighted several incidences of malpractice and corruption as he had approached the Supreme Court and the prime minister on exorbitant medicine and transfer pricing by pharmaceutical companies in connivance with DRAP officials. 
In February 2018, the NHS ministry had accepted the resignation of his wife, Roohi Bano Obaid, also a deputy director in DRAP, instead of paying any heed towards her frequent highlighting of the alleged corrupt practices prevalent in DRAP.
Published in Dawn, April 11th, 2022
",https://www.dawn.com/news/1684414/another-attempt-to-oust-senior-drap-officer-amid-chaos-in-islamabad,karachi,2022-04-11
7,An Iftar where Christians and Muslims break bread together,"In a rare show of interfaith harmony, St Jude’s Church allows Muslim guests to offer prayers on church grounds.","KARACHI: A beautiful example to interfaith harmony was witnessed at St Jude’s Church in Hussain D’Silva Town where a joint Iftar for both Muslims and Christians was held on Saturday. 
The scrumptious Iftar followed by a delicious dinner was attended and enjoyed by members of the Christian community as well as Muslims along with clergy from neighbourhood mosques. Archbishop Benny Travas, the Bishop of Karachi, was the guest of honour on the occasion. 
The joint Iftar was the idea of the parish priest of St Jude’s parish Father Mario Rodrigues. He had been planning it for some time now, but the Covid-19 lockdowns and consequent standard operating procedures were constantly coming in the way of his plans. This year, though, he was happy to see it happen finally. “It is the seventh Muslim fast and the 34th Lent fast for us. And we will both break our fasts together at sunset or Maghrib,” Father Mario told Dawn. 
The popular Iftar delicacies like pakoras, samosas, spring rolls, fruit chaat, milk sherbet, etc., were all homemade as was the dinner. Father Mario could be seen running around between kitchen and the big U-shaped dining table as he was supervising so many things while also welcoming his guests with amazing grace and energy. 

In a rare show of interfaith harmony, St Jude’s Church allows Muslim guests to offer prayers on church grounds

A popular community figure, the little children didn’t take long to find their way to his lap the moment he sat down from a breather and to break his fast. 
Both Muslims and Christians then broke their fast on the call to Maghrib prayer with dates and milk sherbet. It was a rare sight to then see the Muslim guests say their prayers on the church grounds where special arrangements had been made for the purpose. 
Qari Bakhtullah, the imam from a neighbourhood mosque, the Jamia Masjid Al Sattar, led the prayers. 
Later, he told Dawn that he was glad to have accepted the church’s invitation. 
“My Christian brothers respect our religious obligations as we do theirs. Their prophet Jesus Christ is also our Hazrat Isa Alay-hi Salam. Caring for one’s neighbours and respecting their beliefs is also part of good religious practice followed in both our faiths,” he said. 
Father Asher Liaqat of St Jude’s pointed out that their church was located in the Hussain D’Silva Town, home for both Muslims and Christians. “It was due to the strong friendly bonds between Muslims and Christians that this town came about. We hope that this friendship becomes even stronger as more peace spreads in this place in the future,” he said. 
Archbishop Benny Travas, the Bishop of Karachi, said that as they broke their fasts together and broke bread together on the same dining table, it felt like they were all a part of one family. 
“We fast for 40 days during the Lent season, a time that we also spend looking to strengthen our relationship with God Almighty. We pray to Him and we give charity to the poor. You also spend Ramazan Kareem in fasting, praying and distributing zakat. We are so similar in our religious beliefs and obligations,” he pointed out. 
Dr Syed Khurram Mehdi, convener of the South Asia Research Institute for Minorities, and Advocate Nasir Ahmed also spoke on the occasion. 
Later, the church also distributed ration bags among the neighbourhood poor, including both Muslims and Christians.
Published in Dawn, April 11th, 2022
",https://www.dawn.com/news/1684413/an-iftar-where-christians-and-muslims-break-bread-together,karachi,2022-04-11
8,Rs450m project to reconstruct road connecting district Central and East launched,Administrator Wahab promises completion of work before June 30...,"KARACHI: City administrator barrister Murtaza Wahab has said the main artery connecting Central District with East District is being reconstructed at a cost of Rs450 million and the 5.5 kilometer road will be completed before June 30.  
He said this while addressing the ground-breaking ceremony of the road restoration and reconstruction works from Cafe Pyala Gulberg Chowrangi to Rashid Minhas Road UBL Sports Complex on Sunday.  
He said that a change would be brought about in the city by working for betterment of the people.  
The administrator, who is also provincial government’s spokesman and chief minister’s adviser on law, said that three and a half years had passed in chaos, unemployment and inflation, but now everyone had to work together for the development of Pakistan and their city.  

Administrator Wahab promises completion of work before June 30

He said that Shahra-i-Noor Jahan in district Central would be rebuilt at a cost of Rs1.1 billion and on April 21, he would be laying the foundation stone.  
He said that water, sewerage and drainage works would be completed before the construction of the road.  
Barrister Murtaza Wahab said that Iqbal Park would be constructed in Block-14 Federal B Area for which PC-1 had been prepared and funds already allocated and available.  
In response to a question from the media, he said that the people of Karachi would decide whether the last four years were good or these eight months during his tenure as administrator were better.  
The administrator said that 25 parks had been opened in DMC Central after renovation. “No additional resources were used and all this was possible only because of hard work, dedication and attention,” he said adding that the journey of improvement was going on and would continue.  
“For the first time in history, the National Assembly has sent prime minister home using its constitutional powers. Now we expect a fair distribution of electricity, gas and resources from the federal government. I hope the federal government will now take an interest in the affairs of Sindh and the problems will be resolved,” he added.  
He claimed that PTI members did not believe in the Constitution of Pakistan but believed in the constitution of Imran. “That is why, they were not ready for the Constitution of Pakistan to be given priority and the decisions of the Supreme Court are implemented,” he added.  
The administrator said that Mohsin Bhopali underpass in Nazimabad was in very bad condition.  
“There is a water leakage; the drainage system is out of order and the system has not been working for the last 16 years,” he added.
Published in Dawn, April 11th, 2022
",https://www.dawn.com/news/1684412/rs450m-project-to-reconstruct-road-connecting-district-central-and-east-launched,karachi,2022-04-11
9,HU holds discussion on Arif Hasan’s new book,KARACHI: Habib University has organised a talk with renowned architect and urban planner Arif Hasan to discuss his...,"KARACHI: Habib University has organised a talk with renowned architect and urban planner Arif Hasan to discuss his book The Search for Shelter: Writings on Land and Housing.
The book deals with the new concepts of housing in Pakistan and the problems that the world faces. 
In his talk, Mr Hasan discussed the difference in the society now, and back when he started working in 1971. He talked about how there were no non-governmental organisations (NGOs) or civil right societies back then, and how the landscape of Karachi had completely changed since then.
While speaking to the audience, he shed light on the condition of politicians and said that the politicians had changed a lot and held the non-existence of school unions partly responsible for that. 
He said that the student unions provided training grounds for leaders and nurtured people, who inspired to be politicians. Sadly, the whole structure has now been changed, he said.
Mr Hasan said: “One of the biggest determinants of how a society performs is how densely populated that society is. Cramped settlements are directly proportional to unhealthy and unhygienic environment.”
Other major issues like leasing of properties, employment, transport, housing loans were discussed. 
He illuminated the fact that many loans were taken for housing schemes, but were not paid back.
Published in Dawn, April 11th, 2022
",https://www.dawn.com/news/1684411/hu-holds-discussion-on-arif-hasans-new-book,karachi,2022-04-11
