,Header,Summary,Detail
0,Haripur court orders teachers to compensate injured student,HARIPUR: An additional district and sessions judge on Friday convicted six teachers of negligence and ordered them ...,"HARIPUR: An additional district and sessions judge on Friday convicted six teachers of negligence and ordered them to compensate a student, who lost a leg and an arm after suffering an electric shock during morning assembly seven years ago. 
The penalty came under Arsh clause of the PPC for offences relating to various kinds of injury. It is assessed at certain percentage of the value of diyat.
Khwaja Furqan Faisal Advocate told reporters that teachers of government boys primary school in Aldho area of Ghazi on Oct 22, 2014 had tasked a group of minor students with erecting an iron pole for hoisting national flag.
He said while erecting the pole, the iron bar touched high tension electricity line passing overhead, causing an explosion, killing one boy on the spot and causing severe burns to eight others. 
The deceased was identified as Jibran Ali. Another student, Zahidur Rehman, succumbed to injuries after three days.
The police submitted the challan of the case before the trial court on January 7, 2015, charging six schoolteachers and two Pesco linemen with causing the incident.
During the trial, heirs of deceased schoolchildren and six injured struck a compromise with the accused. 
However, Ajlam Khan, father of Zain Ali, the student who lost a hand and an arm in the incident, declined the deal, and contested the case.
Ghazi Additional District and Sessions Judge Wajid Ali, in his detailed judgment, convicted the six teachers of negligence and engaging the minor students in a risky job.
The court held that the teachers were liable to pay Arsh of Rs4.26 million to the student in lump sum.
The convicted teachers, who were on bail, were arrested from the courtroom and sent to Haripur jail. 
The court, however, acquitted the two Pesco linemen as the prosecution failed to establish their offence.
Published in Dawn, July 23rd, 2022
"
1,"Assembly amends law to regulate, manage forests in tribal districts","Opposition MPA raises objection, asks why certain exemptions for ex-Fata and not Malakand","PESHAWAR: The Khyber Pakhtunkhwa Forest (Amendment) Bill, 2022, was passed by the provincial assembly on Friday to extend the existing Forest Ordinance, 2002, with amendments to tribal districts for the regulation and management of the local forests.
Under the amended act, Schedule III has been included in the existing forest ordinance that shall apply to tribal districts for a period of 10 years. 
The existing forest resources have been divided in several categories, including forests, private forests, jointly managed communal forests and socially managed forests.
A senior official said that the forest department had been given management role to regulate and protect forests in tribal districts and the department concerned would carry out plantation and other activities for the conservation of forests.

Opposition MPA raises objection, asks why certain exemptions for ex-Fata and not Malakand

Under the amended act he said ownership of the forests including natural forests in the erstwhile Fata would lie with the local tribes and communities. 
“The forest department will provide technical support to the local communities for the better management of the forests and will carry out plantation,” he said, adding that the amended act based on the local customs and traditions of the tribes.
Sources insisted that the amended act was designed after taking all stakeholders, including tribal elders and communities, on board.
They said that jirgas were organised in all tribal districts and consultations were held with stakeholders.
Former Fata was merged with the Khyber Pakhtunkhwa through a constitutional in 2018; however, the forest ordinance was not extended to the area.
Prior to the merger, local tribes protect forests through local customs like Bandahr, Salwaishtai and Quomi-Tarun.
MPA of the opposition Muttahida Majlis-i-Amal Inayatullah Khan expressed reservations about the amendment and asked environment minister Syed Ishtiaq Urmer to explain ‘crux’ of the amendment before its passage.
He said the people of Malakand division had also some forest-related issues, so the relevant minister should give reasons for granting certain exemptions to tribal districts and not Malakand.
The lawmaker also said if the government decided to declare an area the national park, it should also specify how the park would help protect the rights of the local communities.
The minister told the house that the basic aims of the amendments to the forest ordinance were to enhance fines for different forest related offences in the province, control violations of the act, and protect forest resources.
Section 3 of the Schedule III reads, “The ownership of the forests, private forests, jointly managed communal forests and socially managed forests shall vest with the individual concernedor local communities, Quoam, Khels, Sub-Khels etc, as per taqsim. 
However, they shall be managed in a collaborative manner through Joint Forest Management Mechanism or local traditional committees by the relevant individual, families or community/communities and the department as per provision of this schedule.”
According to Section 4, the government may also regulate and manage any or all forests, private forests, jointly managed communal forests and socially managed forests or wastelands and watershed areas, which are owned by private persons, individually or jointly, and which is not the property of the government or over which the government has no proprietary rights.
The new law says illicit cutting, sawing, converting, obtaining, storing, selling, transporting, removal of trees and timber and the collection, manufacture and removal of forest produce from these forests and the use of any tools, implements, carriages, boats, vehicles, pack-animals, conveyances, power saw and sawing unit will be prohibited in all categories of forests mentioned in Schedule III.
According to the new law any person, who violates the provision of this schedule or who illegally cuts, debarks and damage to roots of any species, mentioned in Clause 6 of Paragraph II, within the limits of the government land or any forest under the management of divisional forest officer in tribal districts, shall be treated as offence, which shall be punished under sections 84 and 85 of the Ordinance.
There will be a dispute resolution committee. 
In case any dispute arises between the stakeholders of rights of any forests, the matter shall be referred to the DRC, which shall consist of the relevant deputy commissioner (chairman), DFO and representatives or elders, each from five quoam, three khels and one sub-khels to be appointed by chairman on the recommendation of the relevant conservator (forests).
The law says that all commercial harvesting of forests, private forests, jointly managed communal forests and socially managed forests shall be subject to the approval of management plan. 
The timber, harvested from any of forests, managed under working plan or timber, so confiscated, shall be put to auction in central sale depots, notified by the government.
Published in Dawn, July 23rd, 2022
"
2,PAJCCI eyes $2.5 billion bilateral trade,SWAT: Office-bearers of the Pak-Afghan Joint Chamber of Commerce and Industry (PAJCCI) reiterated their resolve on...,"SWAT: Office-bearers of the Pak-Afghan Joint Chamber of Commerce and Industry (PAJCCI) reiterated their resolve on Friday to increase the cross-border trade to 2.5 billion US dollars, and said free trade between the two countries would earn a substantial foreign exchange for both the countries.
They were speaking at a meeting held here. 
The meeting aimed at discussing steps to promote trade between Islamabad and Kabul by removing hurdles through mutual cooperation.
Co-founder of PAJCCI Khan Jan Al Kozay, vice-president Ziaul Haq Sarhadi, Swat chamber president Adnan Ali, Director General Trade Development Authority of Pakistan Naseer Ahmed, and others were present.
The participants said the purpose of the meeting was to ask the businessmen of the two countries to work for enhancing the volume of bilateral trade.
They decided to take up the issues facing businessmen of the two countries with the authorities in Kabul and Islamabad.
They also called for speedy customs clearance at the border for import and export of fruits and vegetables.
Published in Dawn, July 23rd, 2022
"
3,Another policeman martyred in Khyber attack,The police said motive behind the killing could not be immediately ascertained.,"KHYBER: Only two days after the Khyber police chief ordered heightened security at checkposts in Bara, another policeman was martyred in an incident of targeted killing on Friday.
Sub-Inspector Andaz Gul came under attack when he was going to duty station in the morning, according to a statement.
It said Mr Gul succumbed to injuries in a hospital.
The police said motive behind the killing could not be immediately ascertained.
Funeral prayers of the martyred policeman were offered at the Shah Kas Police Training Centre in Jamrud.
Four policemen have so far died in targeted killing in Bara tehsil during last four months.
Published in Dawn, July 23rd, 2022
"
4,Two including girl swept away by flash floods in Lakki,"Floods also damage roads, culverts and causeways disconnecting rural areas with urban localities.","LAKKI MARWAT: Two persons, including a girl, were swept away by gushing waters while crossing a nullah as torrential rains wreaked havoc in parts of Lakki Marwat on Thursday evening.
Rescue sources and locals said heavy rains flooded water channels and nullahs in the Betanni tribal subdivision and other towns of the district.
They said a tribesman, Mohammad Iqbal, 52, and a minor girl, Baitun Nisa, 8, were swept away by flash floods when they were crossing a nullah in the tribal subdivision.
They said divers of rescue service and locals pulled out the bodies from the water course.
The downpour and subsequent flash floods also damaged roads, culverts and causeways disconnecting rural areas with urban localities.
The flooding also damaged a diversion dirt track of Lakki-Darra Tang portion of Bannu-Mianwali Road and washed away a causeway on Mela Mandrakhel-Zangikhel road.
The earth embankments built by the district administration proved helpful to save residential areas from floods.
Deputy commissioner 
Fazal Akbar visited the flood-hit areas and instructed the officials to launch rehabilitation work.
Meanwhile, the assistant director of the local government and rural development department has asked employees to ensure their presence at duty stations owing to the flood situation.
In a circular issued on Friday, the secretaries of village and neighbourhood councils, Class-IV employees and janitors have been directed not to leave their respective duty stations, keep liaison with tehsil supervisors and take all possible measures to avoid any loss of life in rains and floods.
ARREST: The police arrested a wanted man in injured condition after an exchange of fire in Nar Mohammad Ghaznikhel area of Naurang town on Friday.
An official said Ghafoor and Ahmad Khan had escaped after killing a man and a woman in Gandi Chowk on Thursday night.
He said a party of Shaheed Asmatullah Khan Khattak police station came under fire when they encircled the hideout of the suspects,” he said, adding police returned the fire and succeeded in capturing one of the wanted men, Ghafoor, in injured condition.
He said the cops seized a gun, a pistol and bullets from the arrested man and shifted him to hospital.
Also in the day, a man committed suicide in Tajazai area of Lakki Marwat. 
Police said Farmanullah, 25, who was mentally disturbed, shot himself dead with a pistol.
Published in Dawn, July 23rd, 2022
"
5,Enrolment campaign launched in Swabi villages,SWABI: Provincial education secretary Mutasim Billah Shah said on  Friday the government was determined to bring...,"SWABI: Provincial education secretary Mutasim Billah Shah said on  Friday the government was determined to bring dropouts back to school  during the ongoing enrolment campaign across the province.
He met  with parents in remote villages during the enrolment campaign for the  new academic year, pursuing parents to enroll their children in schools.  He impressed upon the parents that acquiring knowledge helped nations  change their destiny.
Officials said the provincial education  department was also carrying out a door-to-door campaign and reaching  out to parents, urging them to put their children in schools.
The enrolment campaign will continue till July 30, they added.
“An  integrated strategy has been adopted for the campaign, involving people  from all walks of life. Millions of children will be enrolled in  schools this year,” said Mr Mutasim Billah.
Apart from building  new schools and additional class rooms in existing schools, he said, the  government had also started second shifts and community schools to  promote education in the province. A significant budget has been allocated for provision of these facilities, he added.
TWO DROWN: Two teenage boys drowned in a nullah in Gadoon Amazai area here on Friday.
Sherazam Jadoon, general secretary Gadoon Labour Federation, said three children of factory workers belonging to Punjab drowned while bathing with their friends in the Malikabad Badri Nullah.
He said the nullah was in medium floods due to rain in catchments. He added local divers rescued one of the teenagers. 
The deceased were identified as Farhan, 14, and Jawad, 13, belonging to Sargodha district.
SUSPENDED: The headmistress and Class-IV staff of a girls high school have been suspended by provincial minister for elementary and secondary education Shahram Khan Tarakai for their failure to ensure upkeep of the institution during its closure for summer vacation.
Legal action has been initiated against the headmasters and the Class-IV staff, and an explanation has been sought from the district education officer in this regard, an official said.
Published in Dawn, July 23rd, 2022
"
6,Mardan traders reject FPA in power bills,"MARDAN: Leaders of Markazi Tanzeem-i-Tajiran, Mardan chapter, said here on Friday that fuel price adjustment (FPA) ...","MARDAN: Leaders of Markazi Tanzeem-i-Tajiran, Mardan chapter, said here on Friday that fuel price adjustment (FPA) in electricity bills was a sheer injustice with them and warned that they would file a writ petition against these charges in the Peshawar High Court. 
In this regard, a meeting of members of the traders’ body was held to devise an effective line of action against the inclusion of charges on account of FPA in the power bills. 
Markazi Tanzeem-i-Tajiran president Ihsan Bacha chaired the meeting, which was attended by representatives of different traders’ unions. 
The traders said that they had already been paying different types of taxes to the government. They said that on the one side the business activities had suffered owing to hefty increase in the prices of petroleum products, on the other the government was imposing taxes on them, which increased the cost of business. 
Published in Dawn, July 23rd, 2022
"
7,CM voices concern about targeted killing of policemen,Calls for ‘workable’ action plan to check those attacks,"PESHAWAR: Khyber Pakhtunkhwa Chief Minister Mahmood Khan on Friday expressed concern about the targeted killing of police personnel in the province and called for a ‘workable’ action plan to check those attacks.
A statement issued here said that Mr Mahmood was chairing a meeting here regarding law and order.
The participants reviewed the current security situation in the province with a special focus on the increasing targeted killings of police personnel in different parts of the province and took decisions to devise strategy to prevent such incidents.
Special assistant to the chief minister Barrister Mohammad Ali Saif, provincial police chief Moazzam Jah Ansari, principal secretary to the CM Amjad Ali Khan and other senior police officials attended the meeting.
The chief minister expressed concern over the martyrdom of police personnel in different places of the province and said peace was indispensable for the development and prosperity of the province.
“Maintaining law and order is the first priority of my government. We will make no compromise on law and order,” he said.
Mr Mahmood directed the relevant authorities for the result-oriented efforts to stop targeted killing of policemen and said all authorities of police should sit together and come up with a comprehensive and workable action plan for the purpose.
He paid tribute to the police personnel over their sacrifices for peace and said people and government of the province were proud of them.
“Police personnel are facing the situation with great bravery and dedication,” he said. 
The chief minister directed the relevant authorities to take measures to check the incidents of target killing of police personnel.
The chief minister said his government would provide all resources required by the police for the purpose on priority.
He said such killings couldn’t be tolerated anymore and the morale of police officials performing their duties in the field at all costs.
Mr Mahmood urged the regional police officers and district police officers to go to their subordinates in the field to boost their morale instead of sitting in their offices ‘all the time’.
He also ordered the implementation of standard operating procedures for the movement of police personnel and said possible threats to the lives of police personnel should be assessed for their protection, while intelligence mechanism of the police should be made more efficient for the purpose.
Published in Dawn, July 23rd, 2022
"
8,Mega projects promise Mansehra uplift: PML-N,MANSEHRA: Federal parliamentary secretary of interior and MNA Mohammad Sajjad Awan has said the Pakistan Muslim...,"MANSEHRA: Federal parliamentary secretary of interior and MNA Mohammad Sajjad Awan has said the Pakistan Muslim League-Nawaz-led federal government will ensure the completion of the Mansehra-Muzaffarabad Motorway and Tanawal Airport projects on time.
Talking to the PML-N workers here on Friday, the local lawmaker said the mega projects, which were launched by the prime minister during a recent visit to Mansehra, promised the region’s development.
Mr Awan said he was aware of the water shortage issue in Mansehra city and on its outskirts and would ensure its early resolution by the federal government.
He said Prime Minister Shehbaz Sharif had announced Rs1 billion for water supply to Mansehra and work on it would begin soon.
The MNA said the last PML-N government had released money for the land acquired for the proposed Tanawal Airport.
He said the Mansehra-Muzaffarabad Motorway project inaugurated by the prime minister would ensure the development of both Khyber Pakhtunkhwa and Azad Jammu and Kashmir.
Mr Awan said the federal government had subsidised essential commodities through the Utility Stores of Corporation to the relief of the common man from inflation.
The PML-N workers led by party district president Zafar Mehmood and including Shahnawaz Khan Swati informed him about the people’s problems and sought their early yet effective resolution.
THREE KILLED: Three people were killed and four critically injured when a jeep they travelled in fell into a deep ravine in Loter area of Upper Kohistan district on Thursday night.
The accident occurred on the Karakoram Highway after the driver lost control of the jeep while negotiating a sharp turn on the way from Upper Kohistan to Rawalpindi.
The police and Rescue 1122 officials shifted the injured to the King Abdullah Teaching Hospital, where doctors declared Rehmat Shah, Raja Shabbir and Mohammad Sohaib dead and referred four to the Ayub Medical Complex, Abbottabad, due to critical condition.
Published in Dawn, July 23rd, 2022
"
9,PHC denies bail in drug case,Declares has no jurisdiction on matter as appeal pending with SC,"PESHAWAR: The Peshawar High Court has turned down the plea of a man to suspend the life sentence awarded to him by the trial court for drug trafficking and to grant him bail until the disposal of his appeal pending before the Supreme Court.
While dismissing petition of Doctor Khan, a bench consisting of Justice Lal Jan Khattak and Justice Ishtiaq Ibrahim ruled that the court lacked jurisdiction to entertain bail in a case in which appeal against its judgement was pending with the Supreme Court.
The petitioner has challenged a judgement of the high court of June 29, 2016, whereby his appeal against his conviction was rejected, before the Supreme Court by filing a leave to appeal petition. The apex court had granted him leave to appeal on Oct 21, 2021.
The petitioner/ convict was arrested by personnel of Hangu City police station on March 24, 2013, while he was driving a truck. He was also accompanied by Javed Iqbal.

Declares has no jurisdiction on matter as appeal pending with SC

The police claimed that they had a tip-off about the smuggling of contraband, so they stopped that truck and seized 113kg charas.
The petitioner and Javed Iqbal were convicted by the trial court on April 2, 2014, and were awarded life imprisonment and a fine of Rs500,000 each.
Both convicts had filed appeals against the verdict with the high court.
While the appeal of Doctor Khan was dismissed, the high court accepted the plea of Javed leading to his acquittal on Sept 29, 2016.
Doctor Khan moved the Supreme Court with a leave to appeal petition, which is still pending decision.
The high court bench observed that it derived its power to grant bail pending appeal before the Supreme Court against the judgement of this court in a criminal case from 426 (2B) of the Code of Criminal Procedure.
The bench observed that the said provision was enacted in 1946, which provided that where a high court was satisfied that a convicted person has been granted special leave to appeal to the Supreme Court against any sentence which it has imposed or maintained, it may, if it so thinks fit order that pending the appeal the sentence or order appealed against be suspended and also, if the said person is in confinement, that he be released on bail.
The bench further observed that after independence of India and Pakistan, being alive to the situation, the Indian Law Commission recommended in 1969 that the said provision needed to be omitted from the statute following which the Indian Criminal Procedure Code was amended.
Furthermore, the bench pointed out that the Supreme Court had taken care of the matter in question while framing its rules under Article 191 of the Constitution.
The bench referred to Rule 11 in Chapter-XXII of the Supreme Court of Pakistan Rules, 1980, which states: “Pending the disposal of any appeal under this Order the Court may order that the execution of the sentence or order appealed against be stayed on such terms as the court my think fit.”
The bench after giving ruling in a case had no official authority to entertain it until and unless it could be shown why a petition for the suspension of the sentence could not be lodged in the first instance before the Supreme Court.
The court ruled that when the Supreme Court had already taken cognisance of the matter and while this court had already dismissed the appeal and had maintained the conviction recorded by the trial court; and when there was no legal impediment in the way of the petitioner to approach the apex court, the bench deemed it not proper to suspend the sentence awarded to the petitioner.
Published in Dawn, July 23rd, 2022
"
