,Header,Summary,Detail
0,Farmers in Narowal recount the ravages of lumpy skin,Demand PM Shehbaz and CM Elahi take immediate notice of the situation.,"NAROWAL: Lumpy skin disease is infecting cows in Narowal as dozens of animals have died from the disease.
Cattle farmers in Narowal, Zafarwal and Shakargarh are worried about the unchecked spread of the disease.  
Muhammad Israr, of Rupochak village, said when his cow contracted the disease, he immediately contacted the livestock department, but only to be informed the department did not have medicines for lumpy skin disease.  
Mr Israr said the vets prescribed medicine for the cow which was to be bought from the market.
Munir Ahmed said the medicines for lumpy skin disease are being sold in the black market.  
Muhammad Ibrahim, of Ganeshpur village, said he failed to find the prescribed medicines in government hospitals and private pharmacies. 
He said his cow died from the lumpy skin only due to the lack of medicine.
Abdul Kareem and Muhammad Iqbal said the animals suffering from lumpy skin diseases were being sold to butchers at cheap rates. 
He said the citizens were forced to eat the meat of sick animals.  
Iqbal said the milk of animals suffering from lumpy skin disease was also being sold.
According to sources, more than 145,000 cows could not be vaccinated in the district. There is no arrangement to protect animals from lumpy skin disease.
Dr Saeed, additional livestock director, said 20,000 animals had been vaccinated in the Narowal district, while animals were being sprayed for the elimination of flies, mosquitoes and maggots to prevent them from lumpy skin disease.  
He said the consumption of meat and milk of animals suffering from lumpy skin disease does not spread the disease. He said an awareness campaign was launched. 
He said only cows were infected by the disease.
Deputy Commissioner Shahid Farid could not be reached for his version.
Citizens demanded that Prime Minister Shehbaz Sharif and Chief Minister Parvez Elahi take immediate notice of the situation. 
Published in Dawn, August 16th, 2022
"
1,"Notices to governor, PU VC on plea against SCS appointments","LAHORE: The Lahore High Court on Monday issued notices to the Punjab governor, being chancellor of the Punjab...","LAHORE: The Lahore High Court on Monday issued notices to the Punjab governor, being chancellor of the Punjab University and its vice chancellor on a petition challenging appointment of ‘influential’ candidates as professor of School of Communication Studies (SCS).  
Associate Professor Dr Shabbir Sarwar filed the petition through his counsel Safdar Shaheen Pirzada.
The counsel said Sawera Mujeeb Shami, the daughter of a senior journalist, Dr Mian Hannan Ahmad, a brother of SCS senior official, and Dr Lubna Zaheer, recommended by a PML-N senator, had been appointed as professors in violation of rules and regulations.
He alleged favouritism, misuse of authority, violation of rules and regulations in the selection process i.e. from the advertisement to the issuance of appointment notification.
He pointed out that only six days (four working days) were given to the candidates to submit applications for the post of professor of communication studies after the appearance of a corrigendum advertisement to minimise the competition for the job, while the university would give 60 days to apply for the post of professor as per its years-old practice and regulations.
The counsel submitted that the meeting to recommend the names of the panel of foreign experts/referees was never convened, in violation of university rules and regulations.  
He said the list of experts was prepared by the SCS director, whose brother was also an applicant, and he was finally appointed.
He said for the second seat, the vice chancellor, while misusing his authority, sent cases for evaluation to those foreign referees who were recommended by Dr Ayesha Ashfaq, wife of the host of Mr Shami’s talk show on a private TV channel.  
He said both foreign referees were PhD and post-PhD supervisors of Dr Ayesha, who was PhD supervisor of candidate Dr Sawera Shami.
Advocate Pirzada said Dr Ayesha jointly published research work with candidate Dr Sawera as well as both the foreign referees, which is a clear case of conflict of interest.
He contended that the Higher Education Commission of Pakistan did not award even a six-month foreign scholarship to a candidate in case the foreign referee was the supervisor of his/her local supervisor.  
The counsel said the petitioner had been ignored despite standing first in terms of first author research publications and 
professional experience, among all the candidates.  
He asked the court to set aside the impugned appointments for being made in an illegal manner.
After hearing the arguments of the petitioner’s counsel, Justice Shakeel Ahmad sought replies from the respondents for a date to be fixed later by the registrar office. 
Published in Dawn, August 16th, 2022
"
2,CM increases allowance for challenged employees,LAHORE: Chief Minister Parvez Elahi has announced increasing conveyance allowance for physically-challenged ...,"LAHORE: Chief Minister Parvez Elahi has announced increasing conveyance allowance for physically-challenged employees in all government institutions of Punjab besides upgrading posts and recruiting against 664 vacant posts.
The chief minister was speaking to a delegation of physically-challenged people, the office-bearers of the Blind Labour Union, and the Blind Professional Association.
The chief minister issued directions to resolve their issues without delay and informed them that the provincial government would give a Rs10,000 monthly conveyance allowance to differently-abled persons. 
He also announced the upgrading of posts for disabled employees in all the provincial government departments and explained that posts for all those, who could not walk or hear, would be upgraded.
The chief minister announced the immediate recruitment for 664 posts for disabled persons and asked the special education department to send the summary to his office on an emergent basis. 
He regretted that the PML-N government ignored the problems of disabled persons. 
The delegation thanked the chief minister, who developed institutions for them and resolved long-awaited problems.
Published in Dawn, August 16th, 2022
"
3,"Two sisters, boy feared drowned in Chenab",TOBA TEK SINGH: It is being feared that a boy and two young women drowned in the river Chenab in two separate...,"TOBA TEK SINGH: It is being feared that a boy and two young women drowned in the river Chenab in two separate incidents in Jhang district on Monday.  
According to Rescue 1122 officials, two sisters -- Allah Rakhi (20) and Sonia Bibi (16) -- belonging to a gypsy family, were sitting on the river bank at Khullar Awan near Shah Jewna on Jhang-Lalian Road, when suddenly the younger one (Sonia) slipped and fell into the river.  
Her elder sister Allah Rakhi also jumped into the river in a bid to rescue Sonai, but both disappeared in the water.  
On receiving a call from locals, Rescue 1122 teams reached the spot and started a search operation in the river.  
A Rescue 1122 press release on Monday said that all available resources were being used to trace the sisters who could not be found so far.  
In the other incident occurring near New Jund bridge over the river on Jhang-Sargodha Road, a 17-year-old boy Usman, a resident of Waris Road, Jhang, was swimming in the river when he disappeared in deep waters.  
On being informed of the incident, Rescue 1122 divers reached the spot and launched a search for the boy, who could not be found till filing of this report.  
Published in Dawn, August 16th, 2022
"
4,DCs transferred,LAHORE: The Punjab government on Monday mutually transferred and posted deputy commissioners of Bahawalpur and ...,"LAHORE: The Punjab government on Monday mutually transferred and posted deputy commissioners of Bahawalpur and Okara.
Bahawalpur DC Irfan Ali Khan has been transferred and posted as Okara DC in his own pay and scale.
Similarly Okara DC Zahid Pervez has been transferred and posted as Bahawalpur DC in his own pay and scale. 
Published in Dawn, August 16th, 2022
"
5,"Two die, one goes missing as flood hits 30 villages","After more rain forecast, govt mulls evacuation plan","DERA GHAZI KHAN: Two persons died and one went missing as thousands of acres of land of 30 villages in tehsil Taunsa of Dera Ghazi Khan and tehsil Jampur of district Rajanpur were flooded after a heavy downpour in the Sulaiman Range. It was the second high torrential flood in the last two weeks that was caused by the hill torrents in Kaha Sultan, Chachar and Rajanpur.  
Two residents of village Machhi, identified as Juma Machhi and Mukhtar Machhi, were swept away by the strong waters of Kaha Sultan hill torrent. Juma was rescued by local people while Mukhtar was missing for more than 24 hours.  
The flood washed away the bridge connecting the arid zone of Pachad-Dajil and Jampur city. A breach occurred in the Kacchi canal and the canal water inundated an area. Due to the breaking of the structure of Noorpur siphon, the flood inundated village Kawnwala and other adjacent areas. The Rajanpur deputy commissioner said the administration would not leave the flood victims alone.  
The Sanghar hill torrent left many villages of tehsil Taunsa, including Mangrotha, Sokarr, Bughlani, Bodo, Kachhal, Dagarwali Bait Arain, and their adjacent areas inundated. The authorities forced their residents to evacuate to safer places.  

After more rain forecast, govt mulls evacuation plan  

Dera Ghazi Khan DC Anwar Baryar said the administration was engaged in rescue and relief operations by using its all resources. He said two dead bodies came floating in flood from Musakhel, Balochistan and efforts were being made to identify the deceased.
WARNING: After the National Disaster Management Authority (NDMA) issued a flood warning due to heavy rains in DG Khan Division for Aug 17 and 18, the Punjab government has started considering the evacuation of residents from the vulnerable areas to protect their lives and property. 
Chief Secretary Kamran Ali Afzal chaired a meeting at his office at the Civil Secretariat in Lahore on Monday to review arrangements for dealing with possible flooding.  
The meeting decided to deploy mobile teams of health and livestock departments and volunteers of Civil Defence in the DG Khan division. 
Mr Afzal directed the authorities to immediately identify the areas likely to be hit by the hill torrents. He said arrangements would be made to move people as well as livestock to unsafe places. He said transport and food facilities should be provided to locals moving to safer places and the help of notables of the area and prayer leaders (Imam) of mosques should be sought to convince people of evacuation.  
He said the senior member of the Board of Revenue would supervise the evacuation plan and relief and rescue operation. 
The meeting was told that about 6,000 people were affected by the flood in DG Khan, Rajanpura and Jampur on Sunday.  
Rescue operations were conducted at nine places in DG Khan and four places in Jampur. Tents and food hampers were distributed among the affected areas. The senior member board of revenue, secretaries of irrigation, health, and livestock, director-general of PDMA and officers concerned attended the meeting while the DG Khan commissioner participated in it through a video link. 
MUZAFFARGARH: The Indus level is rising once again as more than 350,000 cusecs of water is flowing in it at Taunsa from the hill torrents. 
Sources said relief camps had been set up because more rains are expected in the Dera Ghazi Khan division in the next two days. 
Deputy Commissioner Ali Annan Qamar has alerted Kot Addu Assistant Commissioner Muhammad Amir and his team. 
More than 25 villages have already been evacuated last week. The administration has asked the people not to return to the area.   
Published in Dawn, August 16th, 2022
"
6,Road blocked over ‘inflated’ power bills,TOBA TEK SINGH: Scores of people from different localities and shopkeepers of cloth markets blocked traffic for one...,"TOBA TEK SINGH: Scores of people from different localities and shopkeepers of cloth markets blocked traffic for one hour on Monday at Lal Mills Chowk, Faisalabad, to register their protest against Fesco for sending inflated domestic and commercial electricity bills.  
The protesters set used tyres on fire and chanted slogans against the federal government for what they said irrational raise in power tariff. Hundreds of women separately staged a sit-in on the road.  
Some of the women told the media that on the one hand their husbands and male family members had been rendered jobless due to ‘wrong’ economic policies of the government while on the other exorbitant power and gas bills were sent to them. Shops located on the protest site also remained closed.
Meanwhile, scores of male and female anti-polio vaccinators staged on Monday a demonstration at District Council Chowk in Faisalabad against ‘refusal’ of primary healthcare department to sign their new job contracts.  
They told the media that instead of regularising them new recruitment of polio workers was announced while their outstanding four-month salaries had not been paid.  
ROOF COLLAPSE: A man was killed and two other family members suffered injuries when a roof of their house caved in at Chak 394 GB Jhok Baigwala in Tandlianwala tehsil of Faisalabad on Monday.  
The deceased has been identified as Naik Bibi (56) while the injured included her daughter-in-law Zunaira Bibi (28) and Zunaira’s seven-month-old son Ali Hussain. Both the injured were shifted to Tandlianwala THQ hospital.  
In another incident, a cyclist was killed when a van hit him on Monday near Nigahbanpura railway level crossing located on Chak Jhumra Road.  
Mansoorabad police have shifted the body of Muhammad Ramzan (40) of Hajweri Town to Allied hospital for autopsy. 
Published in Dawn, August 16th, 2022
"
7,Flood threat: 51 relief camps for livestock in Bahawalpur division,BAHAWALPUR: The livestock department has established 51 camps for the animals in the Bahawalpur division’s areas...,"BAHAWALPUR: The livestock department has established 51 camps for the animals in the Bahawalpur division’s areas facing the flood threat due to rising water levels in the Chenab, Sutlej and Indus rivers. 
According to livestock department officials, 13, 19 and 19 relief camps have been established in 12, 18 and 21 union councils (UCs) of Bahawalpur, Bahawalnagar and Rahim Yar Khan districts, respectively, deploying total 26 veterinary officers and 96 assistants there. 
The officials told Dawn that these camps would have ample stocks of emergency medicines for the livestock in case of flooding in these areas. 
In addition to it, they claimed that 13 government-run veterinary hospitals, 42 dispensaries, 20 veterinary centres and 13 mobile dispensaries in the division have been placed at the disposal of the livestock officials for provision of emergency treatment to animals in the areas faced with flood threat. 
Because of the ongoing rain spell, the irrigation department did not rule out flood situation in the river Chenab near UCh Sharif and Ahmedpur East, river Sutlej in Bahawalnagar district and river Indus in Rahim Yar Khan district. 
Meanwhile, Bahawalpur Saddar Assistant Commissioner (AC) Muhammad Tayyub, along with District Emergency Officer Baqir Hussain, distributed life jackets among the divers, boat drivers and the locals residing near Magwani Pattan on the river Sutlej near Dera Bakha, about 15kms from here.  
The life jackets are given to the people who have to cross the river, that is in high-flow now a days, frequently in boats and through a boat bridge on the Magwani Pattan to save their lives in case of any emergency.  
The AC directed the boat drivers not to overload the boats to ensure safety of the passengers. 
TWO DROWN: A man and a minor girl drowned in the river Sutlej in separate incidents on Monday. 
According to Rescue 1122, 10-year-old Bakhtawar of Bhindha village was cooling off in the river water near Ameenpur on Jhangiwali Road when strong currents pushed her into deep waters, where she disappeared. Rescue 1122 divers were looking for the girl till the filing of the story.  
In another incident, a man Tariq drowned while crossing the river near Nawabpur Pulli, Mauza Mari Qasim Shah. 
The divers retrieved the body from the river and handed it over to the family of the decease man. 
Published in Dawn, August 16th, 2022
"
8,Case against police for thrashing man to death,OKARA: A man was allegedly thrashed and killed by a raiding police team in Lalewala village near Hujra Shah ...,"OKARA: A man was allegedly thrashed and killed by a raiding police team in Lalewala village near Hujra Shah Mubeen.  
According to a first information report, late on Sunday SI Ali Husnain Shah with four other police officials entered the cattle pen of Hanif, 40, who was asleep there.  
The police forcibly picked him up and thrashed him. Later, seeing his condition getting deteriorate, the police pushed him out on the road and fled.  
Several locals gathered at the scene and later, with the family members of the deceased, they blocked Hujra-Kasur Road. The Hujra police station registered a case against SI Husnain and four unidentified suspects. 
LHVs: More than 100 lady health visitors ( LHV) held a sit-in on the office lawns of the district health authority on Monday. 
Their leader, Najma Naheed, told Dawn that LHVs were recruited some 30 years ago on scale nine and since then they had been serving on the same scale.  
The basic qualification for an LHV has been raised to FSc from matriculation but without any change in their pay scale. 
She said Chief Executive Officer-Health Dr Mahar Akhtar Baloch received their charter of demands and assured them that their demands with a covering letter would be forwarded to the secretary to specialised health, director general health and nursing director general in Lahore.  
She said LHVs were protesting across the province and had made a plan to hold a protest rally on Aug 18 in front of the Punjab Assembly if their demands were not met by the authorities. 
Published in Dawn, August 16th, 2022
"
9,Man held for throwing acid on family,MUZAFFARGARH: Police on Monday arrested a man for allegedly throwing acid on three members of a family over an ...,"MUZAFFARGARH: Police on Monday arrested a man for allegedly throwing acid on three members of a family over an enmity on Sunday night near Shehr Sultan area in Jatoi tehsil.  
According to first information report, widow Nazeeran Bibi said her daughter Sughran Mai and grandson Ishfaq (2) were asleep when she saw suspect Asghar throwing acid on them and all started crying. 
Locals rushed to the spot and shifted them to Jatoi THQ hospital from where they were referred to district headquarters hospital. Doctors said all three are critical. Shehr Sultan police have registered a case under Anti-Terrorism Act (ATA), 336B and arrested Asghar.  
Sources said some months back Asghar’s kiosk was gutted by fire and he suspected that Nazeeran’s son Zubair was allegedly involved in the incident. 
Published in Dawn, August 16th, 2022
"
