,Header,Summary,Detail
0,"Husband, brother arrested for killing woman",ISLAMABAD: A woman was murdered allegedly by her husband and brother for honour and police have arrested both the...,"ISLAMABAD: A woman was murdered allegedly by her husband and brother for honour and police have arrested both the suspects.
The deceased was identified as Farrah Bibi, 22, said the police, adding she had multiple bullet wounds on her chest, head, neck, shoulder and hand.
Over the murder, a case has been registered at the Phulgran police station against the two suspects in response to a complaint lodged by the victim’s father, Ghulam Fareed.
The couple had strained relations and frequently quarreled, said the police, adding her husband had suspicion over her character which affected her life.
Due to the tension, she became disturbed psychologically, the police quoted her father as saying. On August 27, she disappeared from her home after which a search was conducted but without success.
On September 2, her husband and brother contacted Mr Fareed and asked him to come to the motorway toll plaza. When Mr Fareed reached there, he found her daughter along with her husband and brother in a rented car.
Later, all the four moved to Sri Chowk where the two suspects asked the father to bring some juice from a nearby shop, the police said. When Mr Fareed disembarked from the car, they sped away.
He then hired a taxi and reached his house at Athal village and found the body of his daughter outside. Both the suspects had disappeared.
The father alleged that her daughter was murdered over suspicion by her brother and husband, they said, adding during the investigation the police traced the whereabouts of the suspects and arrested them.
They were produced in court which gave them in police custody on physical remand.
Meanwhile, a 22-year-old woman committed suicide by hanging herself in the capital, police said.
The victim was identified as Mehreen, a resident of Phulgran. The police said her husband was a painter by profession and the couple had a two-month-old daughter.
The police quoted the victim’s husband as saying that she was in distress over financial problems and the family failed to make ends meet.
However, the police initiated an investigation to establish the facts and verify the claim of the victim’s husband.
Published in Dawn, September 7th, 2022
"
1,"Varsities in flood-hit areas asked to defer fee collection from students, NA body told",HEC coordinating with several committees to help people.,"ISLAMABAD: National Assembly Standing Committee on Education was informed on Tuesday that all universities have been asked to defer fee collection of students belonging to a flood-affected area and ensure their uninterrupted education.
A meeting of the committee was held here with MNA Makhdoom Syed Samiul Hassan Gillani, besides getting a briefing from chairman of the Higher Education Commission (HEC) Dr Mukhtar Ahmed. In his briefing to the committee, chairman of HEC said that all universities in flood-hit areas of the country have re-started operations and students of affected areas, who are pursuing their education in any university of the country have been asked not to be worried about their fee and continue their education.
The HEC chairman told the committee that all universities have been asked to defer fee collection for two semesters and no student of affected areas should be forced to deposit tuition and hostel fee. HEC and other universities are working with close coordination to help out students and people of affected areas of the country. The committee was told that various committees comprising of vice chancellors of universities such as the committee on agriculture/crops, engineering, health and so on have already been working.
Talking to Dawn, the HEC chairman asked universities to defer fee collection from students of affected areas at least for two semesters and meanwhile, HEC is exploring various options to secure funding to help students. 

HEC coordinating with several committees to help people

Separately, he said that all major universities of the country, that were all set to hold exams, have been asked to defer their exams for one month so that students of affected areas could get some time for preparation. Earlier, during the committee meeting, he also briefed the committee about matter of establishing nine engineering universities in the country through HEC’s multi-billion dollar project. The committee was told that this project was started in 2005 and later on it was shelved on the direction of the then cabinet.
The meeting also discussed the matter of establishing a university in Gwadar as a member of the committee stated that there is urgent need of setting up this university in the greater interest of students. 
They said that many students of Balochistan have been pursuing their education in universities outside Balochistan and there is need for more universities in this province. 
Earlier, to a question regarding students of erstwhile Federally Administered Tribal Areas (Fata), the chairman of HEC told the committee that free education was being given to students of the area by universities on their own pattern. 
The meeting also discussed the issue of teachers working in Federal Directorate of Education (FDE) on deputation and under wedlock policy and decided to take up this issue again in the next meeting.
Published in Dawn, September 7th, 2022
"
2,Senators meet family of 1971 war hero,Senator Mushahid Hussain Sayed lays down floral wreath at mausoleum of Lance Naik Mehfooz Shaheed.,"ISLAMABAD: The Senate Defence Committee on Tuesday visited the mausoleum and home of Lance Naik Mehfooz Shaheed in Pind Malkan the recipient of Nishan-i-Haider, to pay homage to him on the occasion of the57th Defence Day.
The committee chairman, Senator Mushahid Hussain Sayed, led the delegation comprising senators Shahzad Waseem, Waleed Iqbal, Rukhsana Zuberi and Zarqa Suharwardy.
Senator Mushahid laid a floral wreath and offered fateha at the mausoleum and also met members of the martyr’s family.
Addressing a gathering at the mausoleum, Senator Mushahid Hussain applauded the exemplary heroism of the martyr and other brave sons of the soil who laid down their lives for the defence of the country.
“We also salute the resilience and resolve of the mothers, fathers and families of our martyrs. The eternal sacrifices of the Pak Army for the homeland can never be forgotten. Pakistan army is a national army and is the guarantor of unity, territorial integrity, sovereignty and stability of the motherland,” he said.
“The presence of representatives from all the provinces and political parties is a confirmation that the whole nation is united for national security above party considerations,” he added.
To pay tributes to the martyr, who sacrificed his life for the motherland during the Indo-Pak War of 1971, members of the defence committee later visited the family of Mehfooz Shaheed.
While talking to the family, Mushahid Hussain Sayed said: “Brave sons of the soil had thwarted the nefarious designs of the enemy by sacrificing their lives for the nation. Sacrificing lives to protect the motherland was an honour and we salute his sacrifice and pay respect to his family.”
Published in Dawn, September 7th, 2022
"
3,More dengue patients arrive in Pindi hospitals,RAWALPINDI: Another 40 dengue patients came to the three government-run hospitals on Tuesday. Most of the...,"RAWALPINDI: Another 40 dengue patients came to the three government-run hospitals on Tuesday.
Most of the patientsarrived from Potohar Town cantonment areas where the Rawalpindi and Chaklala cantonment boards had failed to carry out fumigation.
According to the data of the District Health Authority, 13 patients came from Potohar Town, six from city areas, five from the cantonment areas, one from Kahuta and six from Taxila.
During the last one week, the District Health Authority teams founddenguelarvae in 476 houses.
A senior official of the health authority said denguelarvae were mostly detected in Pirwadhai, Fauji Colony, Shah Chan Chiragh, Amarpura, Chamanzar, Katarian, Kalyal and adjoining areas of the cantonment board.
He said during the last few months, the health authority was more focused on preventing the spread of dengue virus in upscale housing societies instead of the thickly-populated areas of the city, adding that all graveyards in the municipal corporation and cantonment boards were in bad shape.
Meanwhile, Deputy Commissioner Tahir Farooq visited different parts of the city to inspect the anti-dengue drive and directed the local administration to speed up efforts to eliminate the dengue larvae to save citizens.
Published in Dawn, September 7th, 2022
"
4,PC-Is of three major projects worth around Rs12 billion approved,Schemes to be executed through funds provided by CDA...,"ISLAMABAD: City managers on Tuesday approved the PC-Is of three development projects worth almost Rs12 billion, which would be executed through self financing of the Capital Development Authority (CDA).
These projects are construction of road to link Margalla Road with E-11, expansion and overhauling of Park Road and construction of Bhara Kahu bypass.
“Yes, today Development Working Party (DWP) approved PC-Is of all three projects,” CDA Chairman retired Capt Mohammad Usman told Dawn.
The PC-Is were approved by CDA’s Development Working Party, which met with the CDA chairman in the chair. Besides CDA officers, the meeting was also attended by officers of the Planning Commission and interior ministry.

Schemes to be executed through funds provided by CDA

The meeting was supposed to take up two projects, however, in the revised schedule, another project (linking of Margalla Road with E-11) worth around Rs3 billion was also presented and approved. Under this project, the CDA will construct a 5km road to link Margalla Road - which starts from G.T. Road and culminates near D-12 - with Khayaban-i-Iqbal near E-11, where an interchange will also be built. Completion period of this project is one year.
CDA officials said the under-construction Margalla Road from G.T. Road to D-12 is nearing completion and is expected to be completed in December this year. They said to avoid traffic congestion on service roads, the construction of a road and interchange was imperative.
Meanwhile, the DWP also approved PC-I worth Rs2 billion for expansion and overhauling of Park Road. Under this project, rehabilitation and widening of the 7.4km Park Road from Rawal Chowk to Tramari Chowk will be carried out while one additional lane will also be added to each side.
A source said the DWP also directed the CDA to construct a metro bus station on Park Road during its expansion. Meanwhile, the DWP also approved Prime Minister Shehbaz Sharif’s priority Bhara Kahu bypass project worth Rs7 billion.
The 5.4km road, including a 1.5km flyover, will start from Murree Road near Quaid-i-Azam University Stop and will culminate on Murree Road again near Jugi Stop. According to the PC-I, the project will be completed within four months.
The CDA board had recently decided to get this project executed through a government firm under rules 42 (f) of the Public Procurement Regulatory Authority (PPRA).
Under this rule, competitions will be held among government construction firms only.
The CDA officials said as per rules, all four government-run companies - Frontier Works Organisation (FWO), National Logistics Cell (NLC), Railway Construction Pakistan Limited (Railcop) and National Construction Company which is a subsidiary of Ministry of Housing - would be asked to participate in the bidding process and the lowest bidder would be awarded the contract.
Published in Dawn, September 7th, 2022
"
5,Attock DC wants work on 79 projects expedited,TAXILA: Deputy Commissioner Dr Hassan Waqar Cheema has directed departments to expedite work on development projects...,"TAXILA: Deputy Commissioner Dr Hassan Waqar Cheema has directed departments to expedite work on development projects in various parts of the district and set a deadline for their completion.
He was presiding over a meeting at the Deputy Commissioner’s Office on Tuesday.
Mr Cheema urged officials to ensure transparency and quality of work in the execution of different projects, especially those related to buildings, roads and the public health engineering department.
As many as 79 development projects would be completed during the current fiscal year in the district. He said Rs10,311.5 million has been allocated for 26 road projects, Rs2,487.3 million for execution of 22 different projects under the buildings department, Rs115 million for execution of two projects under the local government department, Rs1,838.8 million allocated for three projects under the small dams department, Rs330.4 million for one project under the agriculture department, Rs189.2 million allocated for execution of two projects under the sports department, Rs48.2 million fixed for a project under mines and minerals department, Rs170 million earmarked for a project under the forests department while Rs1,340.1 million had been set aside for seven public health schemes.
Speaking on the occasion, Mr Cheema emphasised the need for transparency in awarding projects, the use of quality materials in construction and the timely completion of each venture.
Six suspects arrested
Attock police arrested six suspects during a crackdown.
Three of them were members of a motorcycle lifting gang and the others were drug peddlers.
As many as 14 stolen motorcycles and over 5kg of narcotics were recovered.
Sub-Divisional Police Officer Fayyazul haq told journalists that acting on a tip-off, a team busted members of the gang.
Moreover, during a crackdown against drug mafia, Attock Khurd police recovered 5.2kg of hashish from three people.
Published in Dawn, September 7th, 2022
"
6,AJK police to bring back expat driver who escaped after killing three persons,MUZAFFARABAD: Mirpur police on Tuesday said they would bring a teenage British national of Kashmiri origin to ...,"MUZAFFARABAD: Mirpur police on Tuesday said they would bring a teenage British national of Kashmiri origin to justice who reportedly fled Pakistan after killing three persons by his reckless driving.
At about 8:30pm on Thursday, a recklessly driving double cabin pickup (AVS-444) with 19-year-old dual nationality holder Ismail Arshad at the wheel, who was accompanied by his uncle Malik Sajid, had first collided on Mirpur bypass with two motorbikes coming from the opposite direction. It had then hit a parked car and crushed its owner and his friend sitting on a protection wall along the road, before finally falling into a ditch.
The crash left Kalimullah and his pillion rider Mohammad Waiz dead on the spot and Farmanullah, his pillion rider Shaukatullah, car owner Zainul Hassan and his colleague Malik Azhar critically injured.
Mr Azhar succumbed to his wounds in Divisional Headquarters (DHQ) Hospital Mirpur after a few hours while doctors had to amputate a leg of Farmanullah to save his life following which he was referred to Pims in Islamabad. Shaukatullah was still being treated in the DHQ Hospital Mirpur and was out of danger.
SSP Mirpur Raja Irfan Saleem told Dawn that while people who gathered at the accident site were busy removing the injured to hospital, Mr Sajid, who had also sustained injuries, called Ismail’s brother Haider who arrived on a bike and instantly removed both of them from the scene.
An FIR was registered at the City police station, wherein Mr Ismail and his uncle Mr Sajid were booked.
Since the act of the suspects had threatened the life of general public, section 6 of Anti-Terrorist Act was also added in the FIR afterwards, the SSP said.
He said the police took Mr Sajid into custody from the DHQ hospital where he was brought by his family for treatment, but by that time the principal accused (Ismail) along with his parents and two siblings left Mirpur for Islamabad, from where they flew out of Pakistan past midnight.
The SSP said police were gathering information about the current location of Mr Ismail, as there were unconfirmed reports that he had been denied entry by the UK immigration officials.
“We are in contact with the National Crime Agency of Pakistan for his extradition and soon he will be brought to justice,” he said.
Published in Dawn, September 7th, 2022
"
7,PBM chief vows to improve social protection projects in GB,ISLAMABAD: Pakistan Baitul Mal (PBM) Managing Director Amir Fida Paracha on Tuesday said social protection projects...,"ISLAMABAD: Pakistan Baitul Mal (PBM) Managing Director Amir Fida Paracha on Tuesday said social protection projects and especially the Shelter Home Project established in Gilgit-Baltistan (GB) would be further improved with the help of public-private partnership.
Daily wage earners, labourers and other deserving people who come to stay the night and have a meal at these shelter homes would be served with quality services besides respect and care, said the PBM head in a meeting with GB Governor Syed Mehdi Shah. 
They discussed practical measures for relief and rehabilitation of the needy and poor in Gilgit-Baltistan.
They reviewed ongoing welfare projects of PBM in the region and took a unanimous decision to enhance the efficacy and scope of social protection schemes.
Published in Dawn, September 7th, 2022
"
8,"Three killed, two injured in separate incidents","TAXILA: Three persons, including a minor, were killed and two others injured in separate incidents in Attock and...","TAXILA: Three persons, including a minor, were killed and two others injured in separate incidents in Attock and Taxila on Tuesday. 
In the first incident, a truck recklessly driven by an unknown driver while overtaking a vehicle hit a motorcycle near Hattar in the limits of Fatehjang police. As a result, five-year-old Hina Noor was killed on the spot while her father Bakhsesh Ellahi was injured.
A property dealer was shot dead in the limits of Rangoo police station. Police said Sohail was returning from a court in Attock on his motorcycle when two masked men shot him dead.
Moreover, a man was shot dead over an old enmity at Sarai Kala Chowk in the limits of Taxila police.
Qurban Ali reported to the police that his 22-year-old son Danish Ali was on bail in a murder case and was going to court when his rivals killed him.
A man was shot and injured over an old enmity in Gondal Mandi area in the limits of Hazro police. The injured was shifted to hospital in a critical condition.
Separately, a medicine supply vehicle was looted on Bai village link road in the limits of Hassanabdal police.
Aqib reported to police that he along with Umer and Shoaib was coming back after supplying medicines in rural areas when two persons riding a motorcycle intercepted them and snatched Rs0.3 million and cell phones.
Published in Dawn, September 7th, 2022
"
9,"Toxic air kills over 128,000 Pakistanis every year",NGO calls for promotion of environment-friendly policies.,"ISLAMABAD: At least 128,000 deaths are reported in Pakistan every year as a result of air pollution and related sicknesses, said Fair Finance Pakistan, a non-government body working to mitigate the impacts of climate change, on the eve of World Clean Air Day.
Pakistan, alongside China and India, accounts for the highest deaths owing to air pollution as millions across the country are forced to breathe air that contains high levels of hazardous pollutants and particulate matter.
The NGO also launched an online campaign to raise public awareness and facilitate actions to improve air quality in the country.
Asim Jaffry, country programme lead, said: “There is a need to change the business model in Pakistan and elsewhere to ensure that business operations exercise responsibility especially the financial sector to ensure net zero carbon footprints, protect human life and the planet’s ecology.”

NGO calls for promotion of environment-friendly policies

He further said that ‘Clean Air Day’ aimed to raise awareness regarding the importance of clean air for health, for human economies and demonstrated the close link of air quality to other environmental and developmental challenges such as climate change.
It is worth mentioning that World Air Quality Index 2021 ranked Pakistan as the third most polluted country in the world, and its major cities, particularly Lahore, are regularly listed among the most toxic cities in the world.
The NGO stated that air pollution and climate change were closely linked as all major pollutants have an impact on the climate. As one of the countries on the frontline of the climate crisis, Pakistan faces grave consequences in failing to address climate change which has resulted in frequent adverse weather events, such as extreme temperatures, droughts and flooding.
The Twitter campaign calls on the policy circles, commercial banks, businesses and civil society to promote responsible investments in the country, promote sustainable transport, just transition towards renewable energy, crop and waste management, monitor air pollution, implement laws and deliver credible plans to reduce emissions from vehicles, power plants, construction and industry.
It builds on the latest Intergovernmental Panel on Climate Change (IPCC) report recommendations for reduction in emissions of methane, black carbon and ground-level ozone alongside carbon dioxide to foster sustainable development by delivering better health, agricultural, economic and climate outcomes through improved air quality.
According to the World Health Organisation, 99pc of the world’s population is now breathing polluted air. Seven million people die each year due to air pollution, with 90pc of them residing in low- and middle-income countries.
The United Nations Environment Programme (UNEP) research showed air pollution knows no national borders and is strongly correlated to other global crises such as climate change, biodiversity loss, other forms of pollution, social and gender parity as well as economic development. 
The UN agency estimated when people were exposed to air pollution and extreme heat, their risk of death became 20pc higher.
Evidence shows dirty air hits the poor the most and disproportionately affects the most vulnerable, such as women, children, and the elderly. The World Bank reports one in every 10 people exposed to unsafe air pollution lives in extreme poverty.
Published in Dawn, September 7th, 2022
"
