,Header,Summary,Detail,Link,Category
0,UAF curriculum being upgraded,TOBA TEK SINGH: University of Agriculture of Faisalabad Vice-Chancellor Prof Dr Iqrar Ahmad Khan says the curriculum...,"TOBA TEK SINGH: University of Agriculture of Faisalabad Vice-Chancellor Prof Dr Iqrar Ahmad Khan says the curriculum is being aligned with worldwide standards with an emphasis on developing students’ professional abilities so they can contribute effectively to the improvement of the nation.
He stated during a meeting of the UAF academic council on Wednesday that the country urgently needs to provide trained labour to address its problems. According to him, the nation’s agriculture is plagued by a number of issues that require the sector to be developed on the basis of science in order to start a new chapter of agricultural success with increased productivity per acre.  
He said more short courses would be launched in the UAF keeping in mind the market’s needs. He urged agrarian scientists to devote their energies to finding viable solutions to the problems faced by farmers. He said that in the present era, knowledge-based economies are excelling.  
He called for promoting a knowledge-based economy by strengthening academia-industry relations at the national level.
burnt alive: A man was burnt to death late on Tuesday in Faisalabad’s Chak 407-GB, Booraywali, in the Tandlianwala tehsil.  
Rescue 1122 said Nazar Muhammad, 55, was a patient of paralysis. His entire family had gone to attend a wedding and had lit a fire with wood for him, which caused a blaze to break out in the room. Resultantly, the entire room was gutted and he was burnt alive.  
Published in Dawn, December 22nd, 2022
",https://www.dawn.com/news/1727555/uaf-curriculum-being-upgraded,lahore
1,German scholar overawed by Harappa civilisation,SAHIWAL: The Harappa civilisation is amazing and incredible both in terms of its inhabitants and their living...,"SAHIWAL: The Harappa civilisation is amazing and incredible both in terms of its inhabitants and their living standards over land. This civilisation is far ahead of all explored civilisations of the world.  
These views have been expressed by German research scholar Ms. Karola Schmidt, who is doing her doctorate-level research on Corpus English in collaboration with the University of Sahiwal.
It is learnt Ms. Schmidt collected research data on Corpus English during her stay. Talking to Dawn, Ms. Schmidt says she is specifically interested in the status of spoken English in Pakistan and “I am here to collect the primary data for my doctorate research.”  
Ms. Schmidt says she is engaged in an academic pursuit to examine the manner in which the English language is utilised in society within Pakistan.
“For the last two weeks as part of my dissertation work, I obtained primary data from university students, faculty members and public officials,” she says.  
Ms. Schmidt has conducted a couple of seminars and workshops at the universities of Okara and Sahiwal. She has made an appearance at 1st PAK TOSEL conference hosted by the University of Okara. 
She carried out her research work in Pakistan under the supervision of Dr. Abrar Hussain Qureshi, assistant professor of English. Ms. Schmidt sees opportunities for research collaboration between the University of Sahiwal and the University of Giessen, Germany, in linguistic and other fields. 
“During my two-week stay I have a chance to visit Harappa to see the most amazing civilisation of the world and the ingenious people of the land.”
UREA: As many as 344,000 Urea fertiliser bags have been supplied to 140 dealers against the actual demand of 250,000 in Sahiwal district to avert the possibility of shortage. Urea will be provided to growers who sow wheat on 291,000 acres of land.  
This was said by DDR Tariq Hussain while chairing a meeting of the district agriculture advisory committee. 
He said there is no shortage of urea in the district and fertiliser would be provided at subsidised rate issued by the Punjab government.  
He said hoarders and black marketers would be dealt with an iron hand.  
The fertiliser bags are available to authorised dealers whose list lies with different offices of the agriculture department.
Published in Dawn, December 22nd, 2022
",https://www.dawn.com/news/1727554/german-scholar-overawed-by-harappa-civilisation,lahore
2,Wazirabad dist gets first regular DPO,GUJRAT: The Punjab government on Wednesday posted the first regular district police officer in newly-created...,"GUJRAT: The Punjab government on Wednesday posted the first regular district police officer in newly-created Wazirabad district. 
Farooq Amjad, a grade-18 officer of Police Service of Pakistan (PSP), who was serving as additional SP investigation Cantt Lahore, has been posted as Wazirabad DPO with immediate effect. 
Gujrat DPO Ghazanfar Shah, who had been serving as Wazirabad DPO on additional charge basis, has been relieved of the task. 
Similarly, another grade-18 officer Muhammad Bilal Qayyum has been posted as SSP range investigation board in Gujrat division. 
Meanwhile, the provincial government has approved at least 100 posts in Wazirabad district police, including a DPO, an SP investigation, three DSPs including DSP legal and clerical staff.
Published in Dawn, December 22nd, 2022
",https://www.dawn.com/news/1727553/wazirabad-dist-gets-first-regular-dpo,lahore
3,Minor killed in jubilation fire,BAHAWALPUR: A minor boy was killed in jubilation fire during a wedding in Basti Malkani at Mehmood Saeed Chowk in...,"BAHAWALPUR: A minor boy was killed in jubilation fire during a wedding in Basti Malkani at Mehmood Saeed Chowk in Ahmedpur East on Tuesday night.  
According to police and Rescue 1122 officials, participants of a marriage procession opened fire in the air on their arrival at the event on Tuesday night. Due to the firing, a bullet hit Shahzaib, 7, in the neck and killed him instantly. Rescuers rushed to the scene, but the boy’s parents refused to let them shift him to Ahmedpur East THQ Hospital.  
On receiving information, police reached the spot and took several people into custody.  
When contacted, police station officials said an investigation was in progress after which a case would be registered against those responsible.  
PARK FOR ORPHANS: The divisional administration planned to develop a park to provide recreational facilities to orphan and under-privileged children living in various institutions of the social welfare department in the city. This was announced by Divisional Commissioner Raja Jahangir Anwar on Wednesday while presiding over a sports gala organised for orphan children at Dring Stadium.  
The commissioner said funds would be provided for the purpose and children living in the Darul Falah, Darul Itfal and Sweet Home would be provided sports and recreation facilities at this park.
Published in Dawn, December 22nd, 2022
",https://www.dawn.com/news/1727552/minor-killed-in-jubilation-fire,lahore
4,Official action fails to deter absent health staff,"NAROWAL: During a surprise visit to healthcare facilities on Wednesday, Deputy Commissioner (DC) Shahrukh Niazi ...","NAROWAL: During a surprise visit to healthcare facilities on Wednesday, Deputy Commissioner (DC) Shahrukh Niazi found three basic health units (BHUs) closed and a doctor and paramedics of a rural health centre missing.
As the district health authority chairman, the DC had previously examined public hospitals and disciplined 61 absent employees.
The Chandrake Rajputan, Kunjrur, and Chanduwal Kalan BHUs were all closed when the DC visited them on Wednesday. He also went to the Shah Gharib RHC, but there were only three workers. The paramedics and doctor weren’t there.
The DC instructed Healthg CEO Dr Khalid Javed to suspend the missing employees from work and file a Peeda Act complaint against them. The department sought a reply from Dr Muhammad Naeem, in-charge of the Kunjrur BHU, Dr Qandeel Mughal, in-charge of the Chandrake Rajputan BHU, Dr Muhammad Owais Joya, in-charge of Chanduwal Kalan BHU, and Dr Amar Yasir, in-charge of the Shah Gharib RHC. 
Up to 47 health workers are subject to disciplinary action for missing work at government hospitals.
Health deputy district officer Dr. Muhammad Adnan was also suspended from service by the DC for carelessness and incompetence. As a result of the closure of government hospitals and the lack of staff, the DC also sent a letter to the Health Department requesting that the CEO be held accountable.
The Narowal DHQ Hospital’s shelter staff was also suspended for skipping work. Those residing there said they were awaiting breakfast when the DC came to assess the shelter in the morning.
KILLED: A gunman was killed in a police encounter, while his accomplice fled.
The Saddar police exchanged fire with two gunmen on Bhagowal Road. One of the robbers identified as Irfan was killed, while the other fled taking an advantage of fog.
Published in Dawn, December 22nd, 2022
",https://www.dawn.com/news/1727551/official-action-fails-to-deter-absent-health-staff,lahore
5,Irregularities in Daska by-poll: LHC sets aside ECP action against election officials,"Court says after poll, duty staff no longer remains within ECP purview.","LAHORE: The Lahore High Court has set aside the proceedings against more than a dozen officials of the provincial departments initiated by the Election Commission of Pakistan (ECP) for their role in the alleged rigging committed in the 2021 by-poll of NA-75, Daska.  
“Despite repeated queries, learned counsel for the commission has not been able to convince this court that as to what is cavil with the commission to refer the matters of the petitioners for disciplinary action against them by their parent departments, especially, when they do not fall within the definition of election officials,” Justice Shujaat Ali Khan observed in his verdict allowing the writ petitions filed by Asif Hussain and 20 other officials.  
The petitioners challenged the show-cause notices and the subsequent proceedings against them by the ECP.
Senior lawyer Hafiz Tariq Naseem mainly represented the petitioners while other counsels adopted his arguments with little additions.

Court says after poll, duty staff no longer remains within ECP purview

The main argument presented by the petitioner’s counsel was against the competence of the ECP to issue the show-cause notices.  
Justice Khan observes that a person, who has been assigned any election duty, does not remain under the control and superintendence of the ECP upon declaration of fate of an election in a constituency simply for the reason that once fate of an election is declared the hiring staff lose their status as election official and the ECP does not enjoy jurisdiction to proceed against them.
He states that according to section 55(1) of the Election Act, 2017, a person can be deemed to be under the control, superintendence and discipline of the ECP for the period commencing from his date of appointment or deputation till publication of name of the returned candidate in the official gazette.  
“A cursory glance over section 55 of the Act, 2017 shows that the ECP has been empowered to proceed against an election official under the applicable disciplinary law,” he adds.  
The judge says it is very ironical on the one hand the counsel for the ECP took a specific plea that matters pertaining to pre- and post-election issues, including initiation of departmental proceedings against any delinquent official, are to be seen in the light of the referred provisions of the Constitution but has not been able to give any justification as to why impugned show-cause notices have been issued while relying on section 55 of the Act, 2017.  
Commenting on the case of one of the petitioners, the judge notes that the departmental proceedings against a government servant stand abated in the event of his retirement but initiation of the proceedings against the petitioner by the ECP, despite his retirement, speaks volumes about the fact that it proceeded to initiate proceedings against the petitioner without affirming as to whether he is in service or not.
Justice Khan maintains that upon declaration of fate of the election in the constituency, the petitioners no more remained the election officials, hence, the ECP has no jurisdiction to initiate proceedings against them.
“Resultantly, all these writ petitions are accepted and impugned disciplinary proceedings initiated by the Commission against the petitioners are declared coram-non-judice, thus, set aside,” the verdict reads.  
However, the judge, before parting with the judgment, observes that if the ECP thinks that the petitioners were involved in any subversive activities during their deployment in election duty, it would be at liberty to refer their matter to their parent departments for initiation of proceedings under the relevant law.
Published in Dawn, December 22nd, 2022
",https://www.dawn.com/news/1727566/irregularities-in-daska-by-poll-lhc-sets-aside-ecp-action-against-election-officials,lahore
6,LHC’s power to review SC judgement on JIT questioned,The LHC bench will resume the case hearing today.,"LAHORE: Barrister Syed Ali Zafar, who represents the daughter of a woman killed in the Model Town firing, argued on Wednesday before a Lahore High Court larger bench that it did not have jurisdiction to review a judgment of the Supreme Court to constitute a joint investigation team (JIT) to reinvestigate the 2014 incident.
He contended that the merits of the case were discussed before the apex court.
He argued that the reinvestigation can indeed occur because the law makes no prohibition whatsoever on the extent or number of JITs that can be constituted, and therefore, a new independent investigation could be initiated to ensure that justice is served.
The bench is headed by Chief Justice Muhammad Ameer Bhatti with Justice Malik Shahzad Ahmad Khan, Justice Aalia Neelum, Justice Syed Shahbaz Ali Rizvi, Justice Mirza Viqas Rauf and Justice Tariq Saleem Sheikh.
Barrister Zafar pleaded before the bench that it had been impossible for the victims to expect justice when the investigating agencies were all headed by those who were directly linked to the perpetrators of the heinous act.
He alleged that as the ruling party at the time (i.e., PML-N) was directly involved in the Model Town massacre, its failure to hold anyone to account for this heinous crime must not be ignored.
The bench would resume further hearing on Thursday (today).
Khurram Rafiq and several other police officials facing trial in the private complaint by the PAT challenged the new JIT formed by the Pakistan Tehreek-i-Insaf-led provincial government. 
A three-judge bench had on March 22, 2019, suspended the new JIT.
Published in Dawn, December 22nd, 2022
",https://www.dawn.com/news/1727565/lhcs-power-to-review-sc-judgement-on-jit-questioned,lahore
7,Abdullah Sumbal posted as regular chief secretary,LAHORE: The federal government on Wednesday posted Abdullah Khan Sumbal as the Punjab chief secretary after a delay...,"LAHORE: The federal government on Wednesday posted Abdullah Khan Sumbal as the Punjab chief secretary after a delay of over three months when sitting CS Kamran Ali Afzal went on leave.  
Since then, the Punjab government has given look-after charge of the top administrative office to Mr Sumbal which was extended thrice. The PTI-PMLQ’s coalition government in Punjab views the development as a “serious move” at this critical juncture. However, it believes that the new chief secretary now commanding all administrative powers would not denotify chief minister Chaudhry Parvez Elahi if the governor asks him to do so since Mr Elahi did not take vote of confidence on the advice of the Punjab governor.
However, sources in the bureaucracy say the chief secretary is bound to do what the law says, regardless how stakeholders interpret the constitutional provisions.
Earlier, the federal government notified the transfer of Kamran Ali Afzal, who is currently on 130-day ex-Pakistan leave, and transferred Abdulah Khan Sumbal from the Chairmanship of Punjab Planning and Development Board and posted him as regular chief secretary.Mr Afzal had earlier this month requested the Establishment Division to grant him 130-day ex-Pakistan leave as he wanted to travel to Australia. Eventually, the federal government accepted his request and assigned Mr Sumbal current charge of the office for three months with effect from Dec 7.
Mr Sumbal’s name was on the three-member panel sent by the PTI-PMLQ government to the federal government for the posting a regular chief secretary.
Meanwhile, the Punjab government transferred finance secretary Dr Wasif Khurshid and posted him as P&D Board chairman in his own pay and scale against a vacant post – after the posting of Mr Sumbal as chief secretary.
Punjab communications and works secretary Mujahid Sherdil has been transferred and posted as finance secretary. The additional charge of the C&W department has been assigned to Punjab housing urban development and public health engineering secretary Ahmed Mustajab Karamat in addition to his own duties till further order.
Published in Dawn, December 22nd, 2022
",https://www.dawn.com/news/1727564/abdullah-sumbal-posted-as-regular-chief-secretary,lahore
8,Officials booked in passports fraud case; two detained,"GUJRAT: The Federal Investigation Agency (FIA) has booked some officials of the regional passport office, including...","GUJRAT: The Federal Investigation Agency (FIA) has booked some officials of the regional passport office, including its former assistant director (AD), on charges of issuing passports to a man and his three children fraudulently on the basis of fake documents.  
FIA Gujrat Deputy Director Ghulam Sarwar Warraich confirmed the registration of a case and said at least two of the suspects had been detained and an investigation was under way.  
The passport office’s former AD Saeed Abbas, data entry operator Zaheer Sial, clerk Shakoor Haider, a citizen Abid Hussain of Nankana Sahib and some other officials were among those booked under different sections of the PPC.  
The officials allegedly issued passports to Abid Hussain and his three children on the basis of fake documents. Using those passports, Hussain had flown abroad along with his children to avoid their possible handing over to their mother while a case was being heard in court.  
The Lahore High Court had ordered the FIA to investigate the matter and take legal action on the application of the children’s mother.  
Mr Warraich said the scope of investigation had been broadened to probe more officials.  
Hussain had first got registration documents of his children issued through the National Database and Registration Authority by showing someone else as his wife on an address in Gujrat, and later managed to get their passports processed with the alleged abetment of passport officials.  
A few weeks ago, the Interior Ministry had removed the entire staff of the passport office on charges of corruption and malpractices, and posted their replacements.  
The incumbent assistant director at the passport office, Hayat Tarrar, said his office had nothing to do with the case as the matter was already being investigated by the FIA.  
The next date of hearing of the case is Thursday (today) where the FIA officials would present the details of the investigation and action taken so far.
Published in Dawn, December 22nd, 2022
",https://www.dawn.com/news/1727563/officials-booked-in-passports-fraud-case-two-detained,lahore
9,"Five vendors killed as truck, rickshaw collide",GUJRAT: At least five vegetable vendors were killed in a collision between a truck and a motorcycle rickshaw near ...,"GUJRAT: At least five vegetable vendors were killed in a collision between a truck and a motorcycle rickshaw near the local vegetable market on the GT Road early on Wednesday morning due to dense fog. 
Police and Rescue 1122 officials say that the deceased persons aged between 50 and 70 years were on their way to the vegetable market early in the morning when their motorcycle rickshaw collided with a truck coming from opposite direction. 
As a result, Haji Sadiq (70), Abdul Shakoor (60) and Fazal (50) of the city’s Bagh Bawa locality, and Mirza Amjad (56) and Shafique (55) of Fattu Pura area, suffered critical injuries and died on the spot. 
Police say the accident occurred due to poor visibility caused by dense fog early in the morning. 
After the accident the truck driver fled the scene, whereas police have impounded the vehicle, registering a case against the unidentified driver.
Published in Dawn, December 22nd, 2022
",https://www.dawn.com/news/1727562/five-vendors-killed-as-truck-rickshaw-collide,lahore
