,Header,Summary,Detail,Link,Category
0,ECP’s move to defer Islamabad local govt polls draws candidates’ ire,"PTI, JI to move court; PML-N, PPP candidates unhappy with postponement.","ISLAMABAD: The decision to postpone local government (LG) elections in the capital has irked contestants across the political divide, who expressed resentment against the government and election watchdog for calling off polls at the eleventh hour, costing them a lot of money.
The elections were scheduled to be held on Dec 31 in the federal capital but the Election Commission of Pakistan (ECP), in an order earlier in the day, deferred the elections. The decision came days after a bill increasing the number of union councils in Islamabad was passed by parliament.
A large majority of contesting candidates were likely to hold protests against the decision of the Election Commission to postpone the LG elections.
Pattan, a local organisation, claimed that even Pakistan Peoples Party (PPP) and Pakistan Muslim League-Nawaz (PML-N) candidates, whose parties are in power at the Centre, resented their leadership for postponing elections just four days before the day of polling.
According to Pattan, it interviewed at least 25 candidates who belonged to union councils 75, 76, 78, 97 and 101. A majority of these nominees expressed “complete distrust in the election watchdog which failed to abide by its early decision and rules”.

PTI, JI to move court, PML-N, PPP candidates unhappy with postponement

The candidates said they suffered “serious financial damage” as a lot of money had already been spent on the electioneering. The ruling coalition’s nominees said they would record protests with the party leadership and hold protest meetings in reaction to the ECP’s decision. 
A number of Pakistan Tehreek-i-Insaf (PTI) and Jamaat-i-Islami (JI) candidates hinted they would approach courts against the decision as well as hold demonstrations demanding timely elections.
“This is the murder of citizens’ democratic rights and prevalence of poor governance,” a PPP nominee said. A JI candidate said “Islamabad is becoming like Karachi” with respect to the local government elections.
Two PML-N candidates said: “We strongly condemn and oppose the decision of our party because most of the party leaders do not want the local level leadership to reach the provincial and national level.”
A PTI candidate said the “government was afraid of its defeat and they will also sabotage the local government elections in Sindh.”
Some candidates of the PPP termed this decision “anti-democracy” while a few PML-N nominees said their party had called an “emergency meeting and we will decide our course of action”.
A PPP candidate from UC-48 said the “decision has made him very angry” whereas an independent candidate from UC-42 termed it a “bad decision because we had incurred a lot of expenses on the election campaign”.
PTI lashes out at Election Commission
The PTI lashed out at the ECP and accused it of being in cahoots with the Pakistan Democratic Movement (PDM) government. It said the Islamabad High Court (IHC) would be moved to provide relief to the former ruling party.
It claimed that all surveys and intelligence reports were showing that the PTI was going to give PML-N a good thumping in the polls which prompted the government to postpone polls.
Speaking at a press conference, PTI Secretary General Asad Umar said the decision was not “unexpected because ECP was not functioning as an independent institution”.
“It was not unexpected as Imran Khan is the most popular leader in Pakistan and PTI was going to get the majority seats in polls. We will continue our struggle for the local bodies election,” he added.
He alleged that the reason given for the postponement of the election was irrelevant as PTI had already filed an appeal against the government’s decision to increase the number of union councils.
Mr Umar hoped that his party would get relief from the court and asked party workers to continue their election campaign regarding the Islamabad local polls despite the postponement.
Asad Umar alleged that last week the ECP had announced that it would hold elections in Islamabad but the election watchdog abruptly changed its decision just because the PDM was not ready to contest elections.
He said the residents of Islamabad should have the right to elect their representatives so that an independent local government could be established. Replying to another question, he said efforts were being made by the government to buy the loyalties of MPAs in Punjab.
JI to observe black day
Separately, Jamaat-i-Islami (JI) announced that it would observe a black day today against the postponement of local bodies elections.
JI Naib Emir Mian Mohammad Aslam told reporters that his party would take out rallies on Dec 31 and hold a public referendum on the day of the election. He said the institutions have been acting as “tools of the government” and vowed to challenge the ECP’s decision in the high court.
Published in Dawn, December 28th, 2022
",read full story,islamabad
1,Calligraphers exhibit works at RAC,RAWALPINDI: More than 70 works created by internationally-renowned calligraphers were displayed at the Rawalpindi...,"


 
RAWALPINDI: More than 70 works created by internationally-renowned calligraphers were displayed at the Rawalpindi Arts Council (RAC).
Pakistan Tehreek-i-Insaf (PTI) leader Qasim Khan Suri inaugurated the exhibition. RAC Director Waqar Ahmad was also present on the occasion.
Works that were exhibited were made by Mohammad Ashraf Heera, Waseem Ashraf, Aslam Dogar and Mohammad Younis Rumi.
Speaking on the occasion, Mr Suri said calligraphy was both our great religious and cultural heritage.
“It is the responsibility of all of us to protect and promote it,” he said, adding that calligraphy was the legacy of Muslims.
The tradition of calligraphy was centuries old and our calligraphers were the trustees of this tradition who had kept this art form alive, he said, adding that calligraphy had a prominent and unique place in our civilisation and culture.
“Today’s young people are stepping into the field of painting with a fresh perspective. The arts council is in the true sense, the guardian of the culture of Punjab province and lost crafts, customs and traditions have been taken care of by it,” he said.
He said the government was working hard to improve the working environment for artists, adding that the PTI-led former federal government had done a lot for the promotion of arts and culture.
The arts council director, Waqar Ahmad, said calligraphy was one of the oldest art forms in the world and the council was taking substantial steps to promote it.
Calligraphy classes are a link in this chain, he said, adding that the work of artists was good and it was an effort to promote Islamic culture.
He said the council was the biggest institution for promoting art, culture, literature and performing arts in Punjab.
“The establishment of arts councils in nine divisions and four districts in Punjab shows the importance that the government gives to the promotion of culture in the province,” he added.
Published in Dawn, December 28th, 2022
",read full story,islamabad
2,Commission seeks resolution of Baloch students’ problems,ISLAMABAD: The meeting of the commission formed in the light of the Islamabad High Court (IHC) order to examine the...,"ISLAMABAD: The meeting of the commission formed in the light of the Islamabad High Court (IHC) order to examine the grievances of Baloch students was held at the Parliament House on Tuesday with members urging all government departments to solve the problems.
MNA Sardar Akhtar Mengal as chairperson briefed the commission about the recommendations received so far from members over the issue of Baloch missing students and their profiling. 
Senior officials of the commission informed the members regarding the progress made so far in connection with the compilation of the report to be submitted before the court next month.
The members held an extensive discussion over the content of the draft report and exchanged views on the preliminary findings of the commission. 
It was decided that members would review the draft and share their insight in the upcoming meetings.
The members expressed their firm determination for resolution of the matter and called for finding a way forward concerning the issue while learning from past mistakes and experiences, adding that strong political will was crucial for addressing the issue. 
The panel observed that all relevant organs of the state needed to work in unison towards an amicable solution to the issue.
Published in Dawn, December 28th, 2022
",read full story,islamabad
3,Festive events planned to celebrate Chinese New Year,"ISLAMABAD: Various online and offline activities, including concerts, temple fairs and parades, will be organised ...","ISLAMABAD: Various online and offline activities, including concerts, temple fairs and parades, will be organised all over the world as the Cultural Office of the Embassy of China and China Cultural Centre in Pakistan announced Chinese New Year festivities on Tuesday.
The 2023 Chinese New Year press conference was held in Beijing and aired live at the Embassy of China in Islamabad.
Gao Zheng, director general of the International Exchange and Cooperation Bureau, Ministry of Culture and Tourism of China, vice-president and secretary-general of the China International Culture Association, Zhao Cong, head of China National Traditional Orchestra and well-known pianist Lang Lang introduced the 2023 Chinese New Year activities.
Gao Zheng said the Chinese New Year was held to celebrate Spring and was an important platform for China to share its culture with people all over the world. 
The 2023 Happy Chinese New Year would be guided by the Ministry of Culture and Tourism of China and hosted by China International Culture Association. 
The press conference also released the mascot of 2023 Happy Chinese New Year. As the coming Chinese New Year was the Year of the Rabbit, the mascot, designed by Central Academy of Fine Arts, was a rabbit with long ears based on the shape of a lucky bag.
Journalists were informed that China would be celebrating the Chinese New Year, generally known as Chinese Spring Festival on Sunday (Jan 22, 2023) and activities related to it would go on till Feb 9, 2023. It was one of the most important and biggest festivals in the traditional Chinese culture, and one of the longest holidays, lasting up to seven days.
Chinese New year was being celebrated in neighbouring countries like Singapore, Malaysia, Thailand, the Philippines, South Korea and all around the world where there were Chinese communities. In Pakistan, there were thousands of Chinese people who had lived here for various periods of time. 
“They will also be celebrating the festival in its full cultural and traditional spirit. Many similarities exist between Chinese New Year and Pakistan’s traditional Eid festival. Both are based on the lunar calendar and are one of the most important and biggest festivals in their societies and both are family-centric festivals,” the organisers said.
Xing Lijun, the second secretary, Cultural Office of the Embassy of the People’s Republic of China in Pakistan informed journalists about the 2023 Happy Chinese New Year and upcoming events in connection with celebration of Chinese Spring Festival. 
He also highlighted the Pak-China Cultural exchange programmes with the Pakistani journalist community. Xing Lijun said cultural bonds existing between the two nations were strong enough to support everlasting friendship.
All resources would be utilised in the future to showcase Chinese history, culture and tourism, he added.
Climate-induced disaster management
Chinese Ambassador Nong Rong on Tuesday called for strong Sino-Pak collaboration in the sphere of climate-induced disaster management and stressed on further expansion of the existing working relation with Pakistan.
The Chinese ambassador, who called on National Disaster Management Authority (NDMA) Chairman Lt Gen Inam Haider Malik, suggested chalking out of a comprehensive bilateral memorandum of understanding (MoU) between the NDMA and Ministry of Emergency Management of China (MEM) for remodeling of the national preparedness and response regime complemented with technology and information sharing, establishment of an early warning system and weather prediction analysis.
He further stressed on enhancing bilateral communication between the NDMA and MEM. 
Both sides discussed various aspects of mutual collaboration and proactive approach of disaster management in Pakistan.
The NDMA chairman thanked the overwhelming support by the Chinese government in rescue and relief operations during the floods. 
He also acknowledged continued assistance from China for the rehabilitation phase in flood-affected areas.
He shared details of transformation plan of the futuristic and technology-driven National Emergency Operation Centre (NEOC) which will be the interface of integrated emergency response with all government stakeholders, humanitarian agencies and international donors.
Published in Dawn, December 28th, 2022
",read full story,islamabad
4,Benazir’s 15th death anniversary observed at Liaquat Bagh,RAWALPINDI: Former prime minister and Pakistan Peoples Party (PPP) chairperson Benazir Bhutto’s 15th death...,"

PPP activists pray at the assassination site of former prime minister Benazir Bhutto at Liaquat Bagh in Rawalpindi on Tuesday. — White Star

 
RAWALPINDI: Former prime minister and Pakistan Peoples Party (PPP) chairperson Benazir Bhutto’s 15th death anniversary was observed in the garrison city at the site where she was assassinated in a gun-bomb attack in 2007.
Two groups of the party got into a brawl at the end of the ceremony, however Mian Khurram Rasul and Khalid Nawaz Bobby managed to control the situation.
Minister of State Sardar Salim Haider Khan and Pakistan Baitul Mal Managing Director Malik Amir Fida Paracha, former city president Babar Jadoon and Nasir Mir attended the ceremony which was held after a gap of two years due to the pandemic. 
A blood donation camp was also organised on the occasion while a large number of party workers from across Rawalpindi Division attended the event. 
Due to the function, the worst traffic jam was witnessed on Murree Road and linked roads while traffic police apparently failed to control the situation.
Speakers paid tributes to Benazir Bhutto and said she was the strength of poor workers and the oppressed.
They said Benazir Bhutto inherited love for the country from her father Zulfikar Ali Bhutto, adding that both had done a lot for the prosperity and development of the country.
Zulfikar Ali Bhutto and Benazir Bhutto were real leaders after Quaid-i-Azam Mohammad Ali Jinnah and put the country on the path of development, they said, adding that both sacrificed their lives for the people but did not compromise on their principals.
The speakers said Benazir Bhutto sacrificed her life and always insisted on taking steps for the integrity and survival of Pakistan and prosperity of its people.
They said Benazir Bhutto introduced a special package for farmers ensuring the establishment of First Women’s Bank and separate women police stations, export of cheap tractors from Russia and so on.
They said Zulfikar Ali Bhutto played an important role to unite the Muslim world and tried to improve economic conditions of the third world.
The speakers said Zulfikar Ali Bhutto and Benazir Bhutto also played a significant role in finding employment for Pakistan’s workforce in foreign countries.
Both father and daughter stood up to the demands of oppressed Kashmiris with bravery, perseverance and courage raising their voice in support of them at every forum of the world, including the United Nations, they added.
Meanwhile, Pakistan People’s Party-workers (PPP-W) observed the 15th anniversary of Benazir Bhutto separately in the morning with a demand to probe the case of her assassination.
Naheed Khan, former political secretary of Benazir Bhutto and former Senator Safdar Abbasi, demanded that it was strange that the PPP was in government but failed to get justice for Benazir Bhutto as her assassins were still at large, and this pain wwill remain with the workers for the rest of their lives.
On the occasion, Ibne Rizvi, Malik Mazhar Hussain, Abraham Khan, Masood Butt, Ghulam Ali, Afzal Khan, Rifat Shaheen, Mahbub Sultana and other workers and supporters participated in the function.
Speaking on the occasion, Ibne Rizvi and Malik Mazhar Hussain said Benazir Bhutto was not only the leader of Pakistan but also of the third world. They said she was known for her wisdom, understanding and generosity all over the world.
Published in Dawn, December 28th, 2022
",read full story,islamabad
5,Nursing council official booked for harassing colleague,ISLAMABAD: An assistant registrar working in the Pakistan Nursing Council (PNC) was booked by the capital police on...,"ISLAMABAD: An assistant registrar working in the Pakistan Nursing Council (PNC) was booked by the capital police on the complaint of his female colleague, accusing him of harassment, police said on Tuesday.
The case was registered with Banigala police station under sections 354 and 509 of Pakistan Penal Code.
According to the FIR, the suspect is basically an employee of the Sindh government and was working in the PNC on deputation, whereas the complainant was also a federal government employee in Polyclinic and was on deputation at the council.
According to the FIR, the assistant registrar was accused of favouring registration of a fake nursing college in Hyderabad and an inquiry in this regard had been initiated against him.
The complainant said she was assigned the task to work as a PNC representative in the inquiry committee, as she was already working on an assignment to unearth fake nursing institutes and colleges.
The FIR said the FIA office in Hyderabad was also investigating a fake college case, adding that the suspect started to adopt an objectionable attitude towards her and later got her repatriated to her parent department through political influence.
Minister of National Health Services Abdul Qadir Patel then heard her in person and cancelled her repatriation order, the FIR said, adding that he spoke many a time against her character and conduct.
In October, the assistant registrar came to her office and shouted at her in the presence of her junior colleagues and hurled threats at her.
She said whenever she tried to inquire the reason behind his hostile behaviour, rather than adopting a polite attitude, he would misbehave with her.
He also called her husband and threatened him of dire consequences if she did not agree to work on his agenda, the FIR said, adding that he asked her to resign from the PNC otherwise she would face a big loss.
In the FIR, the woman said she had informed her high-ups as well as the council members about his intimidating attitude but to no avail. She warned that he would be responsible for any mishap she and her family faced. When contacted the police said the case had been registered and investigation was in progress. 
Published in Dawn, December 28th, 2022
",read full story,islamabad
6,Five killed in separate incidents in garrison city,"RAWALPINDI: Five people were killed in separate incidents in the city, police said on Tuesday.

Sehr Asif, daughter...","RAWALPINDI: Five people were killed in separate incidents in the city, police said on Tuesday.
Sehr Asif, daughter of Asif Masih, 9, resident of Dhoke Ratta left for her grandmother’s house on Christmas day but did not reach there.
In the FIR, Asif Masih said he turned to the police after his efforts to trace his daughter failed. He said his daughter’s body was found lying abandoned at the bank of Leh Nullah.
A police official, who was leading the investigation, said the real cause of her death would be known after the chemical examiner’s report.
In another incident, a man was gunned down in his house on Monday.
Wasim Rasool Khawaja, resident of Khayaban-i-Sarfraz, lodged an FIR with Airport Police, saying that he was at home when he heard a gunshot from his sister’s house who lived in the neighbourhood. When he and his son reached there, they saw two motorcyclists leaving his sister’s house.
He said when he went to his sister’s house, he found his brother-in-law Khawaja Kashif Iqbal lying injured on the porch of his house. They shifted him to the hospital but died on the way.
The victim’s wife revealed to her brother that an unknown person rang the doorbell of her house and called her husband out. Later, her husband was shot and injured, she said. 
In the third incident, a man named Ansar Mehmood was killed over a land dispute in Kolian in the limits of Dhamial police. Police said three persons were accused of killing Ansar in the FIR which was registered on the complaint of Mohammad Saleem.
Meanwhile, a woman and her son were killed while her husband and two daughters were injured when a passenger bus crashed into their van near Chakri .
According to the police spokesman, the bus was travelling from Rawalpindi to Lahore while the van was carrying a family from Attock to Thallian.
Shahida, 45, and her son Mubeen, 21, died on the spot while her husband Muneer and two daughters Hadia, 17, and Aeza, 9, were injured critically.
Shortly after the accident, DIG Motorway north zone reached the scene with police personnel and shifted the injured and the deceased to the hospital.
According to the district police, the gas cylinder affixed to the van exploded after the collision between both vehicles.
Published in Dawn, December 28th, 2022
",read full story,islamabad
7,CDA may earn Rs20bn from plots’ auction next month,ISLAMABAD: The Capital Development Authority (CDA) expects that the next month auction of commercial and residential...,"ISLAMABAD: The Capital Development Authority (CDA) expects that the next month auction of commercial and residential plots will generate money enough for smoothly executing ongoing mega development project.
The CDA board on Tuesday approved putting 58 commercial and residential plots for auction on Jan 24, 25 and 26 at Jinnah Convention Centre. 
The civic agency is expected to fetch over Rs 20 billion from these three-day auction.
For this auction, the CDA announced incentive for investors as for the first time, time for constructing building has been enhanced for large size of plots. Earlier, there was a three-year time for all size of plots.
However, this time round, the CDA has decided that three year time will be given for construction of building on plots up to 1,000 square yards, four year for 1001 to 3000 sq yard and five-year time will be given for plot from 3001 and above.  
Similarly, the CDA board also decided to give five percent rebate to Overseas Pakistani, who will make payments through foreign remittance/official banking channels with proof within 30 days of the provisional bid acceptance letter.  
“This is in recognition of the remittances that provide a much-needed inflow of dollars to boost foreign exchange reserves,” said a CDA director.
The CDA board, which met here at civic agency’s headquarters with Chairman Mohammad Usman in the chair, approved the auction plan for next month.  
Sources said that out of 58 plots, 12 are residential of Park Enclave I and II. Commercial plots are located in various sectors including Blue Area and sector I-8. This time CDA also decided to auction few plots for schools and hospitals. For the first time, the CDA also decided to put five commercial plots of various sizes located on northern strip of E-11 on auction.
Speaking to Dawn, CDA officials said that this auction is much needed for civic agency as its various mega development projects are in progress that include construction of Margalla Road, Bhara Kahu bypass, Expansion of expressway and IJP road, etc.
The officials said that CDA’s current financial position is alarming. 
During the last few years, various directorates of the CDA without calling tenders spent around Rs20 billion on development works including what many officials say some unnecessary ones.  
Under quotation system, only work wroth Rs500,000 can be carried out that too in highly emergency basis.  However, in CDA a group of few officers illegally got carried out work worth Rs20 billion, by splitting in pieces, through quotations.
Surprisingly, this mega alleged fraud case, could not get attention of Auditor General of Pakistan, as not a single audit para was made in this regard.  
However, a few months ago, the CDA Chairman ordered an inquiry into this mega scam, which has been facing delay in completion.
“Since, we are facing shortage of funds, we are pining high hope on this auction, we are expecting to fetch over 20 billion from it,” said a board member.
Published in Dawn, December 28th, 2022
",read full story,islamabad
8,IHC hands over children to Polish mothers,ISLAMABAD: The Islamabad High Court (IHC) on Tuesday handed over custody of two children to their Polish mothers and...,"ISLAMABAD: The Islamabad High Court (IHC) on Tuesday handed over custody of two children to their Polish mothers and directed their Pakistani father to surrender passports of the minors to the Federal Investigation Agency (FIA).
IHC Justice Mohsin Akhtar Kayani resumed hearing on the petitions filed by the Polish women, Isa Nowa, and Johana Mohammad, seeking custody of their children from their Pakistani father Saleem Mohammad.
The officials from the Polish embassy also appeared before the court.
Saleem Mohammad produced the permission that enabled him to bring his children to Pakistan.
He told the court that he brought the children to Pakistan in August 2021 with the consent of their mothers, adding that his relations with his former wives became strained because they used to take the children to the church. He said he was running a food chain in Poland and financially helped both women.
Mohammad said he got Polish nationality in 2012 and told the court that he could rescind the foreign nationality for the sake of his children.
Justice Kayani remarked that the petitioner could educate his children in Poland to which Mohammad told the court that it would not be easy as the mosque was at a distance of about 300km from his home. The counsel for his former wife, Isa Nowa, told the court that Saleem Mohammad had a son named Mohammad Ahmed with Isa and a daughter, Sadia, with Johana Mohammad.
The court inquired if the women wanted to discuss anything with their former husband, but both refused to talk to him. The court handed over custody of the minors to their mothers and allowed them to keep the children in the embassy and produce them before the court on Wednesday (today).
According to the counsel for the Polish women, Saleem Mohammad had brought his son and daughter to Pakistan from Poland on a two-week visit. However, he cancelled his return tickets and did not take the children back to Poland on the pretext of travel restriction due to Covid-19.
He again bought tickets after 25 days and informed their mothers about his return. Both women kept waiting at the airport but Mohammad switched off his mobile phone, he added.
Published in Dawn, December 28th, 2022
",read full story,islamabad
9,"Rain, snowfall expected from today","RAWALPINDI: After a long dry spell, rain is expected in different parts of the country including Rawalpindi and...","RAWALPINDI: After a long dry spell, rain is expected in different parts of the country including Rawalpindi and Islamabad while the adjoining Murree hills may receive snow from Wednesday night. 
The Met Office warned that snowfall may disrupt normal vehicular traffic in the hilly areas It said a westerly wave had entered northwestern parts of Balochistan and is likely to grip upper and central parts of the country on Dec 28 (night) and may persist till Dec 29.
Under the influence of this weather system, rain (with snowfall over the hills) is expected in Quetta, Zhob, Barkhan, Ziarat, Nokkundi, Dalbandin, Harani, Qilla Saifullah, Qilla Abdullah, Chaman, Pishin, Gwadar, Jiwani, Turbat, Panjgur, Kalat, Khuzdar, Sibbi, Naseerabad and Lasbela on Dec 27 (evening/night) to Dec 29.
Light to moderate rain (with snowfall over the hills) is also expected in Kashmir, Gilgit-Baltistan, Chitral, Dir, Swat, Malakand, Kohistan, Mansehra, Abbottabad, Haripur, Mardan, Peshawar, Charsadda, Bajaur, Kurram, Waziristan, Kohat, Sargodha, Islamabad, Murree, Galiyat and Potohar region on Dec 28 (night) and 29.
Light rain is also expected in Sukkur, Larkana, Jacobabad, Dera Ghazi Khan, Rajanpur, Gujranwala, Sialkot, Lahore, Sheikhupura, Faisalabad, Multan, Bahawalpur, Rahimyar Khan and Bhakkar during the period.
Foggy conditions are likely to subside during the forecast period while day temperatures are likely to fall during the wet spell.
Published in Dawn, December 28th, 2022
",read full story,islamabad
