,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Imran to be invited to Constitution’s golden jubilee celebrations,NA speaker to invite the PTI chief as party head,"National Assembly (NA) Speaker Raja Pervez Ashraf has decided to invite Pakistan Tehreek-e-Insaf (PTI) Chairman Imran Khan to participate in the golden jubilee celebrations of the Constitution starting this week.
The former prime minister will be invited as the party head.
According to sources in the speaker's office, the golden jubilee celebrations of the Constitution will begin this week. The golden jubilee anniversary of the Constitution of Pakistan will be celebrated on April 10.
Prime Minister Shehbaz Sharif will be the chief guest of the main event.
Also read: Senate celebrates Golden Jubilee
Sources say that it has been decided to invite the PTI chief to participate in the Golden Jubilee celebrations.
In this regard, the former premier will be invited as the party head. However, it will be his choice whether he comes himself or sends his representative.
According to sources, the speaker will invite the heads of all political parties.
The invitations to the heads of all political and parliamentary parties, including Imran, will be issued this week.
",https://tribune.com.pk/story/2409579/imran-to-be-invited-to-constitutions-golden-jubilee-celebrations,national,2023-04-02,https://i.tribune.com.pk/media/images/2250017-imrankhannationalassemblypmfbofficial-15931614789840-0/2250017-imrankhannationalassemblypmfbofficial-15931614789840-0.jpg
1,Harry Potter by Balenciaga: is this the AI-generated future of entertainment?,"Using AI & deepfake tools, a YouTube user reimagines JK Rowling’s creations as a high-fashion ad.",,https://tribune.com.pk/story/2409540/harry-potter-by-balenciaga-is-this-the-ai-generated-future-of-entertainment,national,2023-04-02,
2,The crocodiles make a comeback,"As Thatta’s Haleji Lake in Sindh gets murkier, the dodgy reptiles have made sure they don’t become extinct.",,https://tribune.com.pk/story/2409555/the-crocodiles-make-a-comeback,national,2023-04-02,
3,"Hard to live, difficult to die","As the cost of living skyrockets on daily basis, two young men, burdened by bills and loans, attempted suicide",,https://tribune.com.pk/story/2409553/hard-to-live-difficult-to-die,national,2023-04-02,
4,The weight of expectations,"A relatable journey of a woman’s arranged marriage longing to find her own identity beyond a daughter, wife and mother",,https://tribune.com.pk/story/2409552/the-weight-of-expectations,national,2023-04-02,
5,A call to action: Balochistan's suicide epidemic,"With the growing number of suicide cases in Balochistan, mental health is still considered a stigma.",,https://tribune.com.pk/story/2409550/a-call-to-action-balochistans-suicide-epidemic,national,2023-04-02,
6,The ironic portrayal of white privilege,Closest emulation in reality to White Lotus is real-life court dramas involving Hollywood celebrities we read about,,https://tribune.com.pk/story/2409549/the-ironic-portrayal-of-white-privilege,national,2023-04-02,
7,Abbottabad’s abandoned colonial reminder,The abandoned Bakote police station is a perfect example of Victorian architecture built during the British rule.,,https://tribune.com.pk/story/2409546/abbottabads-abandoned-colonial-reminder,national,2023-04-02,
8,Unemployment & mortality: the dark side of deindustrialisation,Increased working-class is among the host of negative consequences of deindustrialization,,https://tribune.com.pk/story/2409554/unemployment-mortality-the-dark-side-of-deindustrialisation,national,2023-04-02,
9,PTI reaches out to JI to ‘save judiciary’,Both parties agreed on decreasing the communication gap between them,"Pakistan Tehreek e Insaf (PTI) Secretary General Asad Umar has met Jamaat e Islami chief Siraj ul Haq at the politico-religious party headquarter Mansoora Markaz in a bid to fuel the “save the Judiciary” movement. 
PTI Senator Ejaz Ahmed Chaudhry was also accompanying the secretary general in the meeting.
The two parties exchanged thoughts on the country’s political situation as they agreed on decreasing the communication gap between them.
They also converged on the point that the only way out of the current crises was Pakistan’s consensual Constitution and democratic system.
",https://tribune.com.pk/story/2409517/pti-reaches-out-to-ji-to-save-judiciary,national,2023-04-02,https://i.tribune.com.pk/media/images/981071-SirajulHaqx-1446080454/981071-SirajulHaqx-1446080454.JPG
